id,category,left_gt,right_gt,left_dimensions,right_dimensions,image_bytes_equal
UN_103_em_62,identical,1 - \sqrt { 1 - \sqrt { E } },1 - \sqrt { 1 - \sqrt { E } },214x83,214x83,true
UN_103_em_63,identical,- ( X ^ { 0 } ) ^ { 2 } + ( X ^ { 1 } ) ^ { 2 } + ( X ^ { 2 } ) ^ { 2 } + ( X ^ { 3 } ) ^ { 2 } + ( X ^ { 4 } ) ^ { 2 } = \alpha _ { B } ^ { 2 },- ( X ^ { 0 } ) ^ { 2 } + ( X ^ { 1 } ) ^ { 2 } + ( X ^ { 2 } ) ^ { 2 } + ( X ^ { 3 } ) ^ { 2 } + ( X ^ { 4 } ) ^ { 2 } = \alpha _ { B } ^ { 2 },697x90,697x90,true
UN_103_em_64,identical,\int d ^ { 1 0 } x,\int d ^ { 1 0 } x,129x113,129x113,true
UN_103_em_65,identical,\sin ^ { 2 } \sigma,\sin ^ { 2 } \sigma,225x81,225x81,true
UN_103_em_66,identical,7 + 5 + 3 + 3 = 1 8 = 3 \times ( 5 + 1 ),7 + 5 + 3 + 3 = 1 8 = 3 \times ( 5 + 1 ),584x84,584x84,true
UN_103_em_67,identical,X ^ { 6 7 8 9 } = - X ^ { 6 7 8 9 },X ^ { 6 7 8 9 } = - X ^ { 6 7 8 9 },427x94,427x94,true
UN_103_em_68,identical,E = R ( \frac { 1 } { L } + \frac { L } { 2 } - \sqrt { 1 + \frac { 1 } { L ^ { 2 } } - 2 M } ),E = R ( \frac { 1 } { L } + \frac { L } { 2 } - \sqrt { 1 + \frac { 1 } { L ^ { 2 } } - 2 M } ),542x121,542x121,true
UN_103_em_69,identical,\int d E,\int d E,78x81,78x81,true
UN_103_em_70,identical,a _ { 1 } b _ { 1 } a _ { 1 } ^ { - 1 } b _ { 1 } ^ { - 1 },a _ { 1 } b _ { 1 } a _ { 1 } ^ { - 1 } b _ { 1 } ^ { - 1 },335x96,335x96,true
UN_103_em_72,identical,C ^ { 2 },C ^ { 2 },70x67,70x67,true
UN_103_em_73,identical,\frac { - 1 1 + \sqrt { 2 2 1 } } { 1 0 },\frac { - 1 1 + \sqrt { 2 2 1 } } { 1 0 },351x164,351x164,true
UN_103_em_74,identical,\beta _ { 1 } + \beta _ { 2 } + \beta _ { 3 } + \beta _ { 4 } + \beta _ { 5 } + \beta _ { 6 } + \beta _ { 7 },\beta _ { 1 } + \beta _ { 2 } + \beta _ { 3 } + \beta _ { 4 } + \beta _ { 5 } + \beta _ { 6 } + \beta _ { 7 },608x78,608x78,true
UN_104_em_75,identical,\frac { \sqrt { 1 5 1 7 } } { 1 3 },\frac { \sqrt { 1 5 1 7 } } { 1 3 },151x116,151x116,true
UN_104_em_76,identical,A B C = C B A,A B C = C B A,298x74,298x74,true
UN_104_em_77,identical,a ( t _ { i } ( n ) ) \div n,a ( t _ { i } ( n ) ) \div n,195x77,195x77,true
UN_104_em_78,identical,\frac { 2 1 } { 4 ( k + 6 ) } + \frac { 3 } { 4 ( k + 2 ) },\frac { 2 1 } { 4 ( k + 6 ) } + \frac { 3 } { 4 ( k + 2 ) },303x137,303x137,true
UN_104_em_79,identical,x = - 2 + \sqrt { 3 },x = - 2 + \sqrt { 3 },275x83,275x83,true
UN_104_em_80,residual,\frac h 2 \log h,\frac { h } { 2 } \log h,151x94,151x94,true
UN_104_em_81,identical,f ( x ) = c \frac { 1 - e ^ { - x } } { 1 + e ^ { - x } },f ( x ) = c \frac { 1 - e ^ { - x } } { 1 + e ^ { - x } },362x132,362x132,true
UN_104_em_82,identical,"- 0 , 4 6 \div 1","- 0 , 4 6 \div 1",341x91,341x91,true
UN_104_em_83,identical,a x + b y + c = 0,a x + b y + c = 0,465x115,465x115,true
UN_104_em_84,identical,x ^ { 9 } - x ^ { 8 },x ^ { 9 } - x ^ { 8 },319x126,319x126,true
UN_104_em_85,identical,w ^ { 2 } = ( w _ { 1 } ) ^ { 2 } + ( w _ { 2 } ) ^ { 2 },w ^ { 2 } = ( w _ { 1 } ) ^ { 2 } + ( w _ { 2 } ) ^ { 2 },471x119,471x119,true
UN_104_em_86,identical,z _ { 1 } z _ { 2 } z _ { 3 } + z _ { 1 } z _ { 2 } z _ { 4 } + z _ { 1 } z _ { 3 } z _ { 4 } + z _ { 2 } z _ { 3 } z _ { 4 },z _ { 1 } z _ { 2 } z _ { 3 } + z _ { 1 } z _ { 2 } z _ { 4 } + z _ { 1 } z _ { 3 } z _ { 4 } + z _ { 2 } z _ { 3 } z _ { 4 },1198x105,1198x105,true
UN_104_em_87,identical,\int \sqrt { g } R ^ { 2 },\int \sqrt { g } R ^ { 2 },88x80,88x80,true
UN_104_em_88,identical,\sqrt { c _ { i } },\sqrt { c _ { i } },90x75,90x75,true
UN_104_em_89,only_limits,t = \sum _ { a } t _ { a },t = \sum \limits _ { a } t _ { a },169x107,169x107,true
UN_104_em_90,identical,y ^ { 2 } = ( x - b _ { 1 } ) ( x - b _ { 2 } ) ( x - b _ { 3 } ),y ^ { 2 } = ( x - b _ { 1 } ) ( x - b _ { 2 } ) ( x - b _ { 3 } ),434x105,434x105,true
UN_104_em_91,identical,"( - \log x , - \log y )","( - \log x , - \log y )",210x73,210x73,true
UN_104_em_92,identical,Y ^ { a } Y ^ { a } + Y ^ { 5 } Y ^ { 5 } = 5,Y ^ { a } Y ^ { a } + Y ^ { 5 } Y ^ { 5 } = 5,364x97,364x97,true
UN_104_em_93,identical,\sqrt { i z },\sqrt { i z },119x78,119x78,true
UN_104_em_94,identical,z _ { 3 } - \frac { 1 } { 2 } \leq z _ { 8 } \leq z _ { 3 } + \frac { 1 } { 2 },z _ { 3 } - \frac { 1 } { 2 } \leq z _ { 8 } \leq z _ { 3 } + \frac { 1 } { 2 },573x132,573x132,true
UN_104_em_95,identical,\frac { 1 } { 8 } + \frac { 1 } { 8 k _ { 1 } },\frac { 1 } { 8 } + \frac { 1 } { 8 k _ { 1 } },311x160,311x160,true
UN_104_em_96,identical,- \log E,- \log E,107x63,107x63,true
UN_104_em_97,identical,- ( \frac { 5 - \sqrt { 5 } } { 5 + \sqrt { 5 } } ) ^ { \frac { 3 } { 4 } },- ( \frac { 5 - \sqrt { 5 } } { 5 + \sqrt { 5 } } ) ^ { \frac { 3 } { 4 } },221x135,221x135,true
UN_104_em_98,identical,"8 , 3 9 3 3 9 8 5 8 2","8 , 3 9 3 3 9 8 5 8 2",236x76,236x76,true
UN_104_em_99,identical,y ^ { 4 } = ( x - b _ { 1 } ) ^ { 2 } ( x - b _ { 2 } ) ^ { 2 } ( x - b _ { 3 } ) ^ { 3 },y ^ { 4 } = ( x - b _ { 1 } ) ^ { 2 } ( x - b _ { 2 } ) ^ { 2 } ( x - b _ { 3 } ) ^ { 3 },481x125,481x125,true
UN_105_em_100,identical,m ^ { a } m ^ { b } m ^ { c },m ^ { a } m ^ { b } m ^ { c },225x85,225x85,true
UN_105_em_101,identical,- x _ { 9 },- x _ { 9 },153x95,153x95,true
UN_105_em_102,identical,x ^ { 8 } + i x ^ { 9 },x ^ { 8 } + i x ^ { 9 },229x83,229x83,true
UN_105_em_103,identical,B = - \frac { 1 } { 4 } \tan ( \frac { p \pi } { 2 } ),B = - \frac { 1 } { 4 } \tan ( \frac { p \pi } { 2 } ),228x94,228x94,true
UN_105_em_104,only_limits,R = \lim _ { n \rightarrow \infty } a _ { n } / a _ { n + 2 },R = \lim \limits _ { n \rightarrow \infty } a _ { n } / a _ { n + 2 },331x116,331x116,true
UN_105_em_105,identical,p = 1 \div m,p = 1 \div m,183x80,183x80,true
UN_105_em_106,identical,w = \frac { \sin ^ { 2 } \theta } { 1 + \cos ^ { 2 } \theta },w = \frac { \sin ^ { 2 } \theta } { 1 + \cos ^ { 2 } \theta },343x175,343x175,true
UN_105_em_107,identical,y = \cos ^ { 2 } z,y = \cos ^ { 2 } z,182x98,182x98,true
UN_105_em_108,identical,\log \cos \theta,\log \cos \theta,139x72,139x72,true
UN_105_em_109,identical,1 ^ { 2 } + 1 ^ { 2 } + 1 ^ { 2 } + 3 ^ { 2 } + 2 ^ { 2 } + 2 ^ { 2 } + 2 ^ { 2 },1 ^ { 2 } + 1 ^ { 2 } + 1 ^ { 2 } + 3 ^ { 2 } + 2 ^ { 2 } + 2 ^ { 2 } + 2 ^ { 2 },495x111,495x111,true
UN_105_em_110,identical,\int f ( x ) d x,\int f ( x ) d x,136x90,136x90,true
UN_105_em_111,identical,\sqrt { 2 n _ { k } + 1 },\sqrt { 2 n _ { k } + 1 },222x87,222x87,true
UN_105_em_112,identical,\pm \sqrt { - 1 },\pm \sqrt { - 1 },148x68,148x68,true
UN_105_em_113,identical,y = x _ { 0 } - x,y = x _ { 0 } - x,254x85,254x85,true
UN_105_em_114,identical,- t _ { 1 } ^ { 2 } - t _ { 2 } ^ { 2 } + x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } + x _ { 3 } ^ { 2 } = - 1,- t _ { 1 } ^ { 2 } - t _ { 2 } ^ { 2 } + x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } + x _ { 3 } ^ { 2 } = - 1,554x138,554x138,true
UN_105_em_115,identical,"( x ^ { 0 } , x ^ { 1 } , x ^ { 2 } , x ^ { 3 } , x ^ { 4 } ) = ( t , x , y , z , \theta )","( x ^ { 0 } , x ^ { 1 } , x ^ { 2 } , x ^ { 3 } , x ^ { 4 } ) = ( t , x , y , z , \theta )",496x125,496x125,true
UN_105_em_116,identical,"e _ { 3 , 4 } , f _ { 3 , 4 } , g _ { 3 , 4 }","e _ { 3 , 4 } , f _ { 3 , 4 } , g _ { 3 , 4 }",291x103,291x103,true
UN_105_em_117,only_limits,\sum _ { a } X _ { a },\sum \limits _ { a } X _ { a },150x92,150x92,true
UN_105_em_118,identical,1 - n + 2 \sqrt { ( n + 2 ) ( n - 1 ) } > 0,1 - n + 2 \sqrt { ( n + 2 ) ( n - 1 ) } > 0,382x84,382x84,true
UN_105_em_119,identical,\sqrt { 7 } + 1,\sqrt { 7 } + 1,153x69,153x69,true
UN_105_em_120,identical,y \geq x,y \geq x,123x76,123x76,true
UN_105_em_121,identical,e _ { + 3 },e _ { + 3 },108x83,108x83,true
UN_105_em_122,identical,T ^ { 4 },T ^ { 4 },91x92,91x92,true
UN_105_em_123,only_limits,\sum _ { a } e ^ { a } e ^ { a },\sum \limits _ { a } e ^ { a } e ^ { a },247x107,247x107,true
UN_105_em_124,identical,a _ { 1 } ( y ) ^ { 2 } + c _ { 1 } ( y ) ^ { 2 },a _ { 1 } ( y ) ^ { 2 } + c _ { 1 } ( y ) ^ { 2 },224x92,224x92,true
UN_106_em_125,identical,\int A _ { m },\int A _ { m },98x81,98x81,true
UN_106_em_126,identical,s = \tan ( \frac { \theta } { 2 } ),s = \tan ( \frac { \theta } { 2 } ),189x93,189x93,true
UN_106_em_127,identical,t _ { 1 } ( t ) = - t _ { 2 } ( t ) = t ^ { n + \frac { 1 } { 2 } },t _ { 1 } ( t ) = - t _ { 2 } ( t ) = t ^ { n + \frac { 1 } { 2 } },476x92,476x92,true
UN_106_em_128,identical,x > x _ { o },x > x _ { o },233x68,233x68,true
UN_106_em_129,identical,1 . 1 + 0 . 0 1 i,1 . 1 + 0 . 0 1 i,309x69,309x69,true
UN_106_em_130,identical,c = \frac { 3 } { 2 } - \frac { 1 2 } { m ( m + 2 ) },c = \frac { 3 } { 2 } - \frac { 1 2 } { m ( m + 2 ) },559x154,559x154,true
UN_106_em_131,identical,b \in T,b \in T,135x69,135x69,true
UN_106_em_132,identical,\frac { 1 } { 4 } \sqrt { ( a + b + c ) ( a + b - c ) ( a + c - b ) ( b + c - a ) },\frac { 1 } { 4 } \sqrt { ( a + b + c ) ( a + b - c ) ( a + c - b ) ( b + c - a ) },519x108,519x108,true
UN_106_em_133,identical,d s ^ { 2 } = e ^ { 2 f } ( d r ^ { 2 } + d z ^ { 2 } - d t ^ { 2 } ) + \frac { e ^ { 2 g } } { y ^ { 2 } } ( d x ^ { 2 } + d y ^ { 2 } ),d s ^ { 2 } = e ^ { 2 f } ( d r ^ { 2 } + d z ^ { 2 } - d t ^ { 2 } ) + \frac { e ^ { 2 g } } { y ^ { 2 } } ( d x ^ { 2 } + d y ^ { 2 } ),668x130,668x130,true
UN_106_em_134,identical,x \neq a,x \neq a,175x72,175x72,true
UN_106_em_135,identical,y ^ { 2 } = ( x - b _ { 1 } ) ( x - b _ { 2 } ) ( x - b _ { 3 } ) ( x - b _ { 4 } ),y ^ { 2 } = ( x - b _ { 1 } ) ( x - b _ { 2 } ) ( x - b _ { 3 } ) ( x - b _ { 4 } ),632x108,632x108,true
UN_106_em_136,identical,C _ { x x } = C _ { x y } C _ { y x },C _ { x x } = C _ { x y } C _ { y x },338x109,338x109,true
UN_106_em_137,identical,- y _ { c } \leq y \leq y _ { c },- y _ { c } \leq y \leq y _ { c },391x87,391x87,true
UN_106_em_138,identical,X _ { 1 } X _ { 8 } = X _ { 6 } X _ { 7 },X _ { 1 } X _ { 8 } = X _ { 6 } X _ { 7 },360x82,360x82,true
UN_106_em_139,identical,T = \tan \theta,T = \tan \theta,331x85,331x85,true
UN_106_em_140,identical,x ^ { - 1 } \frac { d ^ { n - 1 } } { d x ^ { n - 1 } },x ^ { - 1 } \frac { d ^ { n - 1 } } { d x ^ { n - 1 } },286x156,286x156,true
UN_106_em_141,identical,\int ( a + b ) = \int a + \int b,\int ( a + b ) = \int a + \int b,303x91,303x91,true
UN_106_em_142,identical,[ C [ - 1 ] ] + [ B ] = [ A ],[ C [ - 1 ] ] + [ B ] = [ A ],299x66,299x66,true
UN_106_em_143,identical,"2 [ ( \frac { 1 } { 2 } , 0 ) + ( 0 , \frac { 1 } { 2 } ) ]","2 [ ( \frac { 1 } { 2 } , 0 ) + ( 0 , \frac { 1 } { 2 } ) ]",404x98,404x98,true
UN_106_em_144,identical,z _ { 1 } z _ { 2 } + z _ { 1 } z _ { 3 } + z _ { 1 } z _ { 4 } + z _ { 2 } z _ { 3 },z _ { 1 } z _ { 2 } + z _ { 1 } z _ { 3 } + z _ { 1 } z _ { 4 } + z _ { 2 } z _ { 3 },750x86,750x86,true
UN_106_em_145,identical,\sum ( n + a ) ^ { - s },\sum ( n + a ) ^ { - s },257x86,257x86,true
UN_106_em_146,identical,"y ^ { a } = \{ r \cos \theta _ { 1 } , \ldots , r \sin \theta _ { 1 } \ldots \cos \theta _ { d - 1 } , r \sin \theta _ { 1 } \ldots \sin \theta _ { d - 1 } \}","y ^ { a } = \{ r \cos \theta _ { 1 } , \ldots , r \sin \theta _ { 1 } \ldots \cos \theta _ { d - 1 } , r \sin \theta _ { 1 } \ldots \sin \theta _ { d - 1 } \}",1019x140,1019x140,true
UN_106_em_147,only_limits,\sum \sum _ { b < a } ^ { N } \lambda _ { a } \lambda _ { b } = \sum _ { a = 1 } ^ { N } r _ { a } q _ { a } ^ { 2 } - \sum _ { a = 1 } ^ { N } q _ { a } ^ { 2 } \sum _ { b = 1 } ^ { N } r _ { b } + \sum \sum _ { b < a } ^ { N } r _ { b } r _ { a },\sum \sum \limits _ { b < a } ^ { N } \lambda _ { a } \lambda _ { b } = \sum \limits _ { a = 1 } ^ { N } r _ { a } q _ { a } ^ { 2 } - \sum \limits _ { a = 1 } ^ { N } q _ { a } ^ { 2 } \sum \limits _ { b = 1 } ^ { N } r _ { b } + \sum \sum \limits _ { b < a } ^ { N } r _ { b } r _ { a },1034x200,1034x200,true
UN_106_em_148,identical,\sum I = \sum I ^ { ( 1 ) } + \sum I ^ { ( 2 ) },\sum I = \sum I ^ { ( 1 ) } + \sum I ^ { ( 2 ) },519x111,519x111,true
UN_106_em_149,identical,\sum ( x ^ { i } ) ^ { 2 } = ( x ^ { 0 } ) ^ { 2 },\sum ( x ^ { i } ) ^ { 2 } = ( x ^ { 0 } ) ^ { 2 },394x92,394x92,true
UN_107_em_150,identical,\cos ( a ),\cos ( a ),182x72,182x72,true
UN_107_em_151,identical,x ^ { a + 1 } y ^ { b + 1 },x ^ { a + 1 } y ^ { b + 1 },245x119,245x119,true
UN_107_em_152,identical,z ( t ) = \sqrt { \frac { m } { 2 } } ( x ( t ) + i y ( t ) ),z ( t ) = \sqrt { \frac { m } { 2 } } ( x ( t ) + i y ( t ) ),491x106,491x106,true
UN_107_em_153,identical,x - y,x - y,117x75,117x75,true
UN_107_em_154,identical,\int d x _ { 1 } d x _ { 2 },\int d x _ { 1 } d x _ { 2 },182x110,182x110,true
UN_107_em_155,residual,a ^ { a } _ { b c } = b ^ { a } _ { b c },a _ { b c } ^ { a } = b _ { b c } ^ { a },381x119,381x119,true
