sample_id,ground_truth_san_raw,ground_truth_posformer_raw,ground_truth_san_no_limits,ground_truth_posformer_no_limits,gt_equal_raw,gt_equal_after_remove_limits,san_prediction_raw,posformer_prediction_raw,san_prediction_no_limits,posformer_prediction_no_limits,san_correct_normalized_gt_san,posformer_correct_normalized_gt_san,outcome_normalized_gt_san,san_correct_normalized_gt_posformer,posformer_correct_normalized_gt_posformer,outcome_normalized_gt_posformer
18_em_22,p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } },True,True,p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \ldots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \ldots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \ldots p _ { n } ^ { \gamma _ { n } },p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \ldots p _ { n } ^ { \gamma _ { n } },False,False,both_wrong,False,False,both_wrong
18_em_23,\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },True,True,\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 },True,True,both_correct,True,True,both_correct
18_em_24,\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },True,True,\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 },True,True,both_correct,True,True,both_correct
18_em_3,"q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }",True,True,"q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }",True,True,both_correct,True,True,both_correct
18_em_4,e ^ { - n },e ^ { - n },e ^ { - n },e ^ { - n },True,True,e ^ { - n },e ^ { - n },e ^ { - n },e ^ { - n },True,True,both_correct,True,True,both_correct
18_em_5,\int g = \lim _ { n \rightarrow \infty } \int g _ { n },\int g = \lim \limits _ { n \rightarrow \infty } \int g _ { n },\int g = \lim _ { n \rightarrow \infty } \int g _ { n },\int g = \lim _ { n \rightarrow \infty } \int g _ { n },False,True,\int g = \lim _ { n \rightarrow \infty } \int g z,\int g = \lim \limits _ { n \rightarrow \infty } \int q _ { n },\int g = \lim _ { n \rightarrow \infty } \int g z,\int g = \lim _ { n \rightarrow \infty } \int q _ { n },False,False,both_wrong,False,False,both_wrong
18_em_6,g ( b ) - g ( a ) = b - a,g ( b ) - g ( a ) = b - a,g ( b ) - g ( a ) = b - a,g ( b ) - g ( a ) = b - a,True,True,g ( 0 ) - g ( a ) = b - a,g ( 0 ) - g ( a ) = b - a,g ( 0 ) - g ( a ) = b - a,g ( 0 ) - g ( a ) = b - a,False,False,both_wrong,False,False,both_wrong
18_em_7,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,True,True,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,True,True,both_correct,True,True,both_correct
18_em_8,x _ { L L L } \leq x _ { L L },x _ { L L L } \leq x _ { L L },x _ { L L L } \leq x _ { L L },x _ { L L L } \leq x _ { L L },True,True,x _ { L L L \leq x _ { L } } \leq x _ { L L },x _ { L L L } \leq x _ { L L },x _ { L L L \leq x _ { L } } \leq x _ { L L },x _ { L L L } \leq x _ { L L },False,True,posformer_only,False,True,posformer_only
18_em_9,\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },True,True,\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },True,True,both_correct,True,True,both_correct
20_em_25,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,True,True,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,True,True,both_correct,True,True,both_correct
20_em_26,\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },True,True,\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },True,True,both_correct,True,True,both_correct
20_em_27,R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },True,True,b _ { 0 } = \frac { ( \frac { \beta + 1 } { P } ) e + ( p + 2 + \frac { 2 } { 0 } } { 2 + \frac { 2 } { r } },R _ { 0 } = \frac { ( \frac { s + 1 } { p } ) r _ { e } + ( p + 2 + \frac { 2 } { n } } { 2 + \frac { 2 } { n } ) \alpha _ { 0 } },b _ { 0 } = \frac { ( \frac { \beta + 1 } { P } ) e + ( p + 2 + \frac { 2 } { 0 } } { 2 + \frac { 2 } { r } },R _ { 0 } = \frac { ( \frac { s + 1 } { p } ) r _ { e } + ( p + 2 + \frac { 2 } { n } } { 2 + \frac { 2 } { n } ) \alpha _ { 0 } },False,False,both_wrong,False,False,both_wrong
20_em_28,1 . 3 7 9 1 9 4 1 7 1,1 . 3 7 9 1 9 4 1 7 1,1 . 3 7 9 1 9 4 1 7 1,1 . 3 7 9 1 9 4 1 7 1,True,True,1 . 3 7 9 1 9 7 1 7 1,1 \cdot 3 7 9 1 9 4 1 7 1,1 . 3 7 9 1 9 7 1 7 1,1 \cdot 3 7 9 1 9 4 1 7 1,False,False,both_wrong,False,False,both_wrong
20_em_29,"( - \infty , \infty )","( - \infty , \infty )","( - \infty , \infty )","( - \infty , \infty )",True,True,"( - \infty , \infty )","( - \infty , \infty )","( - \infty , \infty )","( - \infty , \infty )",True,True,both_correct,True,True,both_correct
20_em_30,I _ { S },I _ { S },I _ { S },I _ { S },True,True,[ s,I _ { S },[ s,I _ { S },False,True,posformer_only,False,True,posformer_only
20_em_31,X X ^ { - 1 } = X ^ { - 1 } X = I,X X ^ { - 1 } = X ^ { - 1 } X = I,X X ^ { - 1 } = X ^ { - 1 } X = I,X X ^ { - 1 } = X ^ { - 1 } X = I,True,True,x x ^ { 1 } = x ^ { - 1 } x = I,x x ^ { - 1 } = x ^ { - 1 } x = I,x x ^ { 1 } = x ^ { - 1 } x = I,x x ^ { - 1 } = x ^ { - 1 } x = I,False,False,both_wrong,False,False,both_wrong
20_em_32,\frac { \pi } { 3 },\frac { \pi } { 3 },\frac { \pi } { 3 },\frac { \pi } { 3 },True,True,\frac { \pi } { 3 },\frac { \pi } { 3 },\frac { \pi } { 3 },\frac { \pi } { 3 },True,True,both_correct,True,True,both_correct
20_em_33,R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },True,True,"R _ { a } = \frac { R , R _ { 2 } + R _ { 2 } R _ { 3 } + k _ { 3 } h _ { 1 } } { r _ { 2 } }",R _ { a } = \frac { R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },"R _ { a } = \frac { R , R _ { 2 } + R _ { 2 } R _ { 3 } + k _ { 3 } h _ { 1 } } { r _ { 2 } }",R _ { a } = \frac { R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },False,False,both_wrong,False,False,both_wrong
20_em_34,\sin ( a + b ),\sin ( a + b ),\sin ( a + b ),\sin ( a + b ),True,True,\sin ( a + b ),\sin ( a + b ),\sin ( a + b ),\sin ( a + b ),True,True,both_correct,True,True,both_correct
20_em_35,\mu \geq 0,\mu \geq 0,\mu \geq 0,\mu \geq 0,True,True,M = 0,M \geq 0,M = 0,M \geq 0,False,False,both_wrong,False,False,both_wrong
20_em_36,e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },True,True,e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },True,True,both_correct,True,True,both_correct
20_em_37,\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },True,True,\frac { 3 \times 3 } { 2 } + \frac { 5 x ( - 5 ) ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 } = \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 } = \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 ^ { 2 } + 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times u _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 } { 2 } + \frac { 5 x ( - 5 ) ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 } = \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 } = \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 ^ { 2 } + 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times u _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },False,False,both_wrong,False,False,both_wrong
20_em_38,Y _ { t + 1 },Y _ { t + 1 },Y _ { t + 1 },Y _ { t + 1 },True,True,Y _ { t + H },Y _ { t + H },Y _ { t + H },Y _ { t + H },False,False,both_wrong,False,False,both_wrong
20_em_39,n ^ { 2 } + n - n,n ^ { 2 } + n - n,n ^ { 2 } + n - n,n ^ { 2 } + n - n,True,True,n ^ { 2 } + n - n,n ^ { 2 } + n - n,n ^ { 2 } + n - n,n ^ { 2 } + n - n,True,True,both_correct,True,True,both_correct
20_em_40,\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },True,True,\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },True,True,both_correct,True,True,both_correct
20_em_41,9 / 5,9 / 5,9 / 5,9 / 5,True,True,9 / 5,9 / 5,9 / 5,9 / 5,True,True,both_correct,True,True,both_correct
20_em_42,1 7,1 7,1 7,1 7,True,True,1 T,1 7,1 T,1 7,False,True,posformer_only,False,True,posformer_only
20_em_43,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,True,True,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,True,True,both_correct,True,True,both_correct
20_em_44,8 c m,8 c m,8 c m,8 c m,True,True,8 c m,8 c m,8 c m,8 c m,True,True,both_correct,True,True,both_correct
20_em_45,\sqrt { C _ { n } },\sqrt { C _ { n } },\sqrt { C _ { n } },\sqrt { C _ { n } },True,True,\sqrt { C _ { n } },\sqrt { C _ { n } },\sqrt { C _ { n } },\sqrt { C _ { n } },True,True,both_correct,True,True,both_correct
20_em_46,\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 },\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 },\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 },\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 },True,True,\frac { d _ { 1 } - 2 } { d } \frac { d _ { 2 } } { d _ { 2 + 2 } },\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + z },\frac { d _ { 1 } - 2 } { d } \frac { d _ { 2 } } { d _ { 2 + 2 } },\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + z },False,False,both_wrong,False,False,both_wrong
20_em_47,5 3 9 5,5 3 9 5,5 3 9 5,5 3 9 5,True,True,5 3 9 5,5 3 9 5,5 3 9 5,5 3 9 5,True,True,both_correct,True,True,both_correct
20_em_48,f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1,f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1,f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1,f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1,True,True,f ( 1 \cdot 9 ) ) = 3 \cdot 9 9 2 1 > 2 0 1,"f ( 1 , 9 ) ) = 3 \cdot 1 9 2 1 4 9 2 0 1",f ( 1 \cdot 9 ) ) = 3 \cdot 9 9 2 1 > 2 0 1,"f ( 1 , 9 ) ) = 3 \cdot 1 9 2 1 4 9 2 0 1",False,False,both_wrong,False,False,both_wrong
20_em_49,6 f t,6 f t,6 f t,6 f t,True,True,6 f t,6 f t,6 f t,6 f t,True,True,both_correct,True,True,both_correct
23_em_50,d ^ { - 7 },d ^ { - 7 },d ^ { - 7 },d ^ { - 7 },True,True,d ^ { - 7 },d ^ { - 7 },d ^ { - 7 },d ^ { - 7 },True,True,both_correct,True,True,both_correct
23_em_51,n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } },n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } },n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } },n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } },True,True,n = f _ { 1 } ^ { e ^ { l } } f _ { 2 } ^ { e } \ldots f _ { m } ^ { e _ { m } },n = p _ { 1 } ^ { e ^ { 1 } } p _ { 2 } ^ { e ^ { 2 } } \ldots p _ { m } ^ { e m },n = f _ { 1 } ^ { e ^ { l } } f _ { 2 } ^ { e } \ldots f _ { m } ^ { e _ { m } },n = p _ { 1 } ^ { e ^ { 1 } } p _ { 2 } ^ { e ^ { 2 } } \ldots p _ { m } ^ { e m },False,False,both_wrong,False,False,both_wrong
23_em_52,2 p,2 p,2 p,2 p,True,True,2 p,2 p,2 p,2 p,True,True,both_correct,True,True,both_correct
23_em_53,\frac { 1 } { 3 } + \frac { 1 } { 3 },\frac { 1 } { 3 } + \frac { 1 } { 3 },\frac { 1 } { 3 } + \frac { 1 } { 3 },\frac { 1 } { 3 } + \frac { 1 } { 3 },True,True,\frac { 1 } { 3 } + \frac { 1 } { 3 },\frac { 1 } { 3 } + \frac { 1 } { 3 },\frac { 1 } { 3 } + \frac { 1 } { 3 },\frac { 1 } { 3 } + \frac { 1 } { 3 },True,True,both_correct,True,True,both_correct
23_em_54,\beta _ { 0 } = 1 0 0 0,\beta _ { 0 } = 1 0 0 0,\beta _ { 0 } = 1 0 0 0,\beta _ { 0 } = 1 0 0 0,True,True,\beta _ { 0 } = 1 0 0 0,\beta _ { 0 } = 1 0 0 0,\beta _ { 0 } = 1 0 0 0,\beta _ { 0 } = 1 0 0 0,True,True,both_correct,True,True,both_correct
