id,category,abm_dimensions,reference_dimensions,pixels_equal,abm_gt,reference_gt
UN_129_em_1029,identical,468x157,468x157,true,a _ { n } = - \sum _ { k = 1 } ^ { n - 1 } c _ { n - k } a _ { n },a _ { n } = - \sum _ { k = 1 } ^ { n - 1 } c _ { n - k } a _ { n }
UN_122_em_469,identical,526x117,526x117,true,2 ( \sin \gamma S ^ { 3 } ) ^ { 2 } = 1 - \cos 2 \gamma S ^ { 3 },2 ( \sin \gamma S ^ { 3 } ) ^ { 2 } = 1 - \cos 2 \gamma S ^ { 3 }
UN_459_em_822,identical,342x129,342x129,true,\frac { m } { s } \times \frac { n } { s },\frac { m } { s } \times \frac { n } { s }
UN_458_em_793,identical,248x123,248x123,true,C ^ { ( 1 ) } _ { x x } C ^ { ( 2 ) } _ { x x },C ^ { ( 1 ) } _ { x x } C ^ { ( 2 ) } _ { x x }
UN_455_em_711,identical,195x131,195x131,true,A _ { o ^ { \prime } o ^ { \prime } c },A _ { o ^ { \prime } o ^ { \prime } c }
UN_456_em_745,identical,179x75,179x75,true,\sqrt { t } = \sqrt { x - 4 },\sqrt { t } = \sqrt { x - 4 }
UN_466_em_993,identical,284x86,284x86,true,\frac { 1 } { 2 } f - b = 8 - 9 = - 1,\frac { 1 } { 2 } f - b = 8 - 9 = - 1
UN_457_em_767,identical,96x64,96x64,true,- \log { 2 },- \log { 2 }
UN_452_em_649,identical,148x101,148x101,true,\int d x ^ { 1 } d y ^ { 1 },\int d x ^ { 1 } d y ^ { 1 }
UN_461_em_873,identical,383x257,383x257,true,\frac { \sum _ { a } \sin ^ { 3 } \frac { a \pi } { g } } { \sum _ { a } \sin \frac { a \pi } { g } },\frac { \sum _ { a } \sin ^ { 3 } \frac { a \pi } { g } } { \sum _ { a } \sin \frac { a \pi } { g } }
UN_124_em_537,identical,332x105,332x105,true,\frac { 3 } { 4 } ( 1 \pm 4 \sqrt { 3 } c + 4 c ^ { 2 } ),\frac { 3 } { 4 } ( 1 \pm 4 \sqrt { 3 } c + 4 c ^ { 2 } )
UN_125_em_550,identical,117x80,117x80,true,\exists p ( k ),\exists p ( k )
UN_454_em_696,identical,319x66,319x66,true,1 - v = z + x - z x,1 - v = z + x - z x
UN_116_em_329,identical,262x120,262x120,true,P ( z ) = \frac { a z + b } { c z + d },P ( z ) = \frac { a z + b } { c z + d }
UN_131_em_1098,identical,449x178,449x178,true,\sum _ { b } \pi _ { a b } \pi _ { b c } = \pi _ { a c },\sum _ { b } \pi _ { a b } \pi _ { b c } = \pi _ { a c }
UN_459_em_806,identical,220x92,220x92,true,X ^ { 7 } + i X ^ { 8 },X ^ { 7 } + i X ^ { 8 }
UN_129_em_1048,identical,216x83,216x83,true,\sin z < \beta,\sin z < \beta
UN_463_em_918,identical,317x92,317x92,true,C = C _ { x y } C _ { y x },C = C _ { x y } C _ { y x }
UN_122_em_470,identical,370x97,370x97,true,Y _ { 0 } + Y _ { 4 } + Y _ { 8 } + \ldots,Y _ { 0 } + Y _ { 4 } + Y _ { 8 } + \ldots
UN_129_em_1030,identical,154x154,154x154,true,\frac { 2 . 5 } { \sqrt { 2 } },\frac { 2 . 5 } { \sqrt { 2 } }
UN_458_em_777,identical,408x108,408x108,true,f _ { 1 } ^ { 3 } = f ^ { 3 } _ { 2 } + f ^ { 3 } _ { 3 } + f ^ { 3 } _ { 1 } f ^ { 3 } _ { 2 } f ^ { 3 } _ { 3 },f _ { 1 } ^ { 3 } = f ^ { 3 } _ { 2 } + f ^ { 3 } _ { 3 } + f ^ { 3 } _ { 1 } f ^ { 3 } _ { 2 } f ^ { 3 } _ { 3 }
UN_121_em_461,identical,324x147,324x147,true,7 ^ { - \frac { 1 } { 2 } } 2 ^ { - \frac { 5 } { 4 } } ( \frac { 5 - \sqrt { 5 } } { 5 + \sqrt { 5 } } ) ^ { \frac { 3 } { 4 } },7 ^ { - \frac { 1 } { 2 } } 2 ^ { - \frac { 5 } { 4 } } ( \frac { 5 - \sqrt { 5 } } { 5 + \sqrt { 5 } } ) ^ { \frac { 3 } { 4 } }
UN_126_em_581,identical,350x153,350x153,true,\frac { G _ { 0 0 } } { h } + \frac { G _ { i i } } { a },\frac { G _ { 0 0 } } { h } + \frac { G _ { i i } } { a }
UN_453_em_656,identical,213x123,213x123,true,\int d ^ { n } x a _ { 2 },\int d ^ { n } x a _ { 2 }
UN_452_em_631,identical,145x66,145x66,true,x \rightarrow y,x \rightarrow y
UN_460_em_829,identical,412x94,412x94,true,w ( x ) = x ^ { 2 a + 1 } e ^ { - n x },w ( x ) = x ^ { 2 a + 1 } e ^ { - n x }
UN_108_em_195,identical,361x79,361x79,true,0 \leq x \leq + \infty,0 \leq x \leq + \infty
UN_133_em_1137,identical,367x129,367x129,true,X ^ { i } = \frac { 1 } { \sqrt { 2 } } ( X _ { 2 i - 1 } + i X _ { 2 i } ),X ^ { i } = \frac { 1 } { \sqrt { 2 } } ( X _ { 2 i - 1 } + i X _ { 2 i } )
UN_464_em_925,identical,124x66,124x66,true,n \neq 8,n \neq 8
UN_103_em_72,identical,70x67,70x67,true,C ^ { 2 },C ^ { 2 }
UN_451_em_620,identical,141x69,141x69,true,+ 2 ( - 2 ),+ 2 ( - 2 )
UN_130_em_1072,identical,671x121,671x121,true,x z = e ^ { u } + e ^ { v } + e ^ { - t - u + v } + 1,x z = e ^ { u } + e ^ { v } + e ^ { - t - u + v } + 1
UN_119_em_414,identical,73x72,73x72,true,M _ { 3 },M _ { 3 }
UN_126_em_583,identical,526x84,526x84,true,| a | = a _ { 0 } + a _ { 1 } + a _ { 2 } + a _ { 3 },| a | = a _ { 0 } + a _ { 1 } + a _ { 2 } + a _ { 3 }
UN_458_em_788,identical,172x116,172x116,true,\frac { 1 } { 2 \sqrt { 2 - \sqrt { 3 } } },\frac { 1 } { 2 \sqrt { 2 - \sqrt { 3 } } }
UN_121_em_463,identical,168x90,168x90,true,\int d y f ( y ) = 1,\int d y f ( y ) = 1
UN_120_em_441,identical,263x95,263x95,true,r ^ { m } \sin ( r ),r ^ { m } \sin ( r )
UN_129_em_1032,identical,126x70,126x70,true,( \log y ) / y,( \log y ) / y
UN_110_em_229,identical,539x84,539x84,true,8 = 2 + 2 + 1 + 1 + 1 + 1,8 = 2 + 2 + 1 + 1 + 1 + 1
UN_458_em_775,identical,365x113,365x113,true,y = x - \frac { 1 } { 2 } ( x _ { 1 } + x _ { 2 } ),y = x - \frac { 1 } { 2 } ( x _ { 1 } + x _ { 2 } )
UN_122_em_472,identical,234x80,234x80,true,x - x _ { o },x - x _ { o }
UN_130_em_1070,identical,361x122,361x122,true,\beta = \sqrt { k } + \frac { 1 } { \sqrt { k } },\beta = \sqrt { k } + \frac { 1 } { \sqrt { k } }
UN_119_em_416,identical,392x114,392x114,true,"( \sin \gamma , 0 , \cos \gamma )","( \sin \gamma , 0 , \cos \gamma )"
UN_103_em_70,identical,335x96,335x96,true,a _ { 1 } b _ { 1 } a _ { 1 } ^ { - 1 } b _ { 1 } ^ { - 1 },a _ { 1 } b _ { 1 } a _ { 1 } ^ { - 1 } b _ { 1 } ^ { - 1 }
UN_123_em_508,identical,139x67,139x67,true,7 _ { \alpha } 7 _ { \alpha },7 _ { \alpha } 7 _ { \alpha }
UN_451_em_622,identical,125x67,125x67,true,n \geq 9,n \geq 9
UN_128_em_1018,identical,226x117,226x117,true,\lim _ { l \rightarrow \infty } f _ { l } = v,\lim _ { l \rightarrow \infty } f _ { l } = v
UN_108_em_197,identical,293x86,293x86,true,| z _ { 1 } | ^ { 2 } + | z _ { 2 } | ^ { 2 } + | z _ { 3 } | ^ { 2 } = 1,| z _ { 1 } | ^ { 2 } + | z _ { 2 } | ^ { 2 } + | z _ { 3 } | ^ { 2 } = 1
UN_133_em_1135,identical,129x66,129x66,true,\sin k x,\sin k x
UN_464_em_927,identical,152x155,152x155,true,- \frac { n ^ { l + 1 } } { l + 1 },- \frac { n ^ { l + 1 } } { l + 1 }
UN_453_em_654,identical,231x68,231x68,true,2 c = \sqrt { 6 } - \sqrt { 3 },2 c = \sqrt { 6 } - \sqrt { 3 }
UN_452_em_633,identical,178x108,178x108,true,\sum _ { a } A ^ { 0 } _ { a a },\sum _ { a } A ^ { 0 } _ { a a }
UN_457_em_758,identical,83x64,83x64,true,\sqrt { - g },\sqrt { - g }
UN_461_em_871,identical,316x94,316x94,true,\sum \alpha _ { i } + \sum \beta _ { i } = 1,\sum \alpha _ { i } + \sum \beta _ { i } = 1
UN_104_em_98,identical,236x76,236x76,true,"8 , 3 9 3 3 9 8 5 8 2","8 , 3 9 3 3 9 8 5 8 2"
UN_453_em_669,identical,193x108,193x108,true,\int d ^ { 1 0 } x \sqrt { G } R,\int d ^ { 1 0 } x \sqrt { G } R
UN_456_em_747,identical,217x106,217x106,true,\sum _ { j } n _ { j } = \sum _ { j } m _ { j },\sum _ { j } n _ { j } = \sum _ { j } m _ { j }
UN_466_em_991,identical,297x112,297x112,true,- \frac { 1 } { 4 } \tan ( \frac { p \pi } { 2 } ),- \frac { 1 } { 4 } \tan ( \frac { p \pi } { 2 } )
UN_457_em_765,identical,213x78,213x78,true,[ x ] { + } [ y ] { + } [ z ],[ x ] { + } [ y ] { + } [ z ]
UN_455_em_713,identical,394x156,394x156,true,\Delta ^ { - 1 } = \int _ { 0 } ^ { 1 } d x x ^ { \Delta - 1 },\Delta ^ { - 1 } = \int _ { 0 } ^ { 1 } d x x ^ { \Delta - 1 }
UN_459_em_804,identical,191x106,191x106,true,\sum _ { i } H _ { i } H _ { i },\sum _ { i } H _ { i } H _ { i }
UN_134_em_1149,identical,338x82,338x82,true,\sin z = 1,\sin z = 1
UN_454_em_694,identical,177x87,177x87,true,y = 2 \sin \frac { \theta } { 2 },y = 2 \sin \frac { \theta } { 2 }
UN_124_em_535,identical,454x228,454x228,true,t ^ { \prime } = \frac { z - \frac { i v z } { c ^ { 2 } } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } },t ^ { \prime } = \frac { z - \frac { i v z } { c ^ { 2 } } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
UN_120_em_439,identical,269x64,269x64,true,\cos x m,\cos x m
UN_125_em_552,identical,307x139,307x139,true,a ^ { a } _ { b c } = a ^ { a } _ { c b },a ^ { a } _ { b c } = a ^ { a } _ { c b }
UN_123_em_511,identical,443x133,443x133,true,\lim _ { i \rightarrow \infty } p _ { i } p _ { i } = \infty,\lim _ { i \rightarrow \infty } p _ { i } p _ { i } = \infty
UN_103_em_69,identical,78x81,78x81,true,\int d E,\int d E
UN_130_em_1069,identical,120x63,120x63,true,P = \sum p,P = \sum p
UN_114_em_299,identical,246x155,246x155,true,- \frac { 7 } { 4 8 0 } \sqrt { 3 0 },- \frac { 7 } { 4 8 0 } \sqrt { 3 0 }
UN_456_em_726,identical,451x102,451x102,true,| \frac { \cos ( x ) - 1 } { x } | = | \frac { \cos ( | x | ) - 1 } { | x | } |,| \frac { \cos ( x ) - 1 } { x } | = | \frac { \cos ( | x | ) - 1 } { | x | } |
UN_102_em_42,identical,450x78,450x78,true,x _ { 1 } x _ { 2 } x _ { 3 } x _ { 4 } x _ { 5 },x _ { 1 } x _ { 2 } x _ { 3 } x _ { 4 } x _ { 5 }
UN_109_em_215,identical,289x95,289x95,true,z = \tan ( c r ) / c,z = \tan ( c r ) / c
UN_101_em_24,identical,396x154,396x154,true,\frac { n ^ { 2 } - n - 4 } { 2 n ( k + n + 1 ) } + \frac { 2 } { n k },\frac { n ^ { 2 } - n - 4 } { 2 n ( k + n + 1 ) } + \frac { 2 } { n k }
UN_460_em_832,identical,146x71,146x71,true,r \sin { \theta },r \sin { \theta }
UN_465_em_959,identical,410x153,410x153,true,\lim _ { t \rightarrow 0 } e ^ { - a / t } / t ^ { n } = 0,\lim _ { t \rightarrow 0 } e ^ { - a / t } / t ^ { n } = 0
UN_128_em_1001,identical,291x102,291x102,true,y ^ { \prime } x ^ { \prime } = q x ^ { \prime } y ^ { \prime },y ^ { \prime } x ^ { \prime } = q x ^ { \prime } y ^ { \prime }
UN_461_em_855,identical,122x71,122x71,true,\sqrt { \beta } H,\sqrt { \beta } H
UN_127_em_601,identical,333x117,333x117,true,\tan ( \frac { \pi ( 2 k - 1 ) } { 4 ( 2 L + 1 ) } ),\tan ( \frac { \pi ( 2 k - 1 ) } { 4 ( 2 L + 1 ) } )
UN_458_em_791,identical,147x84,147x84,true,\cos 2 \gamma,\cos 2 \gamma
UN_106_em_139,identical,331x85,331x85,true,T = \tan \theta,T = \tan \theta
UN_459_em_820,identical,456x146,456x146,true,r = \sqrt { x _ { 6 } ^ { 2 } + x _ { 7 } ^ { 2 } + x _ { 8 } ^ { 2 } + x _ { 9 } ^ { 2 } },r = \sqrt { x _ { 6 } ^ { 2 } + x _ { 7 } ^ { 2 } + x _ { 8 } ^ { 2 } + x _ { 9 } ^ { 2 } }
UN_111_em_257,identical,976x108,976x108,true,v _ { 1 } + v _ { 2 } + \ldots + v _ { n } = n v _ { n + 1 },v _ { 1 } + v _ { 2 } + \ldots + v _ { n } = n v _ { n + 1 }
UN_132_em_1106,identical,126x94,126x94,true,j \neq 9,j \neq 9
UN_110_em_230,identical,136x76,136x76,true,\sin ( \theta ),\sin ( \theta )
UN_131_em_1083,identical,74x68,74x68,true,[ e ],[ e ]
UN_114_em_301,identical,616x165,616x165,true,2 n \pi + \frac { m - 1 } { m + 1 } \pi,2 n \pi + \frac { m - 1 } { m + 1 } \pi
UN_105_em_115,identical,496x125,496x125,true,"( x ^ { 0 } , x ^ { 1 } , x ^ { 2 } , x ^ { 3 } , x ^ { 4 } ) = ( t , x , y , z , \theta )","( x ^ { 0 } , x ^ { 1 } , x ^ { 2 } , x ^ { 3 } , x ^ { 4 } ) = ( t , x , y , z , \theta )"
UN_110_em_248,identical,210x148,210x148,true,\frac { 1 } { \sqrt { N } },\frac { 1 } { \sqrt { N } }
UN_463_em_903,identical,190x123,190x123,true,\frac { G } { H } \times \frac { G } { H },\frac { G } { H } \times \frac { G } { H }
UN_121_em_447,identical,332x120,332x120,true,\int _ { - \infty } ^ { \infty } d x \frac { d } { d x } f ( x ) = 0,\int _ { - \infty } ^ { \infty } d x \frac { d } { d x } f ( x ) = 0
UN_120_em_420,identical,181x73,181x73,true,[ a ] \times [ b ],[ a ] \times [ b ]
UN_117_em_355,identical,521x91,521x91,true,t _ { 1 } t _ { 2 } + t _ { 2 } t _ { 3 } + t _ { 3 } t _ { 1 },t _ { 1 } t _ { 2 } + t _ { 2 } t _ { 3 } + t _ { 3 } t _ { 1 }
UN_107_em_163,identical,369x83,369x83,true,b = - c = \sin \alpha,b = - c = \sin \alpha
UN_106_em_141,identical,303x91,303x91,true,\int ( a + b ) = \int a + \int b,\int ( a + b ) = \int a + \int b
UN_116_em_332,identical,199x96,199x96,true,\tan ^ { 2 } ( \alpha ) g ^ { P },\tan ^ { 2 } ( \alpha ) g ^ { P }
UN_127_em_585,identical,399x100,399x100,true,t g h = g h _ { 1 } + g h _ { 2 } + g h _ { 3 },t g h = g h _ { 1 } + g h _ { 2 } + g h _ { 3 }
UN_453_em_670,identical,82x96,82x96,true,\frac { 1 } { c },\frac { 1 } { c }
UN_462_em_884,identical,205x70,205x70,true,\sum S S = S,\sum S S = S
UN_466_em_988,identical,442x105,442x105,true,\frac { 9 } { 4 } x ^ { 2 } ( 3 x ^ { 3 } - 2 ) ( x ^ { 3 } - 1 ) ^ { - 1 },\frac { 9 } { 4 } x ^ { 2 } ( 3 x ^ { 3 } - 2 ) ( x ^ { 3 } - 1 ) ^ { - 1 }
UN_465_em_964,identical,260x81,260x81,true,x \geq \sqrt { - b },x \geq \sqrt { - b }
UN_101_em_19,identical,1024x103,1024x103,true,L _ { t } ( d x ^ { \mu } e _ { \mu } ^ { a } ( x ) ) = L _ { t } ( d x ^ { \mu } ) e _ { \mu } ^ { a } ( x ) + d x ^ { \mu } L _ { t } e _ { \mu } ^ { a } ( x ),L _ { t } ( d x ^ { \mu } e _ { \mu } ^ { a } ( x ) ) = L _ { t } ( d x ^ { \mu } ) e _ { \mu } ^ { a } ( x ) + d x ^ { \mu } L _ { t } e _ { \mu } ^ { a } ( x )
UN_118_em_385,identical,228x69,228x69,true,8 \times 8 \times 2 8,8 \times 8 \times 2 8
UN_464_em_946,identical,203x61,203x61,true,r = 1 \div n,r = 1 \div n
UN_104_em_81,identical,362x132,362x132,true,f ( x ) = c \frac { 1 - e ^ { - x } } { 1 + e ^ { - x } },f ( x ) = c \frac { 1 - e ^ { - x } } { 1 + e ^ { - x } }
UN_461_em_868,identical,282x95,282x95,true,a = - \tan ^ { 2 } \theta _ { 1 },a = - \tan ^ { 2 } \theta _ { 1 }
UN_103_em_54,identical,349x95,349x95,true,f ( x ) = \log ( x + c ),f ( x ) = \log ( x + c )
UN_118_em_378,identical,250x111,250x111,true,b ^ { a } _ { b c } = b ^ { a } _ { c b },b ^ { a } _ { b c } = b ^ { a } _ { c b }
UN_451_em_606,identical,131x84,131x84,true,\cos \beta _ { n },\cos \beta _ { n }
UN_130_em_1054,identical,142x68,142x68,true,\cos ( \alpha ),\cos ( \alpha )
UN_462_em_879,identical,73x115,73x115,true,\frac { 1 } { 3 ! },\frac { 1 } { 3 ! }
UN_459_em_824,identical,193x84,193x84,true,\int d ^ { 4 } x \sqrt { - g } R,\int d ^ { 4 } x \sqrt { - g } R
UN_111_em_253,identical,87x72,87x72,true,\int C _ { 6 },\int C _ { 6 }
UN_132_em_1102,identical,293x102,293x102,true,\frac { 1 } { 6 } ( n + 1 ) ( n + 2 ) ( n + 3 ),\frac { 1 } { 6 } ( n + 1 ) ( n + 2 ) ( n + 3 )
UN_110_em_234,identical,381x93,381x93,true,a \leq x \leq b,a \leq x \leq b
UN_458_em_795,identical,486x147,486x147,true,\frac { d + 2 e + f } { 2 } - \frac { a + 2 b + c } { 2 },\frac { d + 2 e + f } { 2 } - \frac { a + 2 b + c } { 2 }
UN_120_em_419,identical,98x71,98x71,true,l \log l,l \log l
UN_122_em_492,identical,141x116,141x116,true,q = \frac { \sqrt { d } } { 2 },q = \frac { \sqrt { d } } { 2 }
UN_102_em_46,identical,397x120,397x120,true,- \frac { 1 } { 2 4 } + \frac { a } { 4 } ( 1 - a ),- \frac { 1 } { 2 4 } + \frac { a } { 4 } ( 1 - a )
UN_109_em_211,identical,77x71,77x71,true,w _ { 3 },w _ { 3 }
UN_101_em_20,identical,181x74,181x74,true,x \geq X,x \geq X
UN_460_em_836,identical,136x57,136x57,true,\sigma \sigma \sigma,\sigma \sigma \sigma
UN_128_em_1005,identical,220x73,220x73,true,f ( R ) = \tan R,f ( R ) = \tan R
UN_133_em_1128,identical,99x56,99x56,true,3 . 1 . 3,3 . 1 . 3
UN_461_em_851,identical,187x122,187x122,true,\sum _ { a } n _ { a },\sum _ { a } n _ { a }
UN_123_em_515,identical,569x85,569x85,true,z _ { a 0 } = z _ { a } - z _ { 0 },z _ { a 0 } = z _ { a } - z _ { 0 }
UN_108_em_177,identical,248x77,248x77,true,y _ { 1 } y _ { 2 } + y _ { 2 } y _ { 1 } = 0,y _ { 1 } y _ { 2 } + y _ { 2 } y _ { 1 } = 0
UN_104_em_78,identical,303x137,303x137,true,\frac { 2 1 } { 4 ( k + 6 ) } + \frac { 3 } { 4 ( k + 2 ) },\frac { 2 1 } { 4 ( k + 6 ) } + \frac { 3 } { 4 ( k + 2 ) }
UN_103_em_50,identical,280x92,280x92,true,\lim _ { r \rightarrow \infty } F ( r ) = 0,\lim _ { r \rightarrow \infty } F ( r ) = 0
UN_451_em_602,identical,327x82,327x82,true,"- y , - y , - y , - y","- y , - y , - y , - y"
UN_130_em_1050,identical,91x61,91x61,true,\sqrt { - h },\sqrt { - h }
UN_453_em_674,identical,219x76,219x76,true,B \rightarrow \tan \theta,B \rightarrow \tan \theta
UN_462_em_880,identical,577x120,577x120,true,4 \sin ^ { 2 } { ( \frac { 1 } { 2 } k \theta p ) } = 2 ( 1 + \cos ( k \theta p ) ),4 \sin ^ { 2 } { ( \frac { 1 } { 2 } k \theta p ) } = 2 ( 1 + \cos ( k \theta p ) )
UN_465_em_960,identical,561x105,561x105,true,y _ { i } ^ { 2 } = x _ { i } ( x _ { i } - 1 ) ( x _ { i } - a _ { i } ),y _ { i } ^ { 2 } = x _ { i } ( x _ { i } - 1 ) ( x _ { i } - a _ { i } )
UN_118_em_381,identical,479x209,479x209,true,\frac { d x _ { 1 } d x _ { 2 } d u } { x _ { 1 } x _ { 2 } u },\frac { d x _ { 1 } d x _ { 2 } d u } { x _ { 1 } x _ { 2 } u }
UN_104_em_85,identical,471x119,471x119,true,w ^ { 2 } = ( w _ { 1 } ) ^ { 2 } + ( w _ { 2 } ) ^ { 2 },w ^ { 2 } = ( w _ { 1 } ) ^ { 2 } + ( w _ { 2 } ) ^ { 2 }
UN_464_em_942,identical,338x78,338x78,true,f ( ( n + 4 ) b ) = f ( n b ),f ( ( n + 4 ) b ) = f ( n b )
UN_133_em_1115,identical,321x113,321x113,true,r = \sqrt { y _ { 6 } ^ { 2 } + y _ { 7 } ^ { 2 } + y _ { 8 } ^ { 2 } },r = \sqrt { y _ { 6 } ^ { 2 } + y _ { 7 } ^ { 2 } + y _ { 8 } ^ { 2 } }
UN_124_em_528,identical,338x108,338x108,true,x = \sqrt { x _ { i } x ^ { i } },x = \sqrt { x _ { i } x ^ { i } }
UN_121_em_443,identical,668x113,668x113,true,F _ { 1 2 } = - F _ { 2 1 } = - \tan \theta,F _ { 1 2 } = - F _ { 2 1 } = - \tan \theta
