sample_id,in_san_caption,in_posformer_caption,in_benchmark_csv,in_official_result_zip,posformer_filtered_reason,san_ground_truth,posformer_ground_truth,ground_truth_equal,san_image_file,posformer_image_member,san_height,san_width,posformer_height,posformer_width,same_shape,pixel_exact,pixel_mae,pixel_inverted_mae,binary_exact_threshold_128,binary_inverted_exact_threshold_128,binary_disagreement_fraction,official_posformer_prediction,benchmark_posformer_prediction,prediction_equal,official_posformer_correct,benchmark_posformer_correct,correctness_transition
18_em_3,True,True,True,True,,"q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }",True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_3_0.bmp,data/2014/img/18_em_3.bmp,84,375,84,375,True,True,0.000000,255.000000,True,False,0.00000000,"q _ { 1 } , q _ { 2 } , \ldots , q _ { m }","q _ { 1 } , q _ { 2 } , \ldots , q _ { m }",True,True,True,both_correct
18_em_4,True,True,True,True,,e ^ { - n },e ^ { - n },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_4_0.bmp,data/2014/img/18_em_4.bmp,87,129,87,129,True,True,0.000000,255.000000,True,False,0.00000000,e ^ { - n },e ^ { - n },True,True,True,both_correct
18_em_5,True,True,True,True,,\int g = \lim _ { n \rightarrow \infty } \int g _ { n },\int g = \lim \limits _ { n \rightarrow \infty } \int g _ { n },False,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_5_0.bmp,data/2014/img/18_em_5.bmp,83,194,83,194,True,True,0.000000,255.000000,True,False,0.00000000,\int g = \lim \limits _ { n \rightarrow \infty } \int q _ { n },\int g = \lim \limits _ { n \rightarrow \infty } \int q _ { n },True,False,False,both_wrong
18_em_6,True,True,True,True,,g ( b ) - g ( a ) = b - a,g ( b ) - g ( a ) = b - a,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_6_0.bmp,data/2014/img/18_em_6.bmp,79,261,79,261,True,True,0.000000,255.000000,True,False,0.00000000,g ( 0 ) - g ( a ) = b - a,g ( 0 ) - g ( a ) = b - a,True,False,False,both_wrong
18_em_7,True,True,True,True,,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_7_0.bmp,data/2014/img/18_em_7.bmp,95,160,95,160,True,True,0.000000,255.000000,True,False,0.00000000,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,True,True,True,both_correct
18_em_8,True,True,True,True,,x _ { L L L } \leq x _ { L L },x _ { L L L } \leq x _ { L L },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_8_0.bmp,data/2014/img/18_em_8.bmp,81,281,81,281,True,True,0.000000,255.000000,True,False,0.00000000,x _ { L L L } \leq x _ { L L },x _ { L L L } \leq x _ { L L },True,True,True,both_correct
18_em_9,True,True,True,True,,\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\18_em_9_0.bmp,data/2014/img/18_em_9.bmp,169,271,169,271,True,True,0.000000,255.000000,True,False,0.00000000,\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },True,True,True,both_correct
20_em_25,True,True,True,True,,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_25_0.bmp,data/2014/img/20_em_25.bmp,121,846,121,846,True,True,0.000000,255.000000,True,False,0.00000000,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,True,True,True,both_correct
20_em_26,True,True,True,True,,\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_26_0.bmp,data/2014/img/20_em_26.bmp,166,292,166,292,True,True,0.000000,255.000000,True,False,0.00000000,\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },True,True,True,both_correct
20_em_27,True,True,True,True,,R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_27_0.bmp,data/2014/img/20_em_27.bmp,168,530,168,530,True,True,0.000000,255.000000,True,False,0.00000000,R _ { 0 } = \frac { ( \frac { s + 1 } { p } ) r _ { e } + ( p + 2 + \frac { 2 } { n } } { 2 + \frac { 2 } { n } ) \alpha _ { 0 } },R _ { 0 } = \frac { ( \frac { s + 1 } { p } ) r _ { e } + ( p + 2 + \frac { 2 } { n } } { 2 + \frac { 2 } { n } ) \alpha _ { 0 } },True,False,False,both_wrong
20_em_28,True,True,True,True,,1 . 3 7 9 1 9 4 1 7 1,1 . 3 7 9 1 9 4 1 7 1,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_28_0.bmp,data/2014/img/20_em_28.bmp,72,246,72,246,True,True,0.000000,255.000000,True,False,0.00000000,1 \cdot 3 7 9 1 9 4 1 7 1,1 \cdot 3 7 9 1 9 4 1 7 1,True,False,False,both_wrong
20_em_29,True,True,True,True,,"( - \infty , \infty )","( - \infty , \infty )",True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_29_0.bmp,data/2014/img/20_em_29.bmp,83,257,83,257,True,True,0.000000,255.000000,True,False,0.00000000,"( - \infty , \infty )","( - \infty , \infty )",True,True,True,both_correct
20_em_30,True,True,True,True,,I _ { S },I _ { S },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_30_0.bmp,data/2014/img/20_em_30.bmp,70,53,70,53,True,True,0.000000,255.000000,True,False,0.00000000,I _ { S },I _ { S },True,True,True,both_correct
20_em_31,True,True,True,True,,X X ^ { - 1 } = X ^ { - 1 } X = I,X X ^ { - 1 } = X ^ { - 1 } X = I,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_31_0.bmp,data/2014/img/20_em_31.bmp,101,537,101,537,True,True,0.000000,255.000000,True,False,0.00000000,x x ^ { - 1 } = x ^ { - 1 } x = I,x x ^ { - 1 } = x ^ { - 1 } x = I,True,False,False,both_wrong
20_em_32,True,True,True,True,,\frac { \pi } { 3 },\frac { \pi } { 3 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_32_0.bmp,data/2014/img/20_em_32.bmp,126,86,126,86,True,True,0.000000,255.000000,True,False,0.00000000,\frac { \pi } { 3 },\frac { \pi } { 3 },True,True,True,both_correct
20_em_33,True,True,True,True,,R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_33_0.bmp,data/2014/img/20_em_33.bmp,147,751,147,751,True,True,0.000000,255.000015,True,False,0.00000000,R _ { a } = \frac { R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },R _ { a } = \frac { R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },True,False,False,both_wrong
20_em_34,True,True,True,True,,\sin ( a + b ),\sin ( a + b ),True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_34_0.bmp,data/2014/img/20_em_34.bmp,89,190,89,190,True,True,0.000000,255.000000,True,False,0.00000000,\sin ( a + b ),\sin ( a + b ),True,True,True,both_correct
20_em_35,True,True,True,True,,\mu \geq 0,\mu \geq 0,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_35_0.bmp,data/2014/img/20_em_35.bmp,79,246,79,246,True,True,0.000000,255.000000,True,False,0.00000000,M \geq 0,M \geq 0,True,False,False,both_wrong
20_em_36,True,True,True,True,,e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_36_0.bmp,data/2014/img/20_em_36.bmp,99,382,99,382,True,True,0.000000,255.000000,True,False,0.00000000,e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },True,True,True,both_correct
20_em_37,True,True,True,True,,\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_37_0.bmp,data/2014/img/20_em_37.bmp,211,1096,211,1096,True,True,0.000000,255.000000,True,False,0.00000000,\frac { 3 \times 3 ^ { 2 } + 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times u _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 ^ { 2 } + 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times u _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },True,False,False,both_wrong
20_em_38,True,True,True,True,,Y _ { t + 1 },Y _ { t + 1 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_38_0.bmp,data/2014/img/20_em_38.bmp,79,77,79,77,True,True,0.000000,255.000000,True,False,0.00000000,Y _ { t + H },Y _ { t + H },True,False,False,both_wrong
20_em_39,True,True,True,True,,n ^ { 2 } + n - n,n ^ { 2 } + n - n,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_39_0.bmp,data/2014/img/20_em_39.bmp,98,416,98,416,True,True,0.000000,255.000000,True,False,0.00000000,n ^ { 2 } + n - n,n ^ { 2 } + n - n,True,True,True,both_correct
20_em_40,True,True,True,True,,\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_40_0.bmp,data/2014/img/20_em_40.bmp,92,217,92,217,True,True,0.000000,255.000000,True,False,0.00000000,\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },True,True,True,both_correct
20_em_41,True,True,True,True,,9 / 5,9 / 5,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_41_0.bmp,data/2014/img/20_em_41.bmp,64,115,64,115,True,True,0.000000,255.000000,True,False,0.00000000,9 / 5,9 / 5,True,True,True,both_correct
20_em_42,True,True,True,True,,1 7,1 7,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_42_0.bmp,data/2014/img/20_em_42.bmp,57,56,57,56,True,True,0.000000,255.000000,True,False,0.00000000,1 7,1 7,True,True,True,both_correct
20_em_43,True,True,True,True,,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_43_0.bmp,data/2014/img/20_em_43.bmp,146,367,146,367,True,True,0.000000,255.000000,True,False,0.00000000,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,True,True,True,both_correct
20_em_44,True,True,True,True,,8 c m,8 c m,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_44_0.bmp,data/2014/img/20_em_44.bmp,66,175,66,175,True,True,0.000000,255.000000,True,False,0.00000000,8 c m,8 c m,True,True,True,both_correct
20_em_45,True,True,True,True,,\sqrt { C _ { n } },\sqrt { C _ { n } },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_45_0.bmp,data/2014/img/20_em_45.bmp,71,100,71,100,True,True,0.000000,255.000000,True,False,0.00000000,\sqrt { C _ { n } },\sqrt { C _ { n } },True,True,True,both_correct
20_em_46,True,True,True,True,,\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 },\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_46_0.bmp,data/2014/img/20_em_46.bmp,175,408,175,408,True,True,0.000000,255.000000,True,False,0.00000000,\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + z },\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + z },True,False,False,both_wrong
20_em_47,True,True,True,True,,5 3 9 5,5 3 9 5,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_47_0.bmp,data/2014/img/20_em_47.bmp,60,224,60,224,True,True,0.000000,255.000000,True,False,0.00000000,5 3 9 5,5 3 9 5,True,True,True,both_correct
20_em_48,True,True,True,True,,f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1,f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_48_0.bmp,data/2014/img/20_em_48.bmp,105,374,105,374,True,True,0.000000,255.000000,True,False,0.00000000,"f ( 1 , 9 ) ) = 3 \cdot 1 9 2 1 4 9 2 0 1","f ( 1 , 9 ) ) = 3 \cdot 1 9 2 1 4 9 2 0 1",True,False,False,both_wrong
20_em_49,True,True,True,True,,6 f t,6 f t,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\20_em_49_0.bmp,data/2014/img/20_em_49.bmp,57,73,57,73,True,True,0.000000,255.000000,True,False,0.00000000,6 f t,6 f t,True,True,True,both_correct
23_em_50,True,True,True,True,,d ^ { - 7 },d ^ { - 7 },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\23_em_50_0.bmp,data/2014/img/23_em_50.bmp,90,136,90,136,True,True,0.000000,255.000000,True,False,0.00000000,d ^ { - 7 },d ^ { - 7 },True,True,True,both_correct
23_em_51,True,True,True,True,,n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } },n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } },True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\23_em_51_0.bmp,data/2014/img/23_em_51.bmp,147,613,147,613,True,True,0.000000,254.999985,True,False,0.00000000,n = p _ { 1 } ^ { e ^ { 1 } } p _ { 2 } ^ { e ^ { 2 } } \ldots p _ { m } ^ { e m },n = p _ { 1 } ^ { e ^ { 1 } } p _ { 2 } ^ { e ^ { 2 } } \ldots p _ { m } ^ { e m },True,False,False,both_wrong
23_em_52,True,True,True,True,,2 p,2 p,True,C:\Users\novac\Documents\Unidad\Documentos\IPN\Trabajo_terminal\Programas\SAN\data\14_test_images\23_em_52_0.bmp,data/2014/img/23_em_52.bmp,71,71,71,71,True,True,0.000000,255.000000,True,False,0.00000000,2 p,2 p,True,True,True,both_correct
