id,category,abm_dimensions,reference_dimensions,pixels_equal,abm_gt,reference_gt
UN19wb_1103_em_926,only_limits,222x188,154x132,false,\frac { 1 } { 2 } \int _ { - \infty } ^ { \infty } d z,\frac { 1 } { 2 } \int \limits _ { - \infty } ^ { \infty } d z
ISICal19_1209_em_862,identical,117x95,137x110,false,\frac { 1 } { n },\frac { 1 } { n }
UN19_1019_em_264,identical,659x148,357x89,false,\log ( 1 + 2 \cos ( \pi j ) ),\log ( 1 + 2 \cos ( \pi j ) )
UN19_1018_em_246,identical,340x151,284x127,false,\frac { 3 } { 4 } = - \frac { 1 } { 2 } ( \frac { 1 } { 2 } + 1 ),\frac { 3 } { 4 } = - \frac { 1 } { 2 } ( \frac { 1 } { 2 } + 1 )
ISICal19_1201_em_764,identical,630x102,563x93,false,f - l + e _ { 5 } + e _ { 4 } + e _ { 7 } + e _ { 9 },f - l + e _ { 5 } + e _ { 4 } + e _ { 7 } + e _ { 9 }
UN19_1045_em_647,only_limits,391x127,381x124,false,r ^ { 2 } = \sum _ { i } y ^ { i } y ^ { i },r ^ { 2 } = \sum \limits _ { i } y ^ { i } y ^ { i }
UN19_1013_em_186,identical,627x156,338x94,false,V _ { 1 } = - \log | \sin x |,V _ { 1 } = - \log | \sin x |
ISICal19_1202_em_775,identical,427x121,286x88,false,\frac { 1 } { 2 } ( x ^ { 2 } - y ^ { 2 } ),\frac { 1 } { 2 } ( x ^ { 2 } - y ^ { 2 } )
UN19_1047_em_689,identical,484x175,469x170,false,\frac { 3 + z ^ { 2 } } { 8 } + \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 },\frac { 3 + z ^ { 2 } } { 8 } + \frac { ( 3 + z ^ { 2 } ) ^ { 2 } } { 3 2 }
UN19_1048_em_701,identical,193x104,186x101,false,x y x ^ { - 1 } y ^ { - 1 },x y x ^ { - 1 } y ^ { - 1 }
UN19wb_1118_em_1144,identical,411x106,557x136,false,x _ { j } ^ { 2 } + x _ { j } = x _ { j } ( x _ { j } + 1 ),x _ { j } ^ { 2 } + x _ { j } = x _ { j } ( x _ { j } + 1 )
UN19_1019_em_259,identical,287x167,156x96,false,\int d ^ { d } x \sqrt { g },\int d ^ { d } x \sqrt { g }
ISICal19_1201_em_759,identical,109x108,79x78,false,\int c _ { 3 },\int c _ { 3 }
UN19_1008_em_115,identical,373x84,726x142,false,x u = v x = x p ^ { - 1 } x,x u = v x = x p ^ { - 1 } x
UN19_1048_em_699,identical,236x95,259x102,false,\alpha \rightarrow \frac { \alpha } { 2 } \sqrt { \frac { 5 } { 3 } },\alpha \rightarrow \frac { \alpha } { 2 } \sqrt { \frac { 5 } { 3 } }
UN19_1021_em_294,identical,265x108,184x80,false,\sin ( x ),\sin ( x )
UN19_1015_em_199,residual,255x217,526x443,false,\frac { \sin ^ { 2 } \frac { \pi a } { L { + } 2 } } { \sin ^ { 2 } \frac { \pi } { L { + } 2 } },\frac { \sin ^ { 2 } \frac { \pi a } { L + 2 } } { \sin ^ { 2 } \frac { \pi } { L + 2 } }
UN19_1031_em_436,identical,379x100,427x110,false,x ^ { 2 } + y ^ { 2 } z + z ^ { k - 1 },x ^ { 2 } + y ^ { 2 } z + z ^ { k - 1 }
UN19wb_1114_em_1094,identical,268x141,251x132,false,x < \frac { 1 } { \sqrt [ 3 ] { a } },x < \frac { 1 } { \sqrt [ 3 ] { a } }
UN19_1026_em_374,residual,149x111,204x149,false,\frac { 1 } { 2 } \times \frac 1 2,\frac { 1 } { 2 } \times \frac { 1 } { 2 }
ISICal19_1204_em_804,identical,404x111,301x87,false,a x + b y = 0,a x + b y = 0
UN19_1032_em_462,identical,287x157,156x91,false,B = \frac { 4 9 } { 9 },B = \frac { 4 9 } { 9 }
ISICal19_1206_em_837,identical,316x106,464x145,false,\frac { n ( 2 n - 1 ) ( 2 n + 1 ) } { 3 },\frac { n ( 2 n - 1 ) ( 2 n + 1 ) } { 3 }
ISICal19_1207_em_850,identical,538x128,410x102,false,\frac { 1 } { 2 } ( r - 1 ) ( r + 1 ) ( r + 2 ),\frac { 1 } { 2 } ( r - 1 ) ( r + 1 ) ( r + 2 )
ISICal19_1204_em_797,identical,274x133,271x131,false,b \geq \frac { 1 } { a - 1 },b \geq \frac { 1 } { a - 1 }
UN19_1041_em_597,identical,203x171,72x64,false,- \sqrt { 2 },- \sqrt { 2 }
UN19_1012_em_166,identical,297x137,132x69,false,a \sqrt { 2 },a \sqrt { 2 }
UN19_1046_em_669,identical,160x80,158x78,false,x \geq c,x \geq c
UN19wb_1118_em_1146,identical,571x110,983x171,false,T ^ { a a } = T ^ { x ^ { 2 } x ^ { 2 } } + \ldots + T ^ { x ^ { d } x ^ { d } },T ^ { a a } = T ^ { x ^ { 2 } x ^ { 2 } } + \ldots + T ^ { x ^ { d } x ^ { d } }
ISICal19_1206_em_835,identical,153x87,132x77,false,4 \times 9,4 \times 9
ISICal19_1210_em_878,identical,111x100,145x129,false,\pm \frac { \sqrt { 3 } } { 2 },\pm \frac { \sqrt { 3 } } { 2 }
ISICal19_1204_em_795,identical,414x102,496x118,false,H = p ^ { 2 } + i \sin x,H = p ^ { 2 } + i \sin x
ISICal19_1207_em_852,identical,247x89,223x82,false,\sin E t,\sin E t
UN19_1041_em_595,only_limits,360x203,249x144,false,x ^ { 2 } = \sum _ { a = 1 } ^ { 3 } x _ { a } ^ { 2 },x ^ { 2 } = \sum \limits _ { a = 1 } ^ { 3 } x _ { a } ^ { 2 }
UN19_1032_em_460,residual,676x175,374x106,false,"[ a + i \frac \beta 2 , b + i \frac \beta 2 ]","[ a + i \frac { \beta } { 2 } , b + i \frac { \beta } { 2 } ]"
UN19wb_1121_em_1186,identical,361x91,281x74,false,"\sin x _ { i } , \cos x _ { i }","\sin x _ { i } , \cos x _ { i }"
ISICal19_1205_em_824,identical,455x85,599x103,false,[ b _ { 1 } ] \times [ b _ { 2 } ] \times [ b _ { 3 } ],[ b _ { 1 } ] \times [ b _ { 2 } ] \times [ b _ { 3 } ]
ISICal19_1204_em_806,residual,559x193,386x139,false,z = \frac 1 { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } ),z = \frac { 1 } { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } )
UN19wb_1103_em_919,only_limits,262x136,208x111,false,X ( t ) = \sum _ { n } t ^ { n } X _ { n },X ( t ) = \sum \limits _ { n } t ^ { n } X _ { n }
UN19_1008_em_117,identical,349x73,536x99,false,T ^ { a a } = T ^ { x x } + T ^ { y y },T ^ { a a } = T ^ { x x } + T ^ { y y }
UN19_1021_em_296,identical,307x107,187x72,false,\sin ( n z ),\sin ( n z )
UN19wb_1102_em_906,identical,247x123,206x104,false,\frac { n } { 2 } + \frac { 7 } { 2 },\frac { n } { 2 } + \frac { 7 } { 2 }
ISICal19_1205_em_819,residual,130x122,103x96,false,\int { d } ^ { 4 } x,\int d ^ { 4 } x
UN19_1001_em_5,identical,139x95,135x93,false,m \int d t,m \int d t
UN19wb_1103_em_924,identical,183x123,96x69,false,\sqrt { a b },\sqrt { a b }
UN19_1042_em_600,identical,642x170,541x146,false,y d x = \frac { j ^ { 2 } - q ^ { 2 } } { 1 + q ^ { 2 } } d y x - \frac { j q } { 1 + q ^ { 2 } } d x y,y d x = \frac { j ^ { 2 } - q ^ { 2 } } { 1 + q ^ { 2 } } d y x - \frac { j q } { 1 + q ^ { 2 } } d x y
UN19_1035_em_505,identical,525x116,351x84,false,\cos ( z v ) / \sin ( z ),\cos ( z v ) / \sin ( z )
UN19_1040_em_577,identical,281x135,250x121,false,[ n ] = \frac { q ^ { n } - q ^ { - n } } { q - q ^ { - 1 } },[ n ] = \frac { q ^ { n } - q ^ { - n } } { q - q ^ { - 1 } }
UN19_1043_em_622,identical,553x197,170x72,false,\beta = \cos \alpha,\beta = \cos \alpha
UN19_1020_em_274,identical,585x136,430x105,false,A = A ^ { x } e _ { x } + A ^ { y } e _ { y },A = A ^ { x } e _ { x } + A ^ { y } e _ { y }
UN19_1036_em_514,identical,158x200,83x101,false,\frac { 1 } { \sqrt { N } },\frac { 1 } { \sqrt { N } }
UN19_1037_em_536,only_limits,224x127,173x101,false,\sum _ { a } n _ { a },\sum \limits _ { a } n _ { a }
UN19_1007_em_98,identical,310x137,254x115,false,\sqrt { g _ { t t } g _ { x x } },\sqrt { g _ { t t } g _ { x x } }
UN19_1048_em_703,identical,217x104,124x66,false,\theta < \infty,\theta < \infty
UN19_1034_em_482,identical,490x126,301x85,false,V ( x ) = i \sin x,V ( x ) = i \sin x
UN19_1045_em_645,identical,444x195,227x107,false,\sqrt { 1 + \frac { a ^ { 4 } } { r ^ { 4 } } } > 1,\sqrt { 1 + \frac { a ^ { 4 } } { r ^ { 4 } } } > 1
UN19_1013_em_184,identical,141x124,89x80,false,t r,t r
ISICal19_1202_em_777,only_limits,672x169,592x150,false,"\lim _ { x \rightarrow \infty } f ( k , x ) e ^ { - i k x } = 1","\lim \limits _ { x \rightarrow \infty } f ( k , x ) e ^ { - i k x } = 1"
UN19_1004_em_46,identical,538x178,233x87,false,( 0 0 1 0 0 0 0 0 0 ),( 0 0 1 0 0 0 0 0 0 )
ISICal19_1209_em_860,identical,723x121,457x84,false,( f + 1 ) - f - f + ( f - 1 ) = 0,( f + 1 ) - f - f + ( f - 1 ) = 0
UN19_1019_em_266,identical,141x135,60x58,false,I H,I H
UN19_1018_em_244,only_limits,525x163,293x100,false,c = \lim _ { k \rightarrow + \infty } \Delta ( k ),c = \lim \limits _ { k \rightarrow + \infty } \Delta ( k )
UN19_1047_em_676,identical,273x134,200x102,false,\sqrt { g _ { x x } g _ { t t } },\sqrt { g _ { x x } g _ { t t } }
UN19wb_1108_em_1003,identical,425x81,714x119,false,- b j _ { 2 1 } = b j _ { 1 } + b + \frac { 1 } { 2 b },- b j _ { 2 1 } = b j _ { 1 } + b + \frac { 1 } { 2 b }
UN19_1051_em_747,identical,813x106,686x92,false,3 \times 3 \times 3 + 3 + 3 + 3 \times 3 = 3 \times 1 4,3 \times 3 \times 3 + 3 + 3 + 3 \times 3 = 3 \times 1 4
UN19wb_1115_em_1100,only_limits,332x91,469x119,false,\lim _ { x \rightarrow \pm \infty } V ( x ) = 0,\lim \limits _ { x \rightarrow \pm \infty } V ( x ) = 0
UN19_1050_em_720,identical,408x130,416x131,false,f ( x ) = \alpha _ { a b } x ^ { a } x ^ { b },f ( x ) = \alpha _ { a b } x ^ { a } x ^ { b }
UN19wb_1117_em_1137,identical,267x115,407x165,false,\frac { i } { k + i } = 1 - \frac { k } { k + i },\frac { i } { k + i } = 1 - \frac { k } { k + i }
UN19_1046_em_670,identical,115x76,121x79,false,x \geq 0,x \geq 0
UN19_1039_em_558,identical,617x165,403x115,false,\frac { d } { d y } ( y \frac { d w } { d y } ) - 2 w ( w ^ { 2 } - 1 ) = 0,\frac { d } { d y } ( y \frac { d w } { d y } ) - 2 w ( w ^ { 2 } - 1 ) = 0
UN19_1023_em_319,identical,238x105,211x95,false,a = \sqrt { \frac { 5 } { 6 } },a = \sqrt { \frac { 5 } { 6 } }
UN19wb_1113_em_1076,identical,498x106,479x103,false,\beta = \frac { 1 } { 2 } \sqrt { n ^ { 2 } - 8 n + d },\beta = \frac { 1 } { 2 } \sqrt { n ^ { 2 } - 8 n + d }
UN19wb_1111_em_1041,identical,318x86,347x92,false,( a b ) = \frac { 1 } { 2 } ( a b + b a ),( a b ) = \frac { 1 } { 2 } ( a b + b a )
UN19_1044_em_643,identical,765x172,410x101,false,\sqrt { a _ { i } } \sqrt { a _ { j } } \leq \frac { 1 } { 2 } ( a _ { i } + a _ { j } ),\sqrt { a _ { i } } \sqrt { a _ { j } } \leq \frac { 1 } { 2 } ( a _ { i } + a _ { j } )
UN19_1049_em_705,identical,264x134,205x107,false,4 \pi ^ { 4 } \int a ^ { 3 } b ^ { 3 } d t,4 \pi ^ { 4 } \int a ^ { 3 } b ^ { 3 } d t
UN19_1002_em_24,identical,301x90,288x87,false,x ^ { p + 1 } \ldots x ^ { 5 },x ^ { p + 1 } \ldots x ^ { 5 }
UN19wb_1116_em_1120,identical,445x115,384x101,false,[ a _ { 1 } ] \times [ a _ { 2 } ] \times [ a _ { 3 } ],[ a _ { 1 } ] \times [ a _ { 2 } ] \times [ a _ { 3 } ]
UN19wb_1111_em_1039,identical,457x68,665x87,false,9 \times 9 + 1 3 \times 1 3 - ( 3 + 3 + 1 ) = 2 4 3,9 \times 9 + 1 3 \times 1 3 - ( 3 + 3 + 1 ) = 2 4 3
UN19wb_1115_em_1098,identical,508x104,610x120,false,"[ a ^ { x } b , a ^ { y } b ] = a ^ { 2 ( x - y ) }","[ a ^ { x } b , a ^ { y } b ] = a ^ { 2 ( x - y ) }"
UN19_1029_em_417,identical,171x67,288x98,false,x \neq a,x \neq a
UN19_1011_em_153,residual,390x126,501x155,false,\sqrt { q } = 2 \cos \frac { \pi } { ( p { + } 1 ) },\sqrt { q } = 2 \cos \frac { \pi } { ( p + 1 ) }
UN19_1002_em_19,identical,323x188,182x111,false,2 \int R _ { a b } R ^ { a b } c,2 \int R _ { a b } R ^ { a b } c
UN19_1005_em_74,identical,466x169,247x97,false,\sum q _ { i } = - \frac { 1 } { 4 },\sum q _ { i } = - \frac { 1 } { 4 }
UN19wb_1120_em_1175,identical,182x96,229x117,false,\frac { n } { 2 } + \frac { 3 } { 2 },\frac { n } { 2 } + \frac { 3 } { 2 }
UN19wb_1109_em_1014,identical,195x95,275x128,false,b = \frac { 1 } { \sqrt { 1 - 4 c } },b = \frac { 1 } { \sqrt { 1 - 4 c } }
UN19_1023_em_324,identical,335x117,223x84,false,\beta = \sqrt { 2 a b },\beta = \sqrt { 2 a b }
UN19_1039_em_565,identical,314x129,255x107,false,b \rightarrow - \frac { 2 } { b },b \rightarrow - \frac { 2 } { b }
UN19_1038_em_547,only_limits,802x190,581x142,false,( \lim _ { q \rightarrow \infty } \sqrt { 1 + q ^ { 2 } } \int _ { - \infty } ^ { \infty } e ^ { - q | x | / a } d x ) ^ { - 1 } = 1 / 2 a,( \lim \limits _ { q \rightarrow \infty } \sqrt { 1 + q ^ { 2 } } \int \limits _ { - \infty } ^ { \infty } e ^ { - q | x | / a } d x ) ^ { - 1 } = 1 / 2 a
UN19_1022_em_306,identical,275x130,477x215,false,x = \frac { e ^ { c r } } { a c },x = \frac { e ^ { c r } } { a c }
UN19_1003_em_32,identical,106x128,99x120,false,\frac { c } { u },\frac { c } { u }
UN19_1030_em_432,identical,667x118,403x80,false,S _ { a b } S _ { b } + S _ { b } S _ { a b } = 0,S _ { a b } S _ { b } + S _ { b } S _ { a b } = 0
UN19wb_1112_em_1061,identical,244x134,132x78,false,\sqrt { m n },\sqrt { m n }
UN19_1015_em_206,identical,656x133,572x118,false,( x ^ { 1 } ) ^ { 2 } + ( x ^ { 2 } ) ^ { 2 } + ( x ^ { 3 } ) ^ { 2 } + ( x ^ { 4 } ),( x ^ { 1 } ) ^ { 2 } + ( x ^ { 2 } ) ^ { 2 } + ( x ^ { 3 } ) ^ { 2 } + ( x ^ { 4 } )
UN19_1033_em_466,residual,657x130,432x92,false,2 \pi ( \sin { \theta _ { 1 } } + \sin { \theta _ { 2 } } ),2 \pi ( \sin \theta _ { 1 } + \sin \theta _ { 2 } )
UN19_1016_em_217,identical,782x107,561x82,false,n _ { 1 } \sin \theta _ { 1 } = n _ { 2 } \sin \theta _ { 2 },n _ { 1 } \sin \theta _ { 1 } = n _ { 2 } \sin \theta _ { 2 }
UN19_1017_em_235,only_limits,517x163,368x121,false,\theta = \lim _ { m } n _ { m } / s _ { m },\theta = \lim \limits _ { m } n _ { m } / s _ { m }
UN19wb_1113_em_1072,identical,420x130,397x123,false,F = \frac { 1 } { 4 } F _ { a b } F ^ { a b },F = \frac { 1 } { 4 } F _ { a b } F ^ { a b }
UN19wb_1116_em_1119,identical,373x92,397x96,false,F ( x ) = x ( 1 + \frac { x } { a } ),F ( x ) = x ( 1 + \frac { x } { a } )
UN19wb_1111_em_1045,identical,229x69,290x81,false,\tan o = q \div p,\tan o = q \div p
UN19_1010_em_148,identical,508x104,627x122,false,\sin x = \frac { 1 } { 2 } ( 1 - \cos 2 x ),\sin x = \frac { 1 } { 2 } ( 1 - \cos 2 x )
UN19_1002_em_20,identical,719x95,602x83,false,d s ^ { 2 } = d t ^ { 2 } - a ^ { 2 } ( t ) d x ^ { 2 } - b ^ { 2 } ( t ) ( d y ^ { 2 } + d z ^ { 2 } ),d s ^ { 2 } = d t ^ { 2 } - a ^ { 2 } ( t ) d x ^ { 2 } - b ^ { 2 } ( t ) ( d y ^ { 2 } + d z ^ { 2 } )
UN19wb_1104_em_941,identical,241x106,198x89,false,- 1 + \frac { 1 } { n },- 1 + \frac { 1 } { n }
UN19_1046_em_674,identical,87x85,108x105,false,E x p,E x p
UN19wb_1106_em_972,identical,347x136,249x102,false,\frac { 1 } { 2 } ( 3 \pm \sqrt { 9 - 4 m ^ { 2 } } ),\frac { 1 } { 2 } ( 3 \pm \sqrt { 9 - 4 m ^ { 2 } } )
ISICal19_1203_em_788,identical,340x66,409x73,false,x + ( y \div 7 ) = 7 b,x + ( y \div 7 ) = 7 b
UN19_1028_em_399,identical,594x150,595x149,false,r = \sqrt { x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } + x _ { 3 } ^ { 2 } },r = \sqrt { x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } + x _ { 3 } ^ { 2 } }
UN19_1051_em_743,identical,217x212,152x148,false,\frac { 1 } { \sqrt { 3 6 0 } },\frac { 1 } { \sqrt { 3 6 0 } }
UN19wb_1115_em_1104,identical,218x80,213x78,false,c < c _ { c r },c < c _ { c r }
UN19_1050_em_724,only_limits,373x139,410x151,false,c ( w ) = \sum _ { n } c _ { n } w ^ { - n + 1 },c ( w ) = \sum \limits _ { n } c _ { n } w ^ { - n + 1 }
UN19_1009_em_128,identical,329x123,196x80,false,\sin ( k r ),\sin ( k r )
UN19wb_1112_em_1058,identical,281x111,165x73,false,h \rightarrow h h,h \rightarrow h h
UN19wb_1117_em_1133,identical,519x99,489x93,false,( n + 1 ) \times ( n + 1 ) \times \ldots \times ( n + 1 ),( n + 1 ) \times ( n + 1 ) \times \ldots \times ( n + 1 )
ISICal19_1206_em_828,identical,435x123,560x151,false,\frac { 1 } { 2 } + \frac { 1 } { n _ { 2 } } + \frac { 1 } { n _ { 3 } } > 1,\frac { 1 } { 2 } + \frac { 1 } { n _ { 2 } } + \frac { 1 } { n _ { 3 } } > 1
UN19_1041_em_588,residual,347x119,203x77,false,\cos { ( m y ) },\cos ( m y )
UN19_1027_em_389,identical,557x97,544x94,false,x _ { 0 } + g ( x - x _ { 0 } ),x _ { 0 } + g ( x - x _ { 0 } )
UN19_1016_em_213,identical,758x144,379x83,false,3 \times 2 + 8 + r - 4,3 \times 2 + 8 + r - 4
UN19_1017_em_231,identical,207x58,225x60,false,n \times n,n \times n
UN19_1025_em_347,identical,145x215,105x152,false,\int \limits _ { a } ^ { b } a _ { 0 },\int \limits _ { a } ^ { b } a _ { 0 }
ISICal19_1211_em_887,identical,312x74,277x67,false,c \rightarrow \alpha c,c \rightarrow \alpha c
UN19_1015_em_202,only_limits,433x147,490x164,false,\lim _ { x \rightarrow \infty } \phi ( x ) = \phi ^ { 0 },\lim \limits _ { x \rightarrow \infty } \phi ( x ) = \phi ^ { 0 }
UN19wb_1120_em_1171,identical,286x76,354x88,false,z = \tan \mu,z = \tan \mu
UN19wb_1109_em_1010,identical,399x63,768x97,false,z = x ^ { 2 i + 2 } + i x ^ { 2 i + 3 },z = x ^ { 2 i + 2 } + i x ^ { 2 i + 3 }
UN19_1023_em_320,identical,406x154,382x146,false,- \frac { ( 1 - z ^ { 2 } ) ( 1 + z ) } { 8 },- \frac { ( 1 - z ^ { 2 } ) ( 1 + z ) } { 8 }
UN19_1039_em_561,identical,722x111,568x92,false,r = \sqrt { ( x ^ { 1 } ) ^ { 2 } + \ldots + ( x ^ { p } ) ^ { 2 } },r = \sqrt { ( x ^ { 1 } ) ^ { 2 } + \ldots + ( x ^ { p } ) ^ { 2 } }
UN19_1038_em_543,identical,745x189,472x127,false,\phi ( x ) = \frac { c ( \sqrt { 1 + \frac { 4 x } { a } } + 1 ) } { 2 x } ( 1 + \frac { c ( 1 + \frac { 4 x } { a } + 1 ) } { 2 a x } ),\phi ( x ) = \frac { c ( \sqrt { 1 + \frac { 4 x } { a } } + 1 ) } { 2 x } ( 1 + \frac { c ( 1 + \frac { 4 x } { a } + 1 ) } { 2 a x } )
