id,category,left_gt,right_gt,left_dimensions,right_dimensions,image_bytes_equal
ISICal19_1204_em_806,residual,z = \frac 1 { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } ),z = \frac { 1 } { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } ),559x193,386x139,false
ISICal19_1204_em_807,identical,( t - x ) ( t + x ) > 0,( t - x ) ( t + x ) > 0,577x144,388x103,false
ISICal19_1204_em_808,identical,x _ { i } - x = y \tan \theta _ { i },x _ { i } - x = y \tan \theta _ { i },585x138,517x124,false
ISICal19_1204_em_809,identical,V _ { 2 } ( x ) = \frac { 1 } { \sin ^ { 2 } ( x ) },V _ { 2 } ( x ) = \frac { 1 } { \sin ^ { 2 } ( x ) },596x165,459x131,false
ISICal19_1205_em_810,only_limits,A = \sum _ { x } m _ { x } ( x ),A = \sum \limits _ { x } m _ { x } ( x ),221x81,368x120,false
ISICal19_1205_em_811,identical,- \frac { 3 9 3 } { 3 8 4 0 },- \frac { 3 9 3 } { 3 8 4 0 },188x120,277x171,false
ISICal19_1205_em_812,identical,\cos n \sigma,\cos n \sigma,161x65,300x105,false
ISICal19_1205_em_813,identical,- \frac { ( 1 - z ^ { 2 } ) ( 1 + z ) ^ { 2 } } { 3 2 },- \frac { ( 1 - z ^ { 2 } ) ( 1 + z ) ^ { 2 } } { 3 2 },454x145,535x166,false
ISICal19_1205_em_814,residual,\sin ^ { 2 } { F },\sin ^ { 2 } F,174x85,186x90,false
ISICal19_1205_em_815,identical,\sqrt { 3 \alpha },\sqrt { 3 \alpha },132x143,82x87,false
ISICal19_1205_em_816,identical,"\sqrt { s } , \sqrt { s - b } , \sqrt { s - a }","\sqrt { s } , \sqrt { s - b } , \sqrt { s - a }",496x187,343x134,false
ISICal19_1205_em_817,residual,C = \frac { 1 } { 3 2 } + \frac { \log { 2 } } { 9 6 },C = \frac { 1 } { 3 2 } + \frac { \log 2 } { 9 6 },366x123,518x165,false
ISICal19_1205_em_818,identical,( 0 0 0 0 ) ( 0 0 0 0 ),( 0 0 0 0 ) ( 0 0 0 0 ),446x136,273x90,false
ISICal19_1205_em_819,residual,\int { d } ^ { 4 } x,\int d ^ { 4 } x,130x122,103x96,false
ISICal19_1205_em_820,identical,- \frac { 1 } { 3 } \int A ^ { 3 },- \frac { 1 } { 3 } \int A ^ { 3 },243x105,276x117,false
ISICal19_1205_em_821,identical,\sin \theta _ { 1 } \sin \theta _ { 2 } = 0,\sin \theta _ { 1 } \sin \theta _ { 2 } = 0,326x74,630x122,false
ISICal19_1205_em_822,identical,x d y = q d y x + ( q ^ { 2 } - 1 ) d x y,x d y = q d y x + ( q ^ { 2 } - 1 ) d x y,643x142,662x145,false
ISICal19_1205_em_823,identical,a + \frac { 1 } { 2 } \geq \frac { 5 - N } { N ( N - 1 ) },a + \frac { 1 } { 2 } \geq \frac { 5 - N } { N ( N - 1 ) },530x119,646x139,false
ISICal19_1205_em_824,identical,[ b _ { 1 } ] \times [ b _ { 2 } ] \times [ b _ { 3 } ],[ b _ { 1 } ] \times [ b _ { 2 } ] \times [ b _ { 3 } ],455x85,599x103,false
ISICal19_1206_em_825,identical,"( \frac { 5 } { 7 } , \frac { 5 } { 7 } )","( \frac { 5 } { 7 } , \frac { 5 } { 7 } )",239x128,154x88,false
ISICal19_1206_em_826,identical,x d y = - \frac { j q } { 1 + q ^ { 2 } } d y x + \frac { j ^ { 2 } q ^ { 2 } - 1 } { 1 + q ^ { 2 } } d x y,x d y = - \frac { j q } { 1 + q ^ { 2 } } d y x + \frac { j ^ { 2 } q ^ { 2 } - 1 } { 1 + q ^ { 2 } } d x y,746x133,991x169,false
ISICal19_1206_em_827,identical,m n t ^ { n } ( n - 1 + m n t ^ { n } ),m n t ^ { n } ( n - 1 + m n t ^ { n } ),519x113,587x123,false
ISICal19_1206_em_828,identical,\frac { 1 } { 2 } + \frac { 1 } { n _ { 2 } } + \frac { 1 } { n _ { 3 } } > 1,\frac { 1 } { 2 } + \frac { 1 } { n _ { 2 } } + \frac { 1 } { n _ { 3 } } > 1,435x123,560x151,false
ISICal19_1206_em_829,identical,\frac { \infty } { \infty },\frac { \infty } { \infty },133x134,141x141,false
ISICal19_1206_em_830,identical,M = M _ { 0 } + M _ { 1 } Y + M _ { 2 } [ I ( I + 1 ) - \frac { 1 } { 4 } Y ^ { 2 } ] - M _ { 3 } S ( S + 1 ),M = M _ { 0 } + M _ { 1 } Y + M _ { 2 } [ I ( I + 1 ) - \frac { 1 } { 4 } Y ^ { 2 } ] - M _ { 3 } S ( S + 1 ),730x67,1469x108,false
ISICal19_1206_em_831,identical,f ^ { a b c } + f ^ { a c b } = 0,f ^ { a b c } + f ^ { a c b } = 0,473x148,381x122,false
ISICal19_1206_em_832,identical,\sin ( 2 \frac { d } { d k } ),\sin ( 2 \frac { d } { d k } ),344x113,301x101,false
ISICal19_1206_em_833,identical,- \frac { 8 } { \sqrt { 7 } } \leq c _ { 1 } \leq 0,- \frac { 8 } { \sqrt { 7 } } \leq c _ { 1 } \leq 0,403x157,502x191,false
ISICal19_1206_em_834,residual,x ^ { c } = x ^ { c } _ { ( 0 ) } + y ^ { c },x ^ { c } = x _ { ( 0 ) } ^ { c } + y ^ { c },401x130,618x190,false
ISICal19_1206_em_835,identical,4 \times 9,4 \times 9,153x87,132x77,false
ISICal19_1206_em_836,identical,\cos \gamma = \cos \theta \cos \theta ^ { \prime } + \sin \theta \sin \theta ^ { \prime } \cos ( \phi - \phi ^ { \prime } ),\cos \gamma = \cos \theta \cos \theta ^ { \prime } + \sin \theta \sin \theta ^ { \prime } \cos ( \phi - \phi ^ { \prime } ),802x102,1472x166,false
ISICal19_1206_em_837,identical,\frac { n ( 2 n - 1 ) ( 2 n + 1 ) } { 3 },\frac { n ( 2 n - 1 ) ( 2 n + 1 ) } { 3 },316x106,464x145,false
ISICal19_1206_em_838,identical,c = \frac { 3 } { 2 } \sum x _ { i },c = \frac { 3 } { 2 } \sum x _ { i },284x89,361x106,false
ISICal19_1206_em_839,identical,c \rightarrow c + d a,c \rightarrow c + d a,294x69,503x101,false
ISICal19_1207_em_840,identical,\sqrt { - M },\sqrt { - M },168x134,73x61,false
ISICal19_1207_em_841,identical,\frac { - 3 } { \sqrt { 6 0 } },\frac { - 3 } { \sqrt { 6 0 } },222x167,179x136,false
ISICal19_1207_em_842,only_limits,G _ { 0 } = \lim _ { m \rightarrow 0 } G,G _ { 0 } = \lim \limits _ { m \rightarrow 0 } G,364x105,355x102,false
ISICal19_1207_em_843,identical,( 9 - 4 - 2 ) \times 9,( 9 - 4 - 2 ) \times 9,411x116,257x79,false
ISICal19_1207_em_844,identical,\cos ( n z ),\cos ( n z ),272x88,227x76,false
ISICal19_1207_em_845,identical,\sin \theta = \frac { 1 1 9 } { 1 2 0 },\sin \theta = \frac { 1 1 9 } { 1 2 0 },294x107,341x121,false
ISICal19_1207_em_846,identical,"k _ { v } ( x , y ) = x ^ { 1 1 } y + 1 1 x ^ { 6 } y ^ { 6 } - x y ^ { 1 1 }","k _ { v } ( x , y ) = x ^ { 1 1 } y + 1 1 x ^ { 6 } y ^ { 6 } - x y ^ { 1 1 }",692x111,658x107,false
ISICal19_1207_em_847,identical,x ^ { 7 } - x ^ { 8 },x ^ { 7 } - x ^ { 8 },260x107,263x107,false
ISICal19_1207_em_848,identical,"a = n + \frac { 1 } { 2 } , n + \frac { 5 } { 6 }","a = n + \frac { 1 } { 2 } , n + \frac { 5 } { 6 }",492x119,632x146,false
ISICal19_1207_em_849,identical,n ! k !,n ! k !,210x105,181x92,false
ISICal19_1207_em_850,identical,\frac { 1 } { 2 } ( r - 1 ) ( r + 1 ) ( r + 2 ),\frac { 1 } { 2 } ( r - 1 ) ( r + 1 ) ( r + 2 ),538x128,410x102,false
ISICal19_1207_em_851,identical,x ^ { n } - a x ^ { s } + b = 0,x ^ { n } - a x ^ { s } + b = 0,509x114,372x89,false
ISICal19_1207_em_852,identical,\sin E t,\sin E t,247x89,223x82,false
ISICal19_1207_em_853,identical,f ( x ) = ( x _ { a } ^ { 2 } - x _ { b } ^ { 2 } ),f ( x ) = ( x _ { a } ^ { 2 } - x _ { b } ^ { 2 } ),526x137,333x93,false
ISICal19_1207_em_854,identical,0 \leq \beta \leq 0 . 7 5 7,0 \leq \beta \leq 0 . 7 5 7,516x106,390x85,false
ISICal19_1209_em_855,identical,2 a _ { 1 } + 2 a _ { 2 } + 2 a _ { 3 } + 2 a _ { 4 } + 2 a _ { 5 } + 2 a _ { 6 },2 a _ { 1 } + 2 a _ { 2 } + 2 a _ { 3 } + 2 a _ { 4 } + 2 a _ { 5 } + 2 a _ { 6 },626x60,1110x86,false
ISICal19_1209_em_856,identical,e . g,e . g,167x89,108x62,false
ISICal19_1209_em_857,only_limits,\sum _ { i } a _ { i } = 0 = \sum _ { i } t _ { i },\sum \limits _ { i } a _ { i } = 0 = \sum \limits _ { i } t _ { i },524x139,722x184,false
ISICal19_1209_em_858,identical,( 1 - x ) ^ { c - a - b },( 1 - x ) ^ { c - a - b },409x121,295x92,false
ISICal19_1209_em_859,identical,2 0 \div 3 0,2 0 \div 3 0,288x78,343x87,false
ISICal19_1209_em_860,identical,( f + 1 ) - f - f + ( f - 1 ) = 0,( f + 1 ) - f - f + ( f - 1 ) = 0,723x121,457x84,false
ISICal19_1209_em_861,identical,( x - y ) ^ { 2 } = ( x ^ { 0 } - y ^ { 0 } ) ^ { 2 } - ( x ^ { 1 } - y ^ { 1 } ) ^ { 2 },( x - y ) ^ { 2 } = ( x ^ { 0 } - y ^ { 0 } ) ^ { 2 } - ( x ^ { 1 } - y ^ { 1 } ) ^ { 2 },753x136,585x110,false
ISICal19_1209_em_862,identical,\frac { 1 } { n },\frac { 1 } { n },117x95,137x110,false
ISICal19_1209_em_863,only_limits,\lim _ { r \rightarrow + \infty } u ^ { \prime } v ^ { \prime } = + \infty,\lim \limits _ { r \rightarrow + \infty } u ^ { \prime } v ^ { \prime } = + \infty,518x162,591x181,false
ISICal19_1209_em_864,identical,\int d z,\int d z,206x154,105x82,false
ISICal19_1209_em_865,identical,\sqrt { g _ { y y } },\sqrt { g _ { y y } },211x156,103x80,false
ISICal19_1209_em_866,identical,\sin \theta _ { 1 } \sin \theta _ { 2 } \sin \theta _ { 3 } \sin \theta _ { 4 },\sin \theta _ { 1 } \sin \theta _ { 2 } \sin \theta _ { 3 } \sin \theta _ { 4 },715x91,880x105,false
ISICal19_1209_em_867,only_limits,\frac { 1 } { e ^ { x } + 1 } = 2 e ^ { - x } - \sum _ { n = 1 } ^ { \infty } e ^ { - n x },\frac { 1 } { e ^ { x } + 1 } = 2 e ^ { - x } - \sum \limits _ { n = 1 } ^ { \infty } e ^ { - n x },687x151,930x195,false
ISICal19_1209_em_868,identical,- 9 . 9 1 9 9,- 9 . 9 1 9 9,408x89,331x76,false
ISICal19_1209_em_869,identical,| k | ^ { - 1 } \sin | k | u,| k | ^ { - 1 } \sin | k | u,529x147,346x102,false
ISICal19_1210_em_870,only_limits,\sqrt { 1 - x } = \sum _ { n = 0 } ^ { \infty } \alpha _ { n } x ^ { n },\sqrt { 1 - x } = \sum \limits _ { n = 0 } ^ { \infty } \alpha _ { n } x ^ { n },296x93,450x130,false
ISICal19_1210_em_871,identical,- a < b \leq a,- a < b \leq a,273x73,257x70,false
ISICal19_1210_em_872,identical,\tan x,\tan x,135x79,134x78,false
ISICal19_1210_em_873,identical,3 ^ { 7 } c ^ { 5 } + 3 ^ { 6 } c ^ { 4 } - 2 7 5 4 c ^ { 3 } - 7 0 2 c ^ { 2 } + 7 1 1 c + 8 5,3 ^ { 7 } c ^ { 5 } + 3 ^ { 6 } c ^ { 4 } - 2 7 5 4 c ^ { 3 } - 7 0 2 c ^ { 2 } + 7 1 1 c + 8 5,682x70,938x85,false
ISICal19_1210_em_874,identical,x + a,x + a,126x48,179x59,false
ISICal19_1210_em_875,identical,x \rightarrow x + x ^ { c l },x \rightarrow x + x ^ { c l },279x64,492x95,false
ISICal19_1210_em_876,identical,\cos k _ { n } x ^ { 5 },\cos k _ { n } x ^ { 5 },139x69,209x94,false
ISICal19_1210_em_877,identical,\frac { 1 } { 2 } \times \frac { 1 } { 2 },\frac { 1 } { 2 } \times \frac { 1 } { 2 },148x100,193x127,false
ISICal19_1210_em_878,identical,\pm \frac { \sqrt { 3 } } { 2 },\pm \frac { \sqrt { 3 } } { 2 },111x100,145x129,false
ISICal19_1210_em_879,identical,| x y |,| x y |,101x73,103x74,false
ISICal19_1210_em_880,identical,( f + g ) ( x ) = f ( x ) + g ( x ),( f + g ) ( x ) = f ( x ) + g ( x ),448x86,441x84,false
ISICal19_1210_em_881,identical,a = \sqrt { \frac { \beta } { \alpha } },a = \sqrt { \frac { \beta } { \alpha } },109x95,103x90,false
ISICal19_1210_em_882,identical,v ( x ) = x + f _ { 1 } x ^ { 2 } + \ldots,v ( x ) = x + f _ { 1 } x ^ { 2 } + \ldots,314x67,503x93,false
ISICal19_1210_em_883,identical,\cos ( 2 M t ),\cos ( 2 M t ),183x65,202x69,false
ISICal19_1210_em_884,identical,\phi ( y ) = 1 - \frac { 1 } { 4 } y ^ { 2 } - \frac { 1 } { 1 6 } y ^ { 4 } \log y + \ldots,\phi ( y ) = 1 - \frac { 1 } { 4 } y ^ { 2 } - \frac { 1 } { 1 6 } y ^ { 4 } \log y + \ldots,516x118,524x119,false
ISICal19_1211_em_885,identical,t - x,t - x,176x82,126x62,false
ISICal19_1211_em_886,identical,- x _ { 0 } \leq x \leq x _ { 0 },- x _ { 0 } \leq x \leq x _ { 0 },388x83,456x92,false
ISICal19_1211_em_887,identical,c \rightarrow \alpha c,c \rightarrow \alpha c,312x74,277x67,false
ISICal19_1211_em_888,identical,t - t,t - t,160x70,160x70,false
ISICal19_1211_em_889,identical,- \frac { 1 } { 2 } \log 2,- \frac { 1 } { 2 } \log 2,228x93,240x96,false
ISICal19_1211_em_890,identical,( 1 + 1 + 0 + 0 ) + ( 4 \times 0 ) + ( 4 \times 0 ),( 1 + 1 + 0 + 0 ) + ( 4 \times 0 ) + ( 4 \times 0 ),641x90,687x94,false
ISICal19_1211_em_891,identical,a [ 1 ] = a _ { 1 } + \frac { 3 } { 2 } a _ { 2 } + 2 a _ { 3 } + a _ { 4 } + \frac { 1 1 } { 2 },a [ 1 ] = a _ { 1 } + \frac { 3 } { 2 } a _ { 2 } + 2 a _ { 3 } + a _ { 4 } + \frac { 1 1 } { 2 },604x100,763x119,false
ISICal19_1211_em_892,identical,\beta ^ { ( 3 ) } = - \frac { 1 7 } { 3 } \frac { 1 } { ( 4 \pi ) ^ { 4 } },\beta ^ { ( 3 ) } = - \frac { 1 7 } { 3 } \frac { 1 } { ( 4 \pi ) ^ { 4 } },351x108,386x117,false
ISICal19_1211_em_893,identical,\frac { 1 } { x } x = 1,\frac { 1 } { x } x = 1,232x111,241x115,false
ISICal19_1211_em_894,identical,\frac { 1 } { 5 },\frac { 1 } { 5 },90x119,93x124,false
ISICal19_1211_em_895,identical,a + \frac { 1 } { 2 } \geq \frac { 1 } { 2 },a + \frac { 1 } { 2 } \geq \frac { 1 } { 2 },258x82,337x100,false
ISICal19_1211_em_896,identical,1 - b x - c x ^ { 2 } \neq 0,1 - b x - c x ^ { 2 } \neq 0,410x74,443x77,false
ISICal19_1211_em_897,identical,4 ( n + 1 ) - 3 n - n = 4,4 ( n + 1 ) - 3 n - n = 4,750x312,710x296,false
ISICal19_1211_em_898,identical,\frac { \sqrt { A } } { \alpha } - \frac { 1 } { 2 },\frac { \sqrt { A } } { \alpha } - \frac { 1 } { 2 },283x125,292x127,false
ISICal19_1211_em_899,identical,\cos f ( 0 ) = - \cos f ( \pi ) = \pm 1,\cos f ( 0 ) = - \cos f ( \pi ) = \pm 1,615x88,594x85,false
UN19_1001_em_0,identical,A _ { i },A _ { i },65x80,65x80,false
UN19_1001_em_1,identical,\sin ( \pi j ),\sin ( \pi j ),154x85,165x89,false
UN19_1001_em_10,identical,1 / ( \cos \alpha ) ^ { 2 } - ( \tan \alpha ) ^ { 2 } = 1,1 / ( \cos \alpha ) ^ { 2 } - ( \tan \alpha ) ^ { 2 } = 1,479x95,541x104,false
UN19_1001_em_11,identical,9 \div 5 \div x,9 \div 5 \div x,389x86,288x68,false
UN19_1001_em_12,identical,\beta = x _ { 3 } y _ { 3 } - x _ { 1 } y _ { 1 },\beta = x _ { 3 } y _ { 3 } - x _ { 1 } y _ { 1 },438x93,479x98,false
UN19_1001_em_13,identical,a ^ { 1 } a ^ { 2 } a ^ { 3 } a ^ { 4 } a ^ { 5 },a ^ { 1 } a ^ { 2 } a ^ { 3 } a ^ { 4 } a ^ { 5 },298x97,361x112,false
UN19_1001_em_14,only_limits,\sum _ { a } \alpha _ { j } ^ { a } \alpha _ { j } ^ { a } = 1,\sum \limits _ { a } \alpha _ { j } ^ { a } \alpha _ { j } ^ { a } = 1,392x131,421x138,false
UN19_1001_em_2,identical,x ^ { b } - y ^ { b },x ^ { b } - y ^ { b },121x80,156x100,false
UN19_1001_em_3,identical,\frac { n } { 2 } + \frac { 1 } { 2 },\frac { n } { 2 } + \frac { 1 } { 2 },115x89,193x144,false
UN19_1001_em_4,identical,b = b _ { 0 } + b _ { 1 } + . . . + b _ { k },b = b _ { 0 } + b _ { 1 } + . . . + b _ { k },354x83,434x95,false
UN19_1001_em_5,identical,m \int d t,m \int d t,139x95,135x93,false
UN19_1001_em_6,identical,\sum m ^ { 2 },\sum m ^ { 2 },111x68,136x79,false
UN19_1001_em_7,only_limits,\sum _ { i } r _ { i } + \sum _ { i } s _ { i },\sum \limits _ { i } r _ { i } + \sum \limits _ { i } s _ { i },256x104,333x128,false
UN19_1001_em_8,identical,\frac { 2 } { 3 } k + 7,\frac { 2 } { 3 } k + 7,153x82,188x96,false
UN19_1001_em_9,identical,[ a b ] = a b - b a,[ a b ] = a b - b a,325x84,309x80,false
UN19_1002_em_15,identical,x ^ { a } x ^ { b },x ^ { a } x ^ { b },130x87,120x81,false
UN19_1002_em_16,identical,3 9,3 9,81x67,65x55,false
UN19_1002_em_17,identical,E F + E E E,E F + E E E,242x67,492x112,false
