sample_id,difference_only_limits,symLG_equal,D_B,ground_truth_san,ground_truth_posformer
35_em_18,True,False,8,\pi \int _ { 0 } ^ { 1 } x d x,\pi \int \limits _ { 0 } ^ { 1 } x d x
35_em_8,True,False,16,\lim _ { z \rightarrow z _ { 0 } } f ( z ) = k,\lim \limits _ { z \rightarrow z _ { 0 } } f ( z ) = k
36_em_26,True,False,16,\sum _ { n = 1 } ^ { 5 } ( 2 n + 1 ),\sum \limits _ { n = 1 } ^ { 5 } ( 2 n + 1 )
36_em_32,True,False,12,\lim _ { x \rightarrow 0 } f ( x ),\lim \limits _ { x \rightarrow 0 } f ( x )
36_em_48,True,False,4,\sum _ { k } j [ k ],\sum \limits _ { k } j [ k ]
37_em_14,True,False,12,\lim _ { x \rightarrow 0 } f ( x ) = 0,\lim \limits _ { x \rightarrow 0 } f ( x ) = 0
37_em_24,True,False,28,\lim _ { n \rightarrow \infty } \frac { 2 } { n } \sum _ { i = 1 } ^ { n } \frac { 4 i ^ { 2 } } { n ^ { 2 } },\lim \limits _ { n \rightarrow \infty } \frac { 2 } { n } \sum \limits _ { i = 1 } ^ { n } \frac { 4 i ^ { 2 } } { n ^ { 2 } }
37_em_26,True,False,16,\int _ { a } ^ { b } f ( x ) d x = \int _ { a } ^ { b } g ( x ) d x,\int \limits _ { a } ^ { b } f ( x ) d x = \int \limits _ { a } ^ { b } g ( x ) d x
500_em_110,True,False,4,x = \sum _ { i } x _ { i },x = \sum \limits _ { i } x _ { i }
501_em_9,True,False,32,\int \sum _ { j = 0 } ^ { \infty } a _ { j } z ^ { j } d z = \sum _ { j = 1 } ^ { \infty } \frac { a _ { j - 1 } } { j } x ^ { j },\int \sum \limits _ { j = 0 } ^ { \infty } a _ { j } z ^ { j } d z = \sum \limits _ { j = 1 } ^ { \infty } \frac { a _ { j - 1 } } { j } x ^ { j }
502_em_7,True,False,32,\sum _ { k = 1 } ^ { n } a _ { k } + \sum _ { k = 1 } ^ { n } b _ { k },\sum \limits _ { k = 1 } ^ { n } a _ { k } + \sum \limits _ { k = 1 } ^ { n } b _ { k }
502_em_8,True,False,12,\int _ { - \infty } ^ { \infty } e ^ { - w ^ { 2 } } d w = \sqrt { \pi },\int \limits _ { - \infty } ^ { \infty } e ^ { - w ^ { 2 } } d w = \sqrt { \pi }
503_em_26,True,False,16,\lim _ { z \rightarrow z _ { 0 } } f ( z ),\lim \limits _ { z \rightarrow z _ { 0 } } f ( z )
505_em_54,True,False,16,\sum _ { n = 1 } ^ { k } x _ { n } z _ { n },\sum \limits _ { n = 1 } ^ { k } x _ { n } z _ { n }
506_em_67,True,False,28,\lim _ { n \rightarrow \infty } \frac { 8 } { n ^ { 3 } } \sum _ { i = 1 } ^ { n } i ^ { 2 },\lim \limits _ { n \rightarrow \infty } \frac { 8 } { n ^ { 3 } } \sum \limits _ { i = 1 } ^ { n } i ^ { 2 }
507_em_71,True,False,32,\sum _ { n = 1 } ^ { 1 0 0 0 0 } ( 1 0 0 0 1 - n ) ^ { - 2 },\sum \limits _ { n = 1 } ^ { 1 0 0 0 0 } ( 1 0 0 0 1 - n ) ^ { - 2 }
509_em_92,True,False,12,\lim _ { x \rightarrow \infty } p _ { k } ( x ) = \infty,\lim \limits _ { x \rightarrow \infty } p _ { k } ( x ) = \infty
511_em_258,True,False,16,\sum _ { i = 1 } ^ { n } a _ { i },\sum \limits _ { i = 1 } ^ { n } a _ { i }
511_em_262,True,False,12,\lim _ { n \rightarrow \infty } \frac { x ^ { 3 } } { n ^ { 3 } } \frac { 2 n ^ { 3 } + 3 n ^ { 2 } + n } { 6 },\lim \limits _ { n \rightarrow \infty } \frac { x ^ { 3 } } { n ^ { 3 } } \frac { 2 n ^ { 3 } + 3 n ^ { 2 } + n } { 6 }
511_em_269,True,False,24,\sum _ { k = 2 } ^ { 1 0 0 } ( - 1 ) ^ { k } \frac { 1 } { k ^ { 2 } },\sum \limits _ { k = 2 } ^ { 1 0 0 } ( - 1 ) ^ { k } \frac { 1 } { k ^ { 2 } }
511_em_270,True,False,8,\frac { 1 } { 2 } \int _ { 1 } ^ { 5 } \cos ( u ) d u,\frac { 1 } { 2 } \int \limits _ { 1 } ^ { 5 } \cos ( u ) d u
512_em_276,True,False,24,y _ { i + 1 } = y _ { i } + \int _ { x _ { i } } ^ { x _ { i + 1 } } f d x,y _ { i + 1 } = y _ { i } + \int \limits _ { x _ { i } } ^ { x _ { i + 1 } } f d x
512_em_290,True,False,32,2 \sum _ { x = 1 } ^ { n } x - \sum _ { x = 1 } ^ { n } 1,2 \sum \limits _ { x = 1 } ^ { n } x - \sum \limits _ { x = 1 } ^ { n } 1
512_em_293,True,False,12,\lim _ { n \rightarrow \infty } \frac { 4 } { 3 } \frac { 2 n ^ { 2 } + 3 n + 1 } { n ^ { 2 } },\lim \limits _ { n \rightarrow \infty } \frac { 4 } { 3 } \frac { 2 n ^ { 2 } + 3 n + 1 } { n ^ { 2 } }
513_em_314,True,False,12,\int _ { - 1 } ^ { 1 } ( f ( z ) - 1 / 2 ) ^ { 2 } d x,\int \limits _ { - 1 } ^ { 1 } ( f ( z ) - 1 / 2 ) ^ { 2 } d x
514_em_334,True,False,36,\sum _ { n = 1 } ^ { 1 0 } ( 2 n + 1 ) - \sum _ { n = 1 } ^ { 4 } ( 2 n + 1 ),\sum \limits _ { n = 1 } ^ { 1 0 } ( 2 n + 1 ) - \sum \limits _ { n = 1 } ^ { 4 } ( 2 n + 1 )
516_em_379,True,False,12,\lim _ { n \rightarrow \infty } f _ { n } ( x ) = 0,\lim \limits _ { n \rightarrow \infty } f _ { n } ( x ) = 0
518_em_414,True,False,16,\lim _ { z \rightarrow z _ { 0 } } f ( z ) = f ( z _ { 0 } ),\lim \limits _ { z \rightarrow z _ { 0 } } f ( z ) = f ( z _ { 0 } )
518_em_426,True,False,24,\pi \int _ { - R } ^ { R } R ^ { 2 } d x - \pi \int _ { - R } ^ { R } x ^ { 2 } d x,\pi \int \limits _ { - R } ^ { R } R ^ { 2 } d x - \pi \int \limits _ { - R } ^ { R } x ^ { 2 } d x
518_em_434,True,False,16,\sum _ { r = 1 } ^ { n } r ^ { 2 } = \frac { 1 } { 6 } n ( 2 n + 1 ) ( n + 1 ),\sum \limits _ { r = 1 } ^ { n } r ^ { 2 } = \frac { 1 } { 6 } n ( 2 n + 1 ) ( n + 1 )
519_em_462,True,False,16,\sum _ { r = 1 } ^ { n } r,\sum \limits _ { r = 1 } ^ { n } r
RIT_2014_107,True,False,16,\sum _ { n = 1 } ^ { \infty } \frac { ( - 1 ) ^ { n } } { \sin n },\sum \limits _ { n = 1 } ^ { \infty } \frac { ( - 1 ) ^ { n } } { \sin n }
RIT_2014_123,True,False,24,\int _ { x _ { i - 1 } } ^ { x _ { i } } f ( x ) d x,\int \limits _ { x _ { i - 1 } } ^ { x _ { i } } f ( x ) d x
RIT_2014_129,True,False,8,\int _ { 2 } ^ { b } f d \alpha,\int \limits _ { 2 } ^ { b } f d \alpha
RIT_2014_133,False,False,1,0 \leq x \leq 2 \pi,0 \leq x \leq 2 \Pi
RIT_2014_15,True,False,16,\sum _ { n = 1 } ^ { \infty } x _ { n },\sum \limits _ { n = 1 } ^ { \infty } x _ { n }
RIT_2014_158,True,False,16,\sum _ { i = 1 } ^ { \infty } \frac { 1 } { 2 },\sum \limits _ { i = 1 } ^ { \infty } \frac { 1 } { 2 }
RIT_2014_162,True,False,32,\frac { \sum _ { i = 0 } ^ { m } b ^ { i } s ^ { i } } { \sum _ { i = 0 } ^ { n } a ^ { i } s ^ { i } },\frac { \sum \limits _ { i = 0 } ^ { m } b ^ { i } s ^ { i } } { \sum \limits _ { i = 0 } ^ { n } a ^ { i } s ^ { i } }
RIT_2014_181,True,False,12,\lim _ { b \rightarrow \infty } f ( b ),\lim \limits _ { b \rightarrow \infty } f ( b )
RIT_2014_182,True,False,16,\sum _ { i = 1 } ^ { \infty } ( a _ { i } - b _ { i } ) ^ { 2 },\sum \limits _ { i = 1 } ^ { \infty } ( a _ { i } - b _ { i } ) ^ { 2 }
RIT_2014_183,True,False,12,\lim _ { x \rightarrow \infty } p _ { 2 } ( x ) > 0,\lim \limits _ { x \rightarrow \infty } p _ { 2 } ( x ) > 0
RIT_2014_184,True,False,12,\lim _ { b \rightarrow \infty } f ( b ) = 0,\lim \limits _ { b \rightarrow \infty } f ( b ) = 0
RIT_2014_185,True,False,24,\lim _ { n \rightarrow \infty } n \sin ( \frac { 2 ^ { \pi } } { n + 1 } ) - \lim _ { n \rightarrow \infty } n \frac { 2 \pi } { n + 1 } - 2 \pi,\lim \limits _ { n \rightarrow \infty } n \sin ( \frac { 2 ^ { \pi } } { n + 1 } ) - \lim \limits _ { n \rightarrow \infty } n \frac { 2 \pi } { n + 1 } - 2 \pi
RIT_2014_191,False,False,48,x [ \infty ] = \lim _ { z \rightarrow 1 ( z - 1 ) x ( z ) },x [ \infty ] = \lim \limits _ { z \rightarrow 1 } ( z - 1 ) x ( z )
RIT_2014_193,True,False,4,E _ { t o t } = \sum _ { n } E _ { n },E _ { t o t } = \sum \limits _ { n } E _ { n }
RIT_2014_2,True,False,12,\lim _ { x \rightarrow c } f ( x ) = L,\lim \limits _ { x \rightarrow c } f ( x ) = L
RIT_2014_200,True,False,12,\lim _ { n \rightarrow \infty } y _ { n } = 0,\lim \limits _ { n \rightarrow \infty } y _ { n } = 0
RIT_2014_207,True,False,16,\sum _ { i = 1 } ^ { n } [ i ^ { k + 1 } - ( i - 1 ) ^ { k + 1 } ] = n ^ { k + 1 },\sum \limits _ { i = 1 } ^ { n } [ i ^ { k + 1 } - ( i - 1 ) ^ { k + 1 } ] = n ^ { k + 1 }
RIT_2014_208,True,False,16,\sum _ { k = 1 } ^ { 1 } a _ { k } = a _ { 1 },\sum \limits _ { k = 1 } ^ { 1 } a _ { k } = a _ { 1 }
RIT_2014_21,True,False,24,\sum _ { i = 1 } ^ { n + 1 } i,\sum \limits _ { i = 1 } ^ { n + 1 } i
RIT_2014_211,True,False,28,\lim _ { n \rightarrow \infty } \frac { 2 } { n } \sum _ { i = 1 } ^ { n } ( \frac { 2 i } { n } ) ^ { 2 },\lim \limits _ { n \rightarrow \infty } \frac { 2 } { n } \sum \limits _ { i = 1 } ^ { n } ( \frac { 2 i } { n } ) ^ { 2 }
RIT_2014_214,True,False,40,\sum _ { i = 1 } ^ { n + 1 } i = \sum _ { i = 1 } ^ { n } i + ( n + 1 ) = \frac { n ( n + 1 ) } { 2 } + n + 1,\sum \limits _ { i = 1 } ^ { n + 1 } i = \sum \limits _ { i = 1 } ^ { n } i + ( n + 1 ) = \frac { n ( n + 1 ) } { 2 } + n + 1
RIT_2014_216,False,False,48,\lim _ { y \rightarrow x f ( y ) = f ( x ) },\lim \limits _ { y \rightarrow x } f ( y ) = f ( x )
RIT_2014_217,False,False,6,"v _ { \pm 1 , \pm 2 _ { , } \pm 3 }","v _ { \pm 1 , \pm 2 , \pm 3 }"
RIT_2014_225,False,False,16,"d ( x , y ) + d ( y _ { , } z ) \geq d ( x _ { , } z )","d ( x , y ) + d ( y , z ) \geq d ( x , z )"
RIT_2014_235,True,False,12,\lim _ { x \rightarrow c } f ( x ),\lim \limits _ { x \rightarrow c } f ( x )
RIT_2014_243,True,False,20,\sum _ { n = 5 } ^ { 1 0 } ( 2 _ { n } + 1 ),\sum \limits _ { n = 5 } ^ { 1 0 } ( 2 _ { n } + 1 )
RIT_2014_259,True,False,4,- \sum _ { i } P _ { i } \log _ { n } P _ { i },- \sum \limits _ { i } P _ { i } \log _ { n } P _ { i }
RIT_2014_267,True,False,24,\int _ { a } ^ { c } f + \int _ { c } ^ { b } f = \int _ { a } ^ { b } f,\int \limits _ { a } ^ { c } f + \int \limits _ { c } ^ { b } f = \int \limits _ { a } ^ { b } f
RIT_2014_290,True,False,48,\sum _ { k = 1 } ^ { N } a _ { n } \leq \sum _ { k = 1 } ^ { N } b _ { n } \leq \sum _ { n = 1 } ^ { \infty } b _ { n },\sum \limits _ { k = 1 } ^ { N } a _ { n } \leq \sum \limits _ { k = 1 } ^ { N } b _ { n } \leq \sum \limits _ { n = 1 } ^ { \infty } b _ { n }
RIT_2014_295,True,False,12,\lim _ { y \rightarrow x } f ( x ),\lim \limits _ { y \rightarrow x } f ( x )
RIT_2014_304,True,False,16,\lim _ { x \rightarrow - \infty } P _ { k + 1 } ( x ) < 0,\lim \limits _ { x \rightarrow - \infty } P _ { k + 1 } ( x ) < 0
RIT_2014_312,True,False,32,\sum _ { i = 1 } ^ { n } a ^ { 2 } = a ^ { 2 } \sum _ { i = 1 } ^ { n } 1 = n a ^ { 2 },\sum \limits _ { i = 1 } ^ { n } a ^ { 2 } = a ^ { 2 } \sum \limits _ { i = 1 } ^ { n } 1 = n a ^ { 2 }
RIT_2014_51,False,False,10,"1 , 0 0 0 _ { , } 0 0 0 _ { , } 0 0 0","1 , 0 0 0 , 0 0 0 , 0 0 0"
RIT_2014_66,True,False,48,\sum _ { k = 1 } ^ { n } a _ { k } = \sum _ { i = 1 } ^ { n } a = \sum _ { j = 1 } ^ { n } a _ { j },\sum \limits _ { k = 1 } ^ { n } a _ { k } = \sum \limits _ { i = 1 } ^ { n } a = \sum \limits _ { j = 1 } ^ { n } a _ { j }
RIT_2014_91,True,False,16,\sum _ { r = 1 } ^ { n } r ^ { 3 },\sum \limits _ { r = 1 } ^ { n } r ^ { 3 }
RIT_2014_94,True,False,16,\sum _ { n = 1 } ^ { \infty } \frac { \cos \pi n } { n },\sum \limits _ { n = 1 } ^ { \infty } \frac { \cos \pi n } { n }
