sample_id,status,error,height,width,ground_truth_bttr,ground_truth_posformer,san_prediction,bttr_exact,bttr_no_limits,posformer_exact,posformer_no_limits,time_ms
18_em_7,ok,,95,160,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,\sin ^ { 2 } \theta,1,1,1,1,116.219100
18_em_8,ok,,81,281,x _ { L L L } \leq x _ { L L },x _ { L L L } \leq x _ { L L },x _ { L L L \leq x _ { L } } \leq x _ { L L },0,0,0,0,128.447500
18_em_9,ok,,169,271,\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },\frac { a } { b + \sqrt { c } },1,1,1,1,170.301500
20_em_25,ok,,121,846,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,\sin ( x + y ) = \sin x \cos y + \cos x \sin y,1,1,1,1,154.904400
20_em_26,ok,,166,292,\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },\frac { 9 } { 9 + \sqrt { 9 } },1,1,1,1,112.795300
20_em_27,ok,,168,530,R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } },b _ { 0 } = \frac { ( \frac { \beta + 1 } { P } ) e + ( p + 2 + \frac { 2 } { 0 } } { 2 + \frac { 2 } { r } },0,0,0,0,213.628900
20_em_28,ok,,72,246,1 . 3 7 9 1 9 4 1 7 1,1 . 3 7 9 1 9 4 1 7 1,1 . 3 7 9 1 9 7 1 7 1,0,0,0,0,124.587900
20_em_29,ok,,83,257,"( - \infty , \infty )","( - \infty , \infty )","( - \infty , \infty )",1,1,1,1,118.482000
20_em_30,ok,,70,53,I _ { S },I _ { S },[ s,0,0,0,0,107.731600
20_em_31,ok,,101,537,X X ^ { - 1 } = X ^ { - 1 } X = I,X X ^ { - 1 } = X ^ { - 1 } X = I,x x ^ { 1 } = x ^ { - 1 } x = I,0,0,0,0,138.199500
20_em_32,ok,,126,86,\frac { \pi } { 3 },\frac { \pi } { 3 },\frac { \pi } { 3 },1,1,1,1,137.613700
20_em_33,ok,,147,751,R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } },"R _ { a } = \frac { R , R _ { 2 } + R _ { 2 } R _ { 3 } + k _ { 3 } h _ { 1 } } { r _ { 2 } }",0,0,0,0,161.296200
20_em_34,ok,,89,190,\sin ( a + b ),\sin ( a + b ),\sin ( a + b ),1,1,1,1,122.962500
20_em_35,ok,,79,246,\mu \geq 0,\mu \geq 0,M = 0,0,0,0,0,71.236600
20_em_36,ok,,99,382,e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },e _ { 5 } - 5 e _ { 4 },1,1,1,1,158.673200
20_em_37,ok,,211,1096,\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },\frac { 3 \times 3 } { 2 } + \frac { 5 x ( - 5 ) ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 } = \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 } = \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 },0,0,0,0,218.446800
20_em_38,ok,,79,77,Y _ { t + 1 },Y _ { t + 1 },Y _ { t + H },0,0,0,0,108.265800
20_em_39,ok,,98,416,n ^ { 2 } + n - n,n ^ { 2 } + n - n,n ^ { 2 } + n - n,1,1,1,1,151.538500
20_em_40,ok,,92,217,\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },\sqrt { 4 x ^ { 5 } + x },1,1,1,1,126.300400
20_em_41,ok,,64,115,9 / 5,9 / 5,9 / 5,1,1,1,1,17.385700
20_em_42,ok,,57,56,1 7,1 7,1 T,0,0,0,0,105.869900
20_em_43,ok,,146,367,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8,1,1,1,1,168.188800
20_em_44,ok,,66,175,8 c m,8 c m,8 c m,1,1,1,1,122.704500
20_em_45,ok,,71,100,\sqrt { C _ { n } },\sqrt { C _ { n } },\sqrt { C _ { n } },1,1,1,1,84.872500
20_em_46,ok,,175,408,\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 },\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 },\frac { d _ { 1 } - 2 } { d } \frac { d _ { 2 } } { d _ { 2 + 2 } },0,0,0,0,169.508300
20_em_47,ok,,60,224,5 3 9 5,5 3 9 5,5 3 9 5,1,1,1,1,120.515200
20_em_48,ok,,105,374,f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1,f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1,f ( 1 \cdot 9 ) ) = 3 \cdot 9 9 2 1 > 2 0 1,0,0,0,0,120.439100
20_em_49,ok,,57,73,6 f t,6 f t,6 f t,1,1,1,1,89.983300
23_em_50,ok,,90,136,d ^ { - 7 },d ^ { - 7 },d ^ { - 7 },1,1,1,1,83.027900
23_em_51,ok,,147,613,n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } },n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } },n = f _ { 1 } ^ { e ^ { l } } f _ { 2 } ^ { e } \ldots f _ { m } ^ { e _ { m } },0,0,0,0,170.741400
23_em_52,ok,,71,71,2 p,2 p,2 p,1,1,1,1,86.521500
23_em_53,ok,,153,292,\frac { 1 } { 3 } + \frac { 1 } { 3 },\frac { 1 } { 3 } + \frac { 1 } { 3 },\frac { 1 } { 3 } + \frac { 1 } { 3 },1,1,1,1,163.379700
23_em_54,ok,,83,216,\beta _ { 0 } = 1 0 0 0,\beta _ { 0 } = 1 0 0 0,\beta _ { 0 } = 1 0 0 0,1,1,1,1,100.460100
23_em_55,ok,,74,153,\sqrt { 1 1 3 },\sqrt { 1 1 3 },\sqrt { 1 1 3 },1,1,1,1,127.621900
23_em_56,ok,,59,132,9 + 2,9 + 2,9 + 2,1,1,1,1,128.687800
23_em_57,ok,,97,276,\sqrt { 3 ^ { 2 } + 2 ^ { 2 } } = \sqrt { 1 3 },\sqrt { 3 ^ { 2 } + 2 ^ { 2 } } = \sqrt { 1 3 },\sqrt { 3 ^ { 2 } + z ^ { 2 } } = \sqrt { 1 3 },0,0,0,0,130.465500
23_em_58,ok,,93,220,z ^ { d } + z,z ^ { d } + z,z ^ { d } + z,1,1,1,1,52.369700
23_em_59,ok,,204,530,\sum _ { r = 1 } ^ { n } a r ^ { b } = a \sum _ { r = 1 } ^ { n } r ^ { b },\sum \limits _ { r = 1 } ^ { n } a r ^ { b } = a \sum \limits _ { r = 1 } ^ { n } r ^ { b },\sum _ { \gamma = 1 } ^ { n } a ^ { b } = a \sum _ { r = 1 } ^ { n } \gamma ^ { b },0,0,0,0,205.192000
23_em_60,ok,,114,263,\frac { 2 } { 3 } + \frac { 1 } { 9 } = ( \frac { 7 } { 9 } ),\frac { 2 } { 3 } + \frac { 1 } { 9 } = ( \frac { 7 } { 9 } ),\frac { 2 } { 3 } + \frac { 1 } { q } = ( \frac { 7 } { 9 } ),0,0,0,0,138.580700
23_em_61,ok,,71,269,\cos 2 \alpha,\cos 2 \alpha,\cos 2 \alpha,1,1,1,1,92.741400
23_em_62,ok,,81,271,t ^ { 2 } + t + x,t ^ { 2 } + t + x,t ^ { 2 } + t + x,1,1,1,1,87.051000
23_em_63,ok,,107,316,F = \sqrt { F _ { x } ^ { 2 } + F _ { y } ^ { 2 } },F = \sqrt { F _ { x } ^ { 2 } + F _ { y } ^ { 2 } },F = \sqrt { F _ { x } ^ { 2 } + F _ { y } ^ { 2 } },1,1,1,1,180.907100
23_em_64,ok,,91,184,\log _ { e } x,\log _ { e } x,\log _ { e } x,1,1,1,1,93.773800
23_em_65,ok,,65,118,f ( n - 1 ),f ( n - 1 ),f ( n - 1 ),1,1,1,1,123.079400
23_em_66,ok,,83,226,z ^ { 3 } + z = z,z ^ { 3 } + z = z,z ^ { 3 } + z = z,1,1,1,1,118.746100
23_em_67,ok,,89,245,2 ( ( x + 2 ) ^ { 2 } - 4 + 1 ),2 ( ( x + 2 ) ^ { 2 } - 4 + 1 ),2 ( ( x + 2 ) ^ { 2 } - 4 + 1 ),1,1,1,1,134.271400
23_em_68,ok,,169,162,\frac { q - p } { \sqrt { p q } },\frac { q - p } { \sqrt { p q } },\frac { a - p } { \sqrt { p q } },0,0,0,0,125.843800
23_em_69,ok,,71,159,X \leq 1 5,X \leq 1 5,x \leq 1 5,0,0,0,0,90.050900
23_em_70,ok,,68,280,\alpha + \beta = \beta + \alpha,\alpha + \beta = \beta + \alpha,\alpha + \beta = \beta + \alpha,1,1,1,1,122.525700
23_em_71,ok,,87,113,c T ^ { \prime },c T ^ { \prime },c T ^ { 1 },0,0,0,0,120.600400
23_em_72,ok,,182,384,\sum _ { i = 1 } ^ { n } x _ { n } = \sum _ { i = 1 } ^ { n } y _ { n },\sum \limits _ { i = 1 } ^ { n } x _ { n } = \sum \limits _ { i = 1 } ^ { n } y _ { n },\sum _ { i = 1 } ^ { n } x _ { n } = \sum _ { i = 1 } ^ { n } y _ { n },1,1,0,1,179.225600
23_em_73,ok,,90,152,B _ { m + 1 },B _ { m + 1 },B _ { m + 1 },1,1,1,1,92.262400
26_em_75,ok,,114,797,1 - 2 a + b - 2 a b = 1 - 2 b + a - 2 a b,1 - 2 a + b - 2 a b = 1 - 2 b + a - 2 a b,1 - 2 a + b - 2 a b = 1 - 2 b + a - 2 a 6,0,0,0,0,188.532200
26_em_76,ok,,80,126,- m p,- m p,- m p,1,1,1,1,95.768700
26_em_77,ok,,206,504,x ^ { i } e _ { i } = \sum _ { i } x ^ { i } e _ { i },x ^ { i } e _ { i } = \sum \limits _ { i } x ^ { i } e _ { i },x ^ { i } e _ { i } = \sum _ { i } ^ { 0 } x ^ { q } e _ { 0 },0,0,0,0,202.341600
26_em_78,ok,,58,79,1 6 9,1 6 9,1 6 9,1,1,1,1,83.193500
26_em_79,ok,,72,173,- a + b + c,- a + b + c,- a + b + c,1,1,1,1,62.746400
26_em_80,ok,,122,311,\frac { 3 1 9 } { 2 8 } = 1 1 . 3 9,\frac { 3 1 9 } { 2 8 } = 1 1 . 3 9,\frac { 3 1 9 } { 2 8 } = 1 1 . 3 9,1,1,1,1,178.997700
26_em_81,ok,,98,411,- 2 x + \sin ( 2 x + 2 ) - 2,- 2 x + \sin ( 2 x + 2 ) - 2,- 2 x + \sin ( 2 x + 2 ) - 2,1,1,1,1,75.288500
26_em_82,ok,,137,266,\frac { 1 } { 2 } t ^ { 2 } u ( t ),\frac { 1 } { 2 } t ^ { 2 } u ( t ),\frac { 1 } { 2 } t ^ { 2 } u ( t ),1,1,1,1,168.873100
26_em_83,ok,,135,379,d _ { t } = \frac { a ( t ) - a ( t - 1 ) } { a ( t ) },d _ { t } = \frac { a ( t ) - a ( t - 1 ) } { a ( t ) },d _ { t } = \frac { a ( t ) - a ( t - 1 ) } { a ( t ) },1,1,1,1,206.400000
26_em_84,ok,,149,663,S _ { \infty } = \lim _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - r } = \frac { a } { 1 - r },S _ { \infty } = \lim \limits _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - r } = \frac { a } { 1 - r },s _ { \infty } = \lim _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - \infty } = \frac { a } { 1 - p },0,0,0,0,229.620200
26_em_85,ok,,82,134,\log _ { u } g,\log _ { u } g,\log _ { u } 9,0,0,0,0,59.751700
26_em_86,ok,,94,119,\log _ { a } x,\log _ { a } x,\log _ { a } x,1,1,1,1,100.973500
26_em_87,ok,,129,370,\int x \cos ( x ) d x = x \sin ( x ) - \int \sin ( x ) d x,\int x \cos ( x ) d x = x \sin ( x ) - \int \sin ( x ) d x,\int x \cos ( x ) d x = x \cdot ( x - - ) ( s \sin \cos ) d x,0,0,0,0,141.094800
26_em_88,ok,,127,474,v ^ { 2 } - v _ { v } ^ { 2 } = v _ { v } ^ { 2 },v ^ { 2 } - v _ { v } ^ { 2 } = v _ { v } ^ { 2 },v ^ { 2 } - v _ { v } ^ { 2 } = v _ { v } ^ { 2 },1,1,1,1,201.770000
26_em_89,ok,,132,533,x ^ { 2 } + y ^ { 2 } = l _ { 1 } ^ { 2 } + l _ { 2 } ^ { 2 } + 2 l _ { 1 } l _ { 2 } c _ { 2 },x ^ { 2 } + y ^ { 2 } = l _ { 1 } ^ { 2 } + l _ { 2 } ^ { 2 } + 2 l _ { 1 } l _ { 2 } c _ { 2 },"x ^ { 2 } + y ^ { 2 } = l _ { 1 } ^ { 2 } + l ^ { 2 } + 2 b , l _ { 2 } ( 2",0,0,0,0,205.289000
26_em_90,ok,,112,281,\int \frac { 1 9 } { \sqrt { 9 x - 3 8 } } d x,\int \frac { 1 9 } { \sqrt { 9 x - 3 8 } } d x,\int \frac { 1 9 } { \sqrt { 9 1 - 3 8 } } d x,0,0,0,0,111.835000
26_em_91,ok,,73,127,k [ a ^ { - 1 } ],k [ a ^ { - 1 } ],f [ [ a ^ { + ] } ],0,0,0,0,76.249100
26_em_92,ok,,129,181,- \frac { 1 1 \pi } { 8 },- \frac { 1 1 \pi } { 8 },- \frac { 1 1 r } { 8 },0,0,0,0,130.747400
26_em_93,ok,,75,201,4 \times 4 + 4 - 4,4 \times 4 + 4 - 4,4 X 4 + 4 - 4,0,0,0,0,120.201900
26_em_94,ok,,123,281,[ \frac { 1 } { 2 } \sin ^ { 2 } ( 1 ) ] - [ \frac { 1 } { 2 } \sin ^ { 2 } ( 0 ) ],[ \frac { 1 } { 2 } \sin ^ { 2 } ( 1 ) ] - [ \frac { 1 } { 2 } \sin ^ { 2 } ( 0 ) ],[ \frac { 1 } { 2 } \sin ^ { \sin } ( 3 ) - [ \frac { 1 } { 2 } \sin ^ { 2 } ( 0 ) ],0,0,0,0,204.691500
26_em_95,ok,,83,216,\sqrt { a } \sqrt { b } = \sqrt { a b },\sqrt { a } \sqrt { b } = \sqrt { a b },\sqrt { a } = \sqrt { a b },0,0,0,0,38.688100
26_em_96,ok,,126,269,4 + 4 + \frac { 4 } { 4 },4 + 4 + \frac { 4 } { 4 },q + 4 + \frac { 4 } { 4 },0,0,0,0,128.515600
26_em_97,ok,,100,217,\sqrt { - 4 } = \sqrt { - 1 } \sqrt { 4 },\sqrt { - 4 } = \sqrt { - 1 } \sqrt { 4 },\sqrt { - A } = \sqrt { - 1 } \sqrt { 4 },0,0,0,0,151.444100
26_em_98,ok,,106,229,( \sqrt { 2 } x + 2 ) ( x + 3 ),( \sqrt { 2 } x + 2 ) ( x + 3 ),( \sqrt { 2 } x + 2 ) ( x + 3 ),1,1,1,1,130.090000
26_em_99,ok,,131,509,"1 0 , 0 0 0 + 1 , 0 0 0 = 1 1 , 0 0 0","1 0 , 0 0 0 + 1 , 0 0 0 = 1 1 , 0 0 0","1 0 , 0 0 0 + 1 . 0 0 0 = 1 1 . 0 0 0",0,0,0,0,192.911600
27_em_100,ok,,66,76,\sqrt { 4 5 },\sqrt { 4 5 },\sqrt { 1 5 },0,0,0,0,87.292200
27_em_101,ok,,88,386,1 + \sqrt { 5 } = x _ { 1 } + y _ { 1 } \sqrt { 5 },1 + \sqrt { 5 } = x _ { 1 } + y _ { 1 } \sqrt { 5 },1 + \sqrt { 5 } = x _ { 1 } + y _ { 1 } \sqrt { 5 },1,1,1,1,166.650300
27_em_102,ok,,105,240,\lim _ { a \rightarrow \infty } f ( a ),\lim \limits _ { a \rightarrow \infty } f ( a ),\lim _ { a \rightarrow \infty } b ( a ),0,0,0,0,118.104200
27_em_103,ok,,78,130,\exists y \exists x F,\exists y \exists x F,7 y 7 \times F,0,0,0,0,125.902200
27_em_104,ok,,70,226,w = q _ { H } - q _ { C },w = q _ { H } - q _ { C },w = q _ { H } - q _ { e },0,0,0,0,122.971200
27_em_105,ok,,74,249,( a - 2 x ) ( a + 2 x ),( a - 2 x ) ( a + 2 x ),( a - 2 x ( a + 2 x ),0,0,0,0,99.172000
27_em_106,ok,,83,449,\alpha ^ { 2 } + \beta ^ { 2 } = ( \alpha + \beta ) ^ { 2 } - 2 \alpha \beta,\alpha ^ { 2 } + \beta ^ { 2 } = ( \alpha + \beta ) ^ { 2 } - 2 \alpha \beta,\alpha ^ { 2 } + \beta ^ { 2 } = ( \alpha + \beta ) ^ { 2 } - 2 \alpha \beta,1,1,1,1,137.573000
27_em_107,ok,,120,347,\int k x ^ { n } d x = k \int x ^ { n } d x,\int k x ^ { n } d x = k \int x ^ { n } d x,\int k x ^ { n } d x = k \int x ^ { n } d x,1,1,1,1,194.448700
27_em_108,ok,,64,97,0 + A,0 + A,o + A,0,0,0,0,58.350800
27_em_109,ok,,99,345,f ^ { ( i + k ) } ( 0 ) = f ^ { ( i ) } ( 0 ) f ^ { ( k ) } ( 0 ),f ^ { ( i + k ) } ( 0 ) = f ^ { ( i ) } ( 0 ) f ^ { ( k ) } ( 0 ),f ^ { ( i + b ) } ( 0 ) = f ^ { ( 2 ) } ( 0 ) f ^ { ( t ) } ( 0 ),0,0,0,0,205.218300
27_em_110,ok,,78,491,( 2 9 ) - 2 ( 1 6 ) + ( 3 ) = 2 9 - 3 2 + 3 = 0,( 2 9 ) - 2 ( 1 6 ) + ( 3 ) = 2 9 - 3 2 + 3 = 0,( 2 9 ) - 2 ( 1 6 ) + ( 3 ) = 2 9 - 3 2 + 3 = 0,1,1,1,1,204.844300
27_em_111,ok,,121,821,x ^ { 2 } - y ^ { 2 } = x ^ { 2 } + 2 x y + y ^ { 2 } - 2 x y - 2 y ^ { 2 },x ^ { 2 } - y ^ { 2 } = x ^ { 2 } + 2 x y + y ^ { 2 } - 2 x y - 2 y ^ { 2 },x ^ { 2 } - y ^ { 2 } = x ^ { 2 } + 2 x y + y ^ { 2 } - 2 x y - 2 y ^ { 2 },1,1,1,1,208.087000
27_em_112,ok,,67,64,M _ { 3 },M _ { 3 },M _ { 3 },1,1,1,1,83.824600
27_em_113,ok,,149,321,x = \frac { a f ( b ) - b f ( a ) } { f ( b ) - f ( a ) },x = \frac { a f ( b ) - b f ( a ) } { f ( b ) - f ( a ) },x = \frac { a f ( b - b f ( a ) } { f ( b ) - f ( a ) },0,0,0,0,212.818700
27_em_114,ok,,122,186,\int \sin 2 \theta d \theta,\int \sin 2 \theta d \theta,\int \sin 2 \theta d \theta,1,1,1,1,128.903600
27_em_115,ok,,64,79,7 \sqrt { 2 },7 \sqrt { 2 },7 \sqrt { 2 },1,1,1,1,54.669800
27_em_116,ok,,85,468,v _ { 7 } + v _ { 3 } + v _ { 4 } - v _ { 8 } = 0,v _ { 7 } + v _ { 3 } + v _ { 4 } - v _ { 8 } = 0,u _ { 1 } + v _ { 3 } + u _ { 4 } - v _ { 8 } = 0,0,0,0,0,201.466800
27_em_117,ok,,98,529,\cos \theta \sin \theta + \theta + \theta ^ { 2 },\cos \theta \sin \theta + \theta + \theta ^ { 2 },\cos \theta \sin \theta + \theta + \theta ^ { 2 },1,1,1,1,168.199400
27_em_118,ok,,84,213,\sqrt { 3 2 } + \sqrt { 3 2 },\sqrt { 3 2 } + \sqrt { 3 2 },\sqrt { 3 2 } + \sqrt { 3 2 },1,1,1,1,38.255900
27_em_119,ok,,68,169,6 7 7 8,6 7 7 8,6 7 7 8,1,1,1,1,70.991700
27_em_120,ok,,65,69,\sqrt { 1 5 },\sqrt { 1 5 },\sqrt { 1 5 },1,1,1,1,56.041800
27_em_121,ok,,115,692,1 - z + z ^ { 2 } - z ^ { 3 } + z ^ { 4 } - z ^ { 5 } + \ldots,1 - z + z ^ { 2 } - z ^ { 3 } + z ^ { 4 } - z ^ { 5 } + \ldots,1 - z + z ^ { 2 } - z ^ { 3 } + z ^ { 4 } - z ^ { 5 } + \ldots,1,1,1,1,198.650600
27_em_122,ok,,82,123,\pm \sqrt [ x ] { b },\pm \sqrt [ x ] { b },\pm \sqrt { b },0,0,0,0,87.401000
27_em_123,ok,,102,170,\int 2 x ^ { - 2 } d x,\int 2 x ^ { - 2 } d x,\int 2 x ^ { - 2 } d x,1,1,1,1,123.916800
27_em_124,ok,,95,201,a \div b,a \div b,a \div b,1,1,1,1,84.917100
28_em_125,ok,,151,248,\frac { 2 } { \sqrt { 2 + \sqrt { 2 } } },\frac { 2 } { \sqrt { 2 + \sqrt { 2 } } },\frac { 2 } { \sqrt { 2 + \sqrt { 2 } } },1,1,1,1,172.074600
28_em_126,ok,,215,324,\frac { \sum _ { k = 1 } ^ { N } k ^ { 2 } } { a },\frac { \sum \limits _ { k = 1 } ^ { N } k ^ { 2 } } { a },\frac { \sum _ { k = 1 } ^ { N } k ^ { 2 } } { \frac { N } { 0 } },0,0,0,0,201.523400
28_em_127,ok,,77,208,"X , X _ { t }","X , X _ { t }","x , x _ { t }",0,0,0,0,59.299200
28_em_128,ok,,190,599,\frac { x ^ { 2 } } { 9 } - \frac { y ^ { 2 } } { 4 9 } = 1,\frac { x ^ { 2 } } { 9 } - \frac { y ^ { 2 } } { 4 9 } = 1,\frac { x ^ { 2 } } { q } - \frac { y ^ { 2 } } { 4 q } = 1,0,0,0,0,207.264200
