sample_id,status,error,height,width,ground_truth_bttr,ground_truth_posformer,san_prediction,bttr_exact,bttr_no_limits,posformer_exact,posformer_no_limits,time_ms
UN19wb_1114_em_1094,ok,,141,268,x < \frac { 1 } { \sqrt [ 3 ] { a } },x < \frac { 1 } { \sqrt [ 3 ] { a } },x < \frac { 1 } { \sqrt { a } },0,0,0,0,29.425800
UN19_1026_em_374,ok,,111,149,\frac { 1 } { 2 } \times \frac 1 2,\frac { 1 } { 2 } \times \frac { 1 } { 2 },\frac { 1 } { 2 } x \frac { 1 } { 2 },0,0,0,0,37.381900
ISICal19_1204_em_804,ok,,111,404,a x + b y = 0,a x + b y = 0,a x + b y = 0,1,1,1,1,85.933600
UN19_1032_em_462,ok,,157,287,B = \frac { 4 9 } { 9 },B = \frac { 4 9 } { 9 },1 3 = \frac { 4 9 } { g },0,0,0,0,85.015100
ISICal19_1206_em_837,ok,,106,316,\frac { n ( 2 n - 1 ) ( 2 n + 1 ) } { 3 },\frac { n ( 2 n - 1 ) ( 2 n + 1 ) } { 3 },\frac { n ( 2 n - 1 ) ( 2 n + 1 ) } { 3 },1,1,1,1,44.370600
ISICal19_1207_em_850,ok,,128,538,\frac { 1 } { 2 } ( r - 1 ) ( r + 1 ) ( r + 2 ),\frac { 1 } { 2 } ( r - 1 ) ( r + 1 ) ( r + 2 ),\frac { 1 } { 2 } ( \gamma - 1 ) ( \gamma + 1 ) ( \gamma + 2 ),0,0,0,0,93.857600
ISICal19_1204_em_797,ok,,133,274,b \geq \frac { 1 } { a - 1 },b \geq \frac { 1 } { a - 1 },b \geq \frac { 1 } { a - 1 },1,1,1,1,100.944200
UN19_1041_em_597,ok,,171,203,- \sqrt { 2 },- \sqrt { 2 },- \sqrt { 2 },1,1,1,1,97.971200
UN19_1012_em_166,ok,,137,297,a \sqrt { 2 },a \sqrt { 2 },a \sqrt { 2 },1,1,1,1,68.881200
UN19_1046_em_669,ok,,80,160,x \geq c,x \geq c,x \geq c,1,1,1,1,23.450800
UN19wb_1118_em_1146,ok,,110,571,T ^ { a a } = T ^ { x ^ { 2 } x ^ { 2 } } + \ldots + T ^ { x ^ { d } x ^ { d } },T ^ { a a } = T ^ { x ^ { 2 } x ^ { 2 } } + \ldots + T ^ { x ^ { d } x ^ { d } },T ^ { a a } = T ^ { x ^ { 2 } } + \cdots + T ^ { x ^ { 2 } } x ^ { d },0,0,0,0,99.698000
ISICal19_1206_em_835,ok,,87,153,4 \times 9,4 \times 9,4 \times 9,1,1,1,1,22.594200
ISICal19_1210_em_878,ok,,100,111,\pm \frac { \sqrt { 3 } } { 2 },\pm \frac { \sqrt { 3 } } { 2 },\pm \frac { \sqrt { 3 } } { 2 },1,1,1,1,42.678200
ISICal19_1204_em_795,ok,,102,414,H = p ^ { 2 } + i \sin x,H = p ^ { 2 } + i \sin x,H = p ^ { 2 } + i \sin x,1,1,1,1,32.658800
ISICal19_1207_em_852,ok,,89,247,\sin E t,\sin E t,\sin E t,1,1,1,1,21.128000
UN19_1041_em_595,ok,,203,360,x ^ { 2 } = \sum _ { a = 1 } ^ { 3 } x _ { a } ^ { 2 },x ^ { 2 } = \sum \limits _ { a = 1 } ^ { 3 } x _ { a } ^ { 2 },x ^ { 2 } = \sum _ { a = 1 } ^ { 3 } x _ { a } ^ { 2 },1,1,0,1,114.799100
UN19_1032_em_460,ok,,175,676,"[ a + i \frac \beta 2 , b + i \frac \beta 2 ]","[ a + i \frac { \beta } { 2 } , b + i \frac { \beta } { 2 } ]",( a + i \frac { \beta } { 2 } b + i \frac { \beta } { 2 } \int,0,0,0,0,189.768100
UN19wb_1121_em_1186,ok,,91,361,"\sin x _ { i } , \cos x _ { i }","\sin x _ { i } , \cos x _ { i }","\sin x _ { i } , \cos x _ { i }",1,1,1,1,61.998800
ISICal19_1205_em_824,ok,,85,455,[ b _ { 1 } ] \times [ b _ { 2 } ] \times [ b _ { 3 } ],[ b _ { 1 } ] \times [ b _ { 2 } ] \times [ b _ { 3 } ],"[ b , 1 \times E b _ { 2 } 7 \times [ b _ { 3 } 7",0,0,0,0,88.710800
ISICal19_1204_em_806,ok,,193,559,z = \frac 1 { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } ),z = \frac { 1 } { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } ),z = \frac { 1 } { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } ),0,0,1,1,105.321900
UN19wb_1103_em_919,ok,,136,262,X ( t ) = \sum _ { n } t ^ { n } X _ { n },X ( t ) = \sum \limits _ { n } t ^ { n } X _ { n },X ( t ) = \sum _ { n } ^ { n } X _ { n },0,0,0,0,103.624500
UN19_1008_em_117,ok,,73,349,T ^ { a a } = T ^ { x x } + T ^ { y y },T ^ { a a } = T ^ { x x } + T ^ { y y },T ^ { a a } = T ^ { x x } + T ^ { y Y },0,0,0,0,95.390800
UN19_1021_em_296,ok,,107,307,\sin ( n z ),\sin ( n z ),\sin ( n z ),1,1,1,1,21.505400
UN19wb_1102_em_906,ok,,123,247,\frac { n } { 2 } + \frac { 7 } { 2 },\frac { n } { 2 } + \frac { 7 } { 2 },\frac { n } { 2 } + \frac { 7 } { 2 },1,1,1,1,36.385900
ISICal19_1205_em_819,ok,,122,130,\int { d } ^ { 4 } x,\int d ^ { 4 } x,\int d ^ { A } x,0,0,0,0,135.454800
UN19_1001_em_5,ok,,95,139,m \int d t,m \int d t,m \int d t,1,1,1,1,57.652100
UN19wb_1103_em_924,ok,,123,183,\sqrt { a b },\sqrt { a b },\sqrt { a b },1,1,1,1,18.068100
UN19_1042_em_600,ok,,170,642,y d x = \frac { j ^ { 2 } - q ^ { 2 } } { 1 + q ^ { 2 } } d y x - \frac { j q } { 1 + q ^ { 2 } } d x y,y d x = \frac { j ^ { 2 } - q ^ { 2 } } { 1 + q ^ { 2 } } d y x - \frac { j q } { 1 + q ^ { 2 } } d x y,y d x = \frac { j ^ { 2 } - q ^ { 2 } } { 1 + q ^ { 2 } } d y,0,0,0,0,140.952400
UN19_1035_em_505,ok,,116,525,\cos ( z v ) / \sin ( z ),\cos ( z v ) / \sin ( z ),\cos ( 2 v ) / \sin ( z ),0,0,0,0,90.649600
UN19_1040_em_577,ok,,135,281,[ n ] = \frac { q ^ { n } - q ^ { - n } } { q - q ^ { - 1 } },[ n ] = \frac { q ^ { n } - q ^ { - n } } { q - q ^ { - 1 } },[ n ] = \frac { q ^ { n } - q ^ { - n } } { q - q - 1 },0,0,0,0,46.000400
UN19_1043_em_622,ok,,197,553,\beta = \cos \alpha,\beta = \cos \alpha,\sqrt { 0 } = \cos \cos a,0,0,0,0,83.880200
UN19_1020_em_274,ok,,136,585,A = A ^ { x } e _ { x } + A ^ { y } e _ { y },A = A ^ { x } e _ { x } + A ^ { y } e _ { y },A = A ^ { X } e \times + A ^ { y } e _ { y },0,0,0,0,185.733900
UN19_1036_em_514,ok,,200,158,\frac { 1 } { \sqrt { N } },\frac { 1 } { \sqrt { N } },\frac { 1 } { \sqrt { N } },1,1,1,1,131.623300
UN19_1037_em_536,ok,,127,224,\sum _ { a } n _ { a },\sum \limits _ { a } n _ { a },\sum _ { a } n _ { a },1,1,0,1,56.283500
UN19_1007_em_98,ok,,137,310,\sqrt { g _ { t t } g _ { x x } },\sqrt { g _ { t t } g _ { x x } },\sqrt { g _ { t t } g _ { x x } },1,1,1,1,73.747000
UN19_1048_em_703,ok,,104,217,\theta < \infty,\theta < \infty,\theta < \infty,1,1,1,1,22.593500
UN19_1034_em_482,ok,,126,490,V ( x ) = i \sin x,V ( x ) = i \sin x,V ( x ) = i \sin x,1,1,1,1,77.499700
UN19_1045_em_645,ok,,195,444,\sqrt { 1 + \frac { a ^ { 4 } } { r ^ { 4 } } } > 1,\sqrt { 1 + \frac { a ^ { 4 } } { r ^ { 4 } } } > 1,\sqrt { 1 + \frac { a ^ { 4 } } { r ^ { 4 } } },0,0,0,0,158.986400
UN19_1013_em_184,ok,,124,141,t r,t r,t,0,0,0,0,70.250500
ISICal19_1202_em_777,ok,,169,672,"\lim _ { x \rightarrow \infty } f ( k , x ) e ^ { - i k x } = 1","\lim \limits _ { x \rightarrow \infty } f ( k , x ) e ^ { - i k x } = 1","\lim _ { x \rightarrow \infty } f ( k , x ) e ^ { - i k x } = 1",1,1,0,1,190.645900
UN19_1004_em_46,ok,,178,538,( 0 0 1 0 0 0 0 0 0 ),( 0 0 1 0 0 0 0 0 0 ),( 0 0 0 0 0 0 0 ),0,0,0,0,145.632500
ISICal19_1209_em_860,ok,,121,723,( f + 1 ) - f - f + ( f - 1 ) = 0,( f + 1 ) - f - f + ( f - 1 ) = 0,( f + 1 ) - f - f + ( f - 1 ) = 0,1,1,1,1,149.885400
UN19_1019_em_266,ok,,135,141,I H,I H,I H,1,1,1,1,75.299000
UN19_1018_em_244,ok,,163,525,c = \lim _ { k \rightarrow + \infty } \Delta ( k ),c = \lim \limits _ { k \rightarrow + \infty } \Delta ( k ),c = \lim _ { k \rightarrow + \infty } \lim _ { k \rightarrow + \infty } \Delta ( k ),0,0,0,0,136.732700
UN19_1047_em_676,ok,,134,273,\sqrt { g _ { x x } g _ { t t } },\sqrt { g _ { x x } g _ { t t } },\sqrt { g _ { x x } \gamma _ { t t } },0,0,0,0,40.158700
UN19wb_1108_em_1003,ok,,81,425,- b j _ { 2 1 } = b j _ { 1 } + b + \frac { 1 } { 2 b },- b j _ { 2 1 } = b j _ { 1 } + b + \frac { 1 } { 2 b },- b,0,0,0,0,78.349800
UN19_1051_em_747,ok,,106,813,3 \times 3 \times 3 + 3 + 3 + 3 \times 3 = 3 \times 1 4,3 \times 3 \times 3 + 3 + 3 + 3 \times 3 = 3 \times 1 4,3 \times 3 \times 3 + 3 + 3 + 3 \times 3 = 3 \times 1 4,1,1,1,1,99.104200
UN19wb_1115_em_1100,ok,,91,332,\lim _ { x \rightarrow \pm \infty } V ( x ) = 0,\lim \limits _ { x \rightarrow \pm \infty } V ( x ) = 0,\lim _ { x \rightarrow \infty } V ( x ) = 0,0,0,0,0,33.035600
UN19_1050_em_720,ok,,130,408,f ( x ) = \alpha _ { a b } x ^ { a } x ^ { b },f ( x ) = \alpha _ { a b } x ^ { a } x ^ { b },f ( x ) = \alpha _ { a b } x ^ { a } x ^ { b },1,1,1,1,193.634200
UN19wb_1117_em_1137,ok,,115,267,\frac { i } { k + i } = 1 - \frac { k } { k + i },\frac { i } { k + i } = 1 - \frac { k } { k + i },\frac { i } { k + i } = 1 - \frac { k } { k + i },1,1,1,1,68.880300
UN19_1046_em_670,ok,,76,115,x \geq 0,x \geq 0,x > 0,0,0,0,0,36.211200
UN19_1039_em_558,ok,,165,617,\frac { d } { d y } ( y \frac { d w } { d y } ) - 2 w ( w ^ { 2 } - 1 ) = 0,\frac { d } { d y } ( y \frac { d w } { d y } ) - 2 w ( w ^ { 2 } - 1 ) = 0,\frac { d } { d y } ( y d w ) - 2 w ( w ^ { 2 } - 1 ) = 0,0,0,0,0,138.721400
UN19_1023_em_319,ok,,105,238,a = \sqrt { \frac { 5 } { 6 } },a = \sqrt { \frac { 5 } { 6 } },\alpha = \sqrt { \frac { 5 } { 6 } },0,0,0,0,27.149100
UN19wb_1113_em_1076,ok,,106,498,\beta = \frac { 1 } { 2 } \sqrt { n ^ { 2 } - 8 n + d },\beta = \frac { 1 } { 2 } \sqrt { n ^ { 2 } - 8 n + d },\beta = \frac { 1 } { 2 } \sqrt { n ^ { 2 } - 8 n + d },1,1,1,1,78.065800
UN19wb_1111_em_1041,ok,,86,318,( a b ) = \frac { 1 } { 2 } ( a b + b a ),( a b ) = \frac { 1 } { 2 } ( a b + b a ),( a 0 ) = \frac { 1 } { 2 } ( a b + b a ),0,0,0,0,39.902100
UN19_1044_em_643,ok,,172,765,\sqrt { a _ { i } } \sqrt { a _ { j } } \leq \frac { 1 } { 2 } ( a _ { i } + a _ { j } ),\sqrt { a _ { i } } \sqrt { a _ { j } } \leq \frac { 1 } { 2 } ( a _ { i } + a _ { j } ),\sqrt { a _ { i } \sqrt { a _ { j } \leq a _ { j } ( a _ { i } + a _ { j } ) } } \sqrt { a _ { j } } ( a _ { i } + a _ { j } ),0,0,0,0,180.179400
UN19_1049_em_705,ok,,134,264,4 \pi ^ { 4 } \int a ^ { 3 } b ^ { 3 } d t,4 \pi ^ { 4 } \int a ^ { 3 } b ^ { 3 } d t,4 ^ { \pi ^ { 4 } } \int a ^ { 3 } b ^ { 3 } d t,0,0,0,0,38.545200
UN19_1002_em_24,ok,,90,301,x ^ { p + 1 } \ldots x ^ { 5 },x ^ { p + 1 } \ldots x ^ { 5 },x ^ { p + 1 } \ldots \alpha ^ { 5 },0,0,0,0,26.758000
