index,sample_id,image_file,ground_truth_modelo1,ground_truth_modelo2,status,error,height,width,posformer_height,posformer_width,san_prediction,posformer_prediction,san_time_ms,posformer_time_ms,san_native_correct,posformer_native_correct,native_outcome,common_ground_truth,san_common_prediction,posformer_common_prediction,san_common_correct,posformer_common_correct,common_outcome
11,516_em_393,516_em_393.bmp,N m,N m,ok,,68,95,68,95,N m,N m,123.16040000000328,93.4424000000007,1,1,Ambos aciertan,N m,N m,N m,1,1,Ambos aciertan
12,511_em_257,511_em_257.bmp,H z,H z,ok,,68,69,68,69,H _ { z },H z,57.314900000008606,125.54339999999797,0,1,Solo PosFormer,H z,H _ { z },H z,0,1,Solo PosFormer
13,514_em_330,514_em_330.bmp,k g,k g,ok,,84,78,84,78,k g,k g,132.73449999999798,140.8710000000042,1,1,Ambos aciertan,k g,k g,k g,1,1,Ambos aciertan
14,510_em_102,510_em_102.bmp,m v,m v,ok,,59,158,59,158,m v,m v,157.72919999999147,151.020900000006,1,1,Ambos aciertan,m v,m v,m v,1,1,Ambos aciertan
15,512_em_275,512_em_275.bmp,3 m,3 m,ok,,67,113,67,113,3 m,3 m,140.97300000000246,78.92720000000963,1,1,Ambos aciertan,3 m,3 m,3 m,1,1,Ambos aciertan
16,512_em_288,512_em_288.bmp,2 m,2 m,ok,,63,122,63,122,2 m,2 m,150.09929999999372,79.93759999999384,1,1,Ambos aciertan,2 m,2 m,2 m,1,1,Ambos aciertan
17,515_em_368,515_em_368.bmp,I m,I m,ok,,76,124,76,124,I m,I m,105.37490000000105,117.63940000000161,1,1,Ambos aciertan,I m,I m,I m,1,1,Ambos aciertan
18,514_em_336,514_em_336.bmp,d s,d s,ok,,66,72,66,72,d s,d s,19.772399999993695,269.02299999999,1,1,Ambos aciertan,d s,d s,d s,1,1,Ambos aciertan
19,RIT_2014_156,RIT_2014_156.bmp,- 1,- 1,ok,,71,89,71,89,- 1,- 7,55.69369999999196,62.88840000000562,1,0,Solo SAN,- 1,- 1,- 7,1,0,Solo SAN
20,RIT_2014_132,RIT_2014_132.bmp,1 m,1 m,ok,,78,101,78,101,1 m,1 m,105.40600000000211,62.36020000000053,1,1,Ambos aciertan,1 m,1 m,1 m,1,1,Ambos aciertan
21,502_em_0,502_em_0.bmp,6 3,6 3,ok,,56,67,56,67,6 3,6 3,101.62669999999707,170.63459999999964,1,1,Ambos aciertan,6 3,6 3,6 3,1,1,Ambos aciertan
22,519_em_445,519_em_445.bmp,N s,N s,ok,,67,61,67,61,N s,N s,214.36789999999917,193.0286000000052,1,1,Ambos aciertan,N s,N s,N s,1,1,Ambos aciertan
23,512_em_296,512_em_296.bmp,k g,k g,ok,,75,62,75,62,k g,k g,124.09309999999607,206.84750000000918,1,1,Ambos aciertan,k g,k g,k g,1,1,Ambos aciertan
24,20_em_42,20_em_42.bmp,1 7,1 7,ok,,57,56,57,56,1 T,1 7,127.68760000000157,75.91510000000312,0,1,Solo PosFormer,1 7,1 T,1 7,0,1,Solo PosFormer
25,31_em_187,31_em_187.bmp,5 0,5 0,ok,,58,98,58,98,5 0,5 0,159.40550000000542,142.8621000000021,1,1,Ambos aciertan,5 0,5 0,5 0,1,1,Ambos aciertan
26,RIT_2014_272,RIT_2014_272.bmp,4 0,4 0,ok,,64,72,64,72,4 0,4 0,72.19500000000778,96.0539999999952,1,1,Ambos aciertan,4 0,4 0,4 0,1,1,Ambos aciertan
27,29_em_159,29_em_159.bmp,1 8,1 8,ok,,55,70,55,70,1 8,1 8,72.71140000000287,60.865400000011505,1,1,Ambos aciertan,1 8,1 8,1 8,1,1,Ambos aciertan
28,RIT_2014_9,RIT_2014_9.bmp,\log,\log,ok,,83,75,83,75,\log g,\log g,69.22210000000462,128.72950000000571,0,0,Ambos fallan,\log,\log g,\log g,0,0,Ambos fallan
29,509_em_93,509_em_93.bmp,| S |,| S |,ok,,58,66,58,66,| s l,| s |,21.441899999999237,79.25259999998957,0,0,Ambos fallan,| S |,| s l,| s |,0,0,Ambos fallan
30,RIT_2014_93,RIT_2014_93.bmp,y > z,y > z,ok,,69,111,69,111,y > z,y > z,113.67400000000316,77.00220000000968,1,1,Ambos aciertan,y > z,y > z,y > z,1,1,Ambos aciertan
31,28_em_132,28_em_132.bmp,S / V,S / V,ok,,67,82,67,82,s / v,S / v,108.53579999999852,113.7628000000035,0,0,Ambos fallan,S / V,s / v,S / v,0,0,Ambos fallan
32,508_em_85,508_em_85.bmp,9 . 8,9 . 8,ok,,57,67,57,67,9 . 8,9 . 8,21.411299999996913,70.00530000000538,1,1,Ambos aciertan,9 . 8,9 . 8,9 . 8,1,1,Ambos aciertan
33,511_em_250,511_em_250.bmp,r o t,r o t,ok,,64,115,64,115,r o t,r o t,112.59350000000268,123.11470000000213,1,1,Ambos aciertan,r o t,r o t,r o t,1,1,Ambos aciertan
34,31_em_189,31_em_189.bmp,x . y,x . y,ok,,61,131,61,131,x - y,x - y,141.98129999999765,92.99719999999922,0,0,Ambos fallan,x . y,x - y,x - y,0,0,Ambos fallan
35,RIT_2014_219,RIT_2014_219.bmp,m / q,m / q,ok,,59,131,59,131,m q,n _ { n },59.25150000000201,103.03659999999581,0,0,Ambos fallan,m / q,m q,n _ { n },0,0,Ambos fallan
36,513_em_319,513_em_319.bmp,x > A,x > A,ok,,70,111,70,111,x > A,x > A,23.007100000000946,86.33439999999837,1,1,Ambos aciertan,x > A,x > A,x > A,1,1,Ambos aciertan
37,RIT_2014_125,RIT_2014_125.bmp,z + w,z + w,ok,,66,179,66,179,z + w,z + w,158.20339999999078,144.3854999999985,1,1,Ambos aciertan,z + w,z + w,z + w,1,1,Ambos aciertan
38,23_em_56,23_em_56.bmp,9 + 2,9 + 2,ok,,59,132,59,132,9 + 2,9 + 2,21.37419999999679,100.84179999999776,1,1,Ambos aciertan,9 + 2,9 + 2,9 + 2,1,1,Ambos aciertan
39,26_em_76,26_em_76.bmp,- m p,- m p,ok,,80,126,80,126,- m p,- m p,63.61110000000281,94.66650000000243,1,1,Ambos aciertan,- m p,- m p,- m p,1,1,Ambos aciertan
40,32_em_203,32_em_203.bmp,l - 1,l - 1,ok,,70,78,70,78,( - 1,( - 1,101.14500000000248,102.02040000000068,0,0,Ambos fallan,l - 1,( - 1,( - 1,0,0,Ambos fallan
41,RIT_2014_299,RIT_2014_299.bmp,8 9 7,8 9 7,ok,,60,99,60,99,8 9 7,8 9 7,22.185500000006186,89.28459999999916,1,1,Ambos aciertan,8 9 7,8 9 7,8 9 7,1,1,Ambos aciertan
42,34_em_226,34_em_226.bmp,t - s,t - s,ok,,62,119,62,119,t - s,t - s,67.15590000000304,85.98270000000241,1,1,Ambos aciertan,t - s,t - s,t - s,1,1,Ambos aciertan
43,RIT_2014_122,RIT_2014_122.bmp,1 8 z,1 8 z,ok,,67,87,67,87,1 8 2,1 8 2,64.80599999999015,89.25169999999127,0,0,Ambos fallan,1 8 z,1 8 2,1 8 2,0,0,Ambos fallan
44,37_em_9,37_em_9.bmp,y < b,y < b,ok,,67,79,67,79,y < b,y _ { < b },66.02489999998795,130.34570000000656,1,0,Solo SAN,y < b,y < b,y _ { < b },1,0,Solo SAN
45,20_em_49,20_em_49.bmp,6 f t,6 f t,ok,,57,73,57,73,6 f t,6 f t,20.69360000000131,69.28279999999631,1,1,Ambos aciertan,6 f t,6 f t,6 f t,1,1,Ambos aciertan
46,RIT_2014_13,RIT_2014_13.bmp,[ P ],[ P ],ok,,65,71,65,71,[ P ],[ P ],21.043699999992782,82.5334999999967,1,1,Ambos aciertan,[ P ],[ P ],[ P ],1,1,Ambos aciertan
47,511_em_271,511_em_271.bmp,f + g,f + g,ok,,73,118,73,118,1 + 8,7 + 8,100.09120000000848,71.54379999998639,0,0,Ambos fallan,f + g,1 + 8,7 + 8,0,0,Ambos fallan
48,RIT_2014_54,RIT_2014_54.bmp,z < p,z < p,ok,,68,134,68,134,z < P,z < p,142.59090000000185,96.4058999999935,0,1,Solo PosFormer,z < p,z < P,z < p,0,1,Solo PosFormer
49,505_em_52,505_em_52.bmp,o r 1,o r 1,ok,,68,125,68,125,o r l,0 r 1,99.95799999998667,81.61699999999428,0,0,Ambos fallan,o r 1,o r l,0 r 1,0,0,Ambos fallan
50,RIT_2014_284,RIT_2014_284.bmp,- 3 9,- 3 9,ok,,55,90,55,90,- 3 9,- 3 9,152.3621999999989,132.7478000000042,1,1,Ambos aciertan,- 3 9,- 3 9,- 3 9,1,1,Ambos aciertan
51,37_em_3,37_em_3.bmp,t - 6,t - 6,ok,,55,104,55,104,t - 6,t - 6,93.23840000000416,101.96559999999977,1,1,Ambos aciertan,t - 6,t - 6,t - 6,1,1,Ambos aciertan
52,RIT_2014_291,RIT_2014_291.bmp,\mu m,\mu m,ok,,64,123,64,123,u m,u m,18.98199999999406,117.14019999999437,0,0,Ambos fallan,\mu m,u m,u m,0,0,Ambos fallan
53,RIT_2014_20,RIT_2014_20.bmp,[ e ],[ e ],ok,,64,63,64,63,[ e ],[ e ],105.00700000000052,74.63889999999651,1,1,Ambos aciertan,[ e ],[ e ],[ e ],1,1,Ambos aciertan
54,RIT_2014_176,RIT_2014_176.bmp,1 8 z,1 8 z,ok,,58,77,58,77,1 8 2,1 8 2,62.62069999999653,83.87059999999735,0,0,Ambos fallan,1 8 z,1 8 2,1 8 2,0,0,Ambos fallan
55,RIT_2014_277,RIT_2014_277.bmp,"m , n","m , n",ok,,70,130,70,130,"m , n","m , n",61.16049999999973,189.06050000001073,1,1,Ambos aciertan,"m , n","m , n","m , n",1,1,Ambos aciertan
56,34_em_235,34_em_235.bmp,1 - w,1 - w,ok,,56,107,56,107,1 - w,1 - w,99.39210000000287,88.87459999999692,1,1,Ambos aciertan,1 - w,1 - w,1 - w,1,1,Ambos aciertan
57,20_em_41,20_em_41.bmp,9 / 5,9 / 5,ok,,64,115,64,115,9 / 5,9 / 5,25.220099999998524,89.62920000000452,1,1,Ambos aciertan,9 / 5,9 / 5,9 / 5,1,1,Ambos aciertan
58,28_em_147,28_em_147.bmp,[ B ],[ B ],ok,,65,87,65,87,[ B ],[ B ],23.07759999999348,84.0560000000039,1,1,Ambos aciertan,[ B ],[ B ],[ B ],1,1,Ambos aciertan
59,513_em_310,513_em_310.bmp,8 + 7,8 + 7,ok,,79,107,79,107,8 + 7,8 + 7,63.845000000000596,87.34760000000108,1,1,Ambos aciertan,8 + 7,8 + 7,8 + 7,1,1,Ambos aciertan
60,RIT_2014_45,RIT_2014_45.bmp,| A |,| A |,ok,,63,61,63,61,| A l,( A l,23.215300000003936,87.96670000000972,0,0,Ambos fallan,| A |,| A l,( A l,0,0,Ambos fallan
61,RIT_2014_292,RIT_2014_292.bmp,x - 8,x - 8,ok,,75,142,75,142,x - 8,x - 8,112.51899999999182,94.24570000000188,1,1,Ambos aciertan,x - 8,x - 8,x - 8,1,1,Ambos aciertan
62,20_em_44,20_em_44.bmp,8 c m,8 c m,ok,,66,175,66,175,8 c m,8 c m,160.6260000000077,115.9059999999954,1,1,Ambos aciertan,8 c m,8 c m,8 c m,1,1,Ambos aciertan
63,35_em_1,35_em_1.bmp,E P E,E P E,ok,,62,149,62,149,E P E,E P E,102.30499999998699,87.65549999999678,1,1,Ambos aciertan,E P E,E P E,E P E,1,1,Ambos aciertan
64,26_em_78,26_em_78.bmp,1 6 9,1 6 9,ok,,58,79,58,79,1 6 9,1 6 9,23.08600000000638,80.47039999999583,1,1,Ambos aciertan,1 6 9,1 6 9,1 6 9,1,1,Ambos aciertan
65,RIT_2014_130,RIT_2014_130.bmp,8 - 7,8 - 7,ok,,57,91,57,91,8 - 7,8 - 7,92.89869999999212,3185.6050999999893,1,1,Ambos aciertan,8 - 7,8 - 7,8 - 7,1,1,Ambos aciertan
66,502_em_2,502_em_2.bmp,4 9 2,4 9 2,ok,,66,119,66,119,4 9 2,4 9 2,59.81060000000582,86.2075999999945,1,1,Ambos aciertan,4 9 2,4 9 2,4 9 2,1,1,Ambos aciertan
67,RIT_2014_40,RIT_2014_40.bmp,c o d,c o d,ok,,75,117,75,117,\cos d,\cos d,19.176299999998037,68.01600000000008,0,0,Ambos fallan,c o d,\cos d,\cos d,0,0,Ambos fallan
68,RIT_2014_249,RIT_2014_249.bmp,N - 1,N - 1,ok,,56,73,56,73,N - 1,N - 1,21.542100000004893,90.41000000000565,1,1,Ambos aciertan,N - 1,N - 1,N - 1,1,1,Ambos aciertan
69,RIT_2014_155,RIT_2014_155.bmp,y - z,y - z,ok,,63,96,63,96,y - z,y - z,72.04850000000818,105.45450000000756,1,1,Ambos aciertan,y - z,y - z,y - z,1,1,Ambos aciertan
70,31_em_178,31_em_178.bmp,q + w,q + w,ok,,86,162,86,162,\phi + w,q + w,152.45279999999184,95.0924999999927,0,1,Solo PosFormer,q + w,\phi + w,q + w,0,1,Solo PosFormer
71,RIT_2014_1,RIT_2014_1.bmp,k < 1,k < 1,ok,,60,99,60,99,k < l,k < 1,19.9343999999968,84.93670000000009,0,1,Solo PosFormer,k < 1,k < l,k < 1,0,1,Solo PosFormer
72,27_em_108,27_em_108.bmp,0 + A,0 + A,ok,,64,97,64,97,o + A,o + A,70.52970000000869,90.73109999999929,0,0,Ambos fallan,0 + A,o + A,o + A,0,0,Ambos fallan
73,507_em_75,507_em_75.bmp,[ b ],[ b ],ok,,58,60,58,60,[ b ],[ b ],58.06090000000097,72.03040000000271,1,1,Ambos aciertan,[ b ],[ b ],[ b ],1,1,Ambos aciertan
74,34_em_229,34_em_229.bmp,1 / t,1 / t,ok,,66,64,66,64,V t,V t,19.53410000000133,92.8037000000046,0,0,Ambos fallan,1 / t,V t,V t,0,0,Ambos fallan
75,32_em_223,32_em_223.bmp,( \pi ),( \pi ),ok,,70,81,70,81,( [ C ),( G I ),60.49369999999499,86.9658999999956,0,0,Ambos fallan,( \pi ),( [ C ),( G I ),0,0,Ambos fallan
76,34_em_227,34_em_227.bmp,6 5 8 8,6 5 8 8,ok,,60,123,60,123,6 5 8 8,6 5 8 8,64.32350000000042,84.51249999998822,1,1,Ambos aciertan,6 5 8 8,6 5 8 8,6 5 8 8,1,1,Ambos aciertan
77,509_em_91,509_em_91.bmp,\mu < 6,\mu < 6,ok,,77,151,77,151,\mu < 6,\mu < 6,145.4341000000028,93.9563000000021,1,1,Ambos aciertan,\mu < 6,\mu < 6,\mu < 6,1,1,Ambos aciertan
78,27_em_119,27_em_119.bmp,6 7 7 8,6 7 7 8,ok,,68,169,68,169,6 7 7 8,6 7 7 8,63.16839999999502,87.58609999999578,1,1,Ambos aciertan,6 7 7 8,6 7 7 8,6 7 7 8,1,1,Ambos aciertan
79,RIT_2014_34,RIT_2014_34.bmp,B F F S,B F F S,ok,,58,111,58,111,B F F S,B F F S,110.0059999999985,84.89869999999655,1,1,Ambos aciertan,B F F S,B F F S,B F F S,1,1,Ambos aciertan
80,RIT_2014_246,RIT_2014_246.bmp,7 5 8 8,7 5 8 8,ok,,64,108,64,108,7 5 8 8,7 5 8 8,59.75660000000005,91.11829999999088,1,1,Ambos aciertan,7 5 8 8,7 5 8 8,7 5 8 8,1,1,Ambos aciertan
81,511_em_255,511_em_255.bmp,[ A ] A,[ A ] A,ok,,59,112,59,112,[ A ] A,[ A ] A,21.581799999992768,85.32250000000374,1,1,Ambos aciertan,[ A ] A,[ A ] A,[ A ] A,1,1,Ambos aciertan
82,518_em_436,518_em_436.bmp,E ( c ),E ( c ),ok,,64,105,64,105,E ( c ),E ( c ),24.592099999992456,83.77309999998772,1,1,Ambos aciertan,E ( c ),E ( c ),E ( c ),1,1,Ambos aciertan
83,20_em_47,20_em_47.bmp,5 3 9 5,5 3 9 5,ok,,60,224,60,224,5 3 9 5,5 3 9 5,154.83759999999336,116.26449999999977,1,1,Ambos aciertan,5 3 9 5,5 3 9 5,5 3 9 5,1,1,Ambos aciertan
84,516_em_386,516_em_386.bmp,\{ a \},\{ a \},ok,,66,69,66,69,\{ a \},\{ a _ { q } \},22.676000000004137,127.41189999999847,1,0,Solo SAN,\{ a \},\{ a \},\{ a _ { q } \},1,0,Solo SAN
85,506_em_59,506_em_59.bmp,y \in B,y \in B,ok,,73,109,73,109,y \in B,y \in B,68.76080000000684,71.30039999999838,1,1,Ambos aciertan,y \in B,y \in B,y \in B,1,1,Ambos aciertan
86,36_em_38,36_em_38.bmp,2 4 \pi,2 4 \pi,ok,,58,118,58,118,2 4 \pi,2 4 \pi,62.382299999995894,77.59469999999169,1,1,Ambos aciertan,2 4 \pi,2 4 \pi,2 4 \pi,1,1,Ambos aciertan
87,512_em_297,512_em_297.bmp,a l l z,a l l z,ok,,61,110,61,110,a ( 1 z,a l 1 z,65.74849999999799,89.77539999999351,0,0,Ambos fallan,a l l z,a ( 1 z,a l 1 z,0,0,Ambos fallan
88,RIT_2014_151,RIT_2014_151.bmp,1 5 \pi,1 5 \pi,ok,,64,94,64,94,1 5 \pi,1 5 \pi,22.16729999999245,74.82249999999624,1,1,Ambos aciertan,1 5 \pi,1 5 \pi,1 5 \pi,1,1,Ambos aciertan
89,516_em_383,516_em_383.bmp,r ( x ),r ( x ),ok,,65,108,65,108,r ( x ),r ( x ),61.92450000000349,93.86100000000397,1,1,Ambos aciertan,r ( x ),r ( x ),r ( x ),1,1,Ambos aciertan
90,32_em_221,32_em_221.bmp,n \geq N,n \geq N,ok,,80,141,80,141,n \geq N,n \geq N,63.60700000000463,77.9533999999984,1,1,Ambos aciertan,n \geq N,n \geq N,n \geq N,1,1,Ambos aciertan
91,RIT_2014_118,RIT_2014_118.bmp,a \neq b,a \neq b,ok,,65,120,65,120,a \neq b,a \neq b,25.70899999999199,105.16389999999376,1,1,Ambos aciertan,a \neq b,a \neq b,a \neq b,1,1,Ambos aciertan
92,27_em_124,27_em_124.bmp,a \div b,a \div b,ok,,95,201,95,201,a \div b,a \div b,148.05639999998732,244.76739999998642,1,1,Ambos aciertan,a \div b,a \div b,a \div b,1,1,Ambos aciertan
93,RIT_2014_261,RIT_2014_261.bmp,d \neq 0,d \neq 0,ok,,77,136,77,136,d \neq 0,d \neq 0,109.10199999999293,90.46299999999974,1,1,Ambos aciertan,d \neq 0,d \neq 0,d \neq 0,1,1,Ambos aciertan
94,513_em_302,513_em_302.bmp,c \geq b,c \geq b,ok,,79,129,79,129,c \geq b,c \geq b,66.66280000000313,87.86860000000729,1,1,Ambos aciertan,c \geq b,c \geq b,c \geq b,1,1,Ambos aciertan
95,29_em_172,29_em_172.bmp,n \geq 0,n \geq 0,ok,,74,193,74,193,n \geq 0,n \geq 0,139.97069999999212,135.05279999999686,1,1,Ambos aciertan,n \geq 0,n \geq 0,n \geq 0,1,1,Ambos aciertan
96,RIT_2014_89,RIT_2014_89.bmp,r \geq 1,r \geq 1,ok,,65,98,65,98,r \geq 1,r \geq 1,102.13380000000427,71.42699999999991,1,1,Ambos aciertan,r \geq 1,r \geq 1,r \geq 1,1,1,Ambos aciertan
97,18_em_16,18_em_16.bmp,m \geq 2,m \geq 2,ok,,61,116,61,116,m z 2,m z 2,18.87550000000715,100.87320000000943,0,0,Ambos fallan,m \geq 2,m z 2,m z 2,0,0,Ambos fallan
98,515_em_362,515_em_362.bmp,v \geq 0,v \geq 0,ok,,72,206,72,206,V \geq 0,V \geq 0,91.35609999999872,69.34870000000615,0,0,Ambos fallan,v \geq 0,V \geq 0,V \geq 0,0,0,Ambos fallan
99,RIT_2014_90,RIT_2014_90.bmp,m \geq 1,m \geq 1,ok,,81,155,81,155,M \geq 1,n \geq 1,135.88819999999657,103.2295999999917,0,0,Ambos fallan,m \geq 1,M \geq 1,n \geq 1,0,0,Ambos fallan
100,516_em_395,516_em_395.bmp,n \neq 0,n \neq 0,ok,,54,156,54,156,n \neq 0,n \neq 0,107.03490000000215,70.1566999999983,1,1,Ambos aciertan,n \neq 0,n \neq 0,n \neq 0,1,1,Ambos aciertan
101,RIT_2014_303,RIT_2014_303.bmp,p \geq 3,p \geq 3,ok,,81,144,81,144,p \geq 3,p \geq 3,138.6205000000018,112.58759999999768,1,1,Ambos aciertan,p \geq 3,p \geq 3,p \geq 3,1,1,Ambos aciertan
102,518_em_432,518_em_432.bmp,q \geq 1,q \geq 1,ok,,84,144,84,144,q \geq 1,q \geq 1,22.31020000000683,80.46939999999836,1,1,Ambos aciertan,q \geq 1,q \geq 1,q \geq 1,1,1,Ambos aciertan
103,503_em_32,503_em_32.bmp,F \neq H,F \neq H,ok,,75,140,75,140,F \neq H,F \neq H,56.08269999999038,87.9296000000096,1,1,Ambos aciertan,F \neq H,F \neq H,F \neq H,1,1,Ambos aciertan
104,501_em_23,501_em_23.bmp,\phi > 0,\phi > 0,ok,,68,84,68,84,\phi > 0,\phi > 0,20.01269999999522,88.80219999998928,1,1,Ambos aciertan,\phi > 0,\phi > 0,\phi > 0,1,1,Ambos aciertan
105,RIT_2014_100,RIT_2014_100.bmp,a \geq b,a \geq b,ok,,75,142,75,142,a \geq b,a \geq b,21.50609999999631,82.85560000000203,1,1,Ambos aciertan,a \geq b,a \geq b,a \geq b,1,1,Ambos aciertan
106,RIT_2014_310,RIT_2014_310.bmp,y \leq z,y \leq z,ok,,82,142,82,142,y \leq z,y \leq z,20.033800000007318,83.31590000000233,1,1,Ambos aciertan,y \leq z,y \leq z,y \leq z,1,1,Ambos aciertan
107,RIT_2014_275,RIT_2014_275.bmp,s \neq 1,s \neq 1,ok,,67,143,67,143,S \neq 1,s \neq 1,105.05059999999844,88.3335000000045,0,1,Solo PosFormer,s \neq 1,S \neq 1,s \neq 1,0,1,Solo PosFormer
108,35_em_19,35_em_19.bmp,2 \div 3,2 \div 3,ok,,72,172,72,172,2 \div 3,2 \div 3,57.07999999999913,82.00359999999307,1,1,Ambos aciertan,2 \div 3,2 \div 3,2 \div 3,1,1,Ambos aciertan
109,RIT_2014_236,RIT_2014_236.bmp,n \neq a,n \neq a,ok,,75,207,75,207,n \neq a,n \neq a,103.39289999998869,91.80620000000772,1,1,Ambos aciertan,n \neq a,n \neq a,n \neq a,1,1,Ambos aciertan
110,500_em_108,500_em_108.bmp,s \geq 1,s \geq 1,ok,,76,121,76,121,s \geq 1,s \geq 1,23.182300000001987,80.18690000000106,1,1,Ambos aciertan,s \geq 1,s \geq 1,s \geq 1,1,1,Ambos aciertan
111,36_em_44,36_em_44.bmp,p \geq 1,p \geq 1,ok,,68,118,68,118,p \geq 1,p \geq 1,22.965200000001573,99.02700000000664,1,1,Ambos aciertan,p \geq 1,p \geq 1,p \geq 1,1,1,Ambos aciertan
112,37_em_15,37_em_15.bmp,u \geq 0,u \geq 0,ok,,63,105,63,105,u \geq 0,u \geq 0,21.57280000000128,82.06060000000548,1,1,Ambos aciertan,u \geq 0,u \geq 0,u \geq 0,1,1,Ambos aciertan
113,36_em_46,36_em_46.bmp,x \neq 4,x \neq 4,ok,,71,117,71,117,x \neq 4,x \neq 4,65.82250000001011,89.29009999999948,1,1,Ambos aciertan,x \neq 4,x \neq 4,x \neq 4,1,1,Ambos aciertan
114,RIT_2014_114,RIT_2014_114.bmp,i \neq 1,i \neq 1,ok,,66,96,66,96,i \neq 1,i \neq 1,26.29559999999742,83.317799999989,1,1,Ambos aciertan,i \neq 1,i \neq 1,i \neq 1,1,1,Ambos aciertan
115,518_em_424,518_em_424.bmp,2 \tan x,2 \tan x,ok,,75,256,75,256,2 \tan x,2 \tan x,155.49090000000376,140.50890000000038,1,1,Ambos aciertan,2 \tan x,2 \tan x,2 \tan x,1,1,Ambos aciertan
116,RIT_2014_270,RIT_2014_270.bmp,c \neq 2,c \neq 2,ok,,70,171,70,171,c \neq 2,c \neq 2,27.905000000004065,104.12940000000503,1,1,Ambos aciertan,c \neq 2,c \neq 2,c \neq 2,1,1,Ambos aciertan
117,RIT_2014_46,RIT_2014_46.bmp,a \leq w,a \leq w,ok,,84,227,84,227,a \leq w,a \leq w,146.22229999999092,149.9788999999936,1,1,Ambos aciertan,a \leq w,a \leq w,a \leq w,1,1,Ambos aciertan
118,18_em_19,18_em_19.bmp,y \neq x,y \neq x,ok,,60,102,60,102,y \neq x,y \neq x,59.227899999996225,77.85010000000625,1,1,Ambos aciertan,y \neq x,y \neq x,y \neq x,1,1,Ambos aciertan
119,518_em_433,518_em_433.bmp,M ^ { n },M ^ { n },ok,,73,86,73,86,M ^ { n },M ^ { n },56.62499999999682,109.59760000000074,1,1,Ambos aciertan,M ^ { n },M ^ { n },M ^ { n },1,1,Ambos aciertan
120,513_em_306,513_em_306.bmp,R _ { f },R _ { f },ok,,73,56,73,56,R _ { \gamma },R _ { p },97.75219999998797,106.65629999999737,0,0,Ambos fallan,R _ { f },R _ { \gamma },R _ { p },0,0,Ambos fallan
121,RIT_2014_285,RIT_2014_285.bmp,m i l l i,m i l l i,ok,,72,104,72,104,m i 1 j,m i ) / j,65.768300000002,137.3703000000006,0,0,Ambos fallan,m i l l i,m i 1 j,m i ) / j,0,0,Ambos fallan
122,20_em_30,20_em_30.bmp,I _ { S },I _ { S },ok,,70,53,70,53,[ s,I _ { S },114.05820000000233,158.99409999998682,0,1,Solo PosFormer,I _ { S },[ s,I _ { S },0,1,Solo PosFormer
123,RIT_2014_36,RIT_2014_36.bmp,A + A = A,A + A = A,ok,,59,130,59,130,A + A = A,A + A = A,38.54839999999626,138.82700000000625,1,1,Ambos aciertan,A + A = A,A + A = A,A + A = A,1,1,Ambos aciertan
