token,frecuencia,proporcion,porcentaje,frecuencia_acumulada,proporcion_acumulada,n_ecuaciones,proporcion_ecuaciones,categoria
4,183,0.011511605963389319,1.151160596338932,12613,0.7934201421651884,99,0.10040567951318459,dígitos
5,122,0.007674403975592879,0.7674403975592878,12735,0.8010945461407812,80,0.08113590263691683,dígitos
z,120,0.007548594074353651,0.7548594074353652,12855,0.808643140215135,57,0.057809330628803245,letras
d,119,0.007485689123734038,0.7485689123734038,12974,0.816128829338869,76,0.07707910750507099,letras
i,113,0.0071082594200163555,0.7108259420016355,13087,0.8232370887588853,53,0.0537525354969574,letras
9,95,0.005975970308863308,0.5975970308863308,13182,0.8292130590677487,56,0.056795131845841784,dígitos
\sin,95,0.005975970308863308,0.5975970308863308,13277,0.835189029376612,62,0.06288032454361055,comandos LaTeX
6,90,0.005661445555765239,0.5661445555765239,13367,0.8408504749323772,62,0.06288032454361055,dígitos
c,88,0.005535635654526011,0.5535635654526011,13455,0.8463861105869032,47,0.04766734279918864,letras
7,87,0.005472730703906397,0.5472730703906397,13542,0.8518588412908096,54,0.05476673427991886,dígitos
8,83,0.005221110901427942,0.5221110901427942,13625,0.8570799521922375,69,0.06997971602434078,dígitos
",",82,0.005158205950808329,0.5158205950808329,13707,0.8622381581430458,37,0.037525354969574036,delimitadores/puntuación
t,81,0.0050953010001887145,0.5095301000188714,13788,0.8673334591432346,43,0.0436105476673428,letras
f,78,0.004906586148329874,0.49065861483298734,13866,0.8722400452915644,53,0.0537525354969574,letras
k,75,0.004717871296471032,0.4717871296471032,13941,0.8769579165880355,40,0.04056795131845842,letras
\sum,74,0.004654966345851419,0.46549663458514184,14015,0.8816128829338868,56,0.056795131845841784,comandos LaTeX
\times,72,0.004529156444612191,0.4529156444612191,14087,0.8861420393784991,23,0.02332657200811359,operadores
\cos,70,0.004403346543372964,0.44033465433729635,14157,0.890545385921872,47,0.04766734279918864,comandos LaTeX
\pi,68,0.004277536642133736,0.42775366421337363,14225,0.8948229225640058,36,0.036511156186612576,comandos LaTeX
\int,67,0.004214631691514122,0.4214631691514122,14292,0.8990375542555199,49,0.04969574036511156,comandos LaTeX
p,65,0.004088821790274894,0.40888217902748947,14357,0.9031263760457948,37,0.037525354969574036,letras
\theta,64,0.004025916839655281,0.40259168396552814,14421,0.9071522928854501,30,0.030425963488843813,comandos LaTeX
|,62,0.003900106938416053,0.3900106938416053,14483,0.9110523998238661,14,0.014198782961460446,delimitadores/puntuación
m,58,0.003648487135937598,0.3648487135937598,14541,0.9147008869598038,40,0.04056795131845842,letras
e,53,0.0033339623828395294,0.33339623828395293,14594,0.9180348493426432,39,0.03955375253549696,letras
\infty,50,0.003145247530980688,0.3145247530980688,14644,0.9211800968736239,37,0.037525354969574036,comandos LaTeX
[,44,0.0027678178272630056,0.27678178272630055,14688,0.923947914700887,32,0.032454361054766734,delimitadores/puntuación
],44,0.0027678178272630056,0.27678178272630055,14732,0.92671573252815,32,0.032454361054766734,delimitadores/puntuación
\alpha,43,0.002704912876643392,0.27049128766433916,14775,0.9294206454047934,23,0.02332657200811359,comandos LaTeX
q,41,0.0025791029754041643,0.25791029754041644,14816,0.9319997483801975,20,0.02028397565922921,letras
r,40,0.0025161980247845506,0.25161980247845506,14856,0.934515946404982,22,0.02231237322515213,letras
v,40,0.0025161980247845506,0.25161980247845506,14896,0.9370321444297667,14,0.014198782961460446,letras
\beta,39,0.002453293074164937,0.24532930741649367,14935,0.9394854375039315,21,0.02129817444219067,comandos LaTeX
\tan,39,0.002453293074164937,0.24532930741649367,14974,0.9419387305780965,17,0.017241379310344827,comandos LaTeX
\rightarrow,37,0.0023274831729257093,0.23274831729257092,15011,0.9442662137510222,36,0.036511156186612576,comandos LaTeX
j,37,0.0023274831729257093,0.23274831729257092,15048,0.9465936969239479,16,0.016227180527383367,letras
u,37,0.0023274831729257093,0.23274831729257092,15085,0.9489211800968737,19,0.019269776876267748,letras
\log,36,0.0022645782223060956,0.22645782223060956,15121,0.9511857583191797,19,0.019269776876267748,comandos LaTeX
\lim,35,0.002201673271686482,0.22016732716864817,15156,0.9533874315908663,34,0.034482758620689655,comandos LaTeX
\ldots,34,0.002138768321066868,0.21387683210668681,15190,0.9555261999119331,31,0.03144016227180527,comandos LaTeX
A,33,0.0020758633704472543,0.20758633704472543,15223,0.9576020632823803,16,0.016227180527383367,letras
C,31,0.0019500534692080266,0.19500534692080265,15254,0.9595521167515884,16,0.016227180527383367,letras
\leq,31,0.0019500534692080266,0.19500534692080265,15285,0.9615021702207964,21,0.02129817444219067,relaciones
X,30,0.0018871485185884128,0.1887148518588413,15315,0.9633893187393848,15,0.015212981744421906,letras
g,30,0.0018871485185884128,0.1887148518588413,15345,0.9652764672579732,20,0.02028397565922921,letras
B,28,0.0017613386173491853,0.17613386173491855,15373,0.9670378058753224,17,0.017241379310344827,letras
R,23,0.0014468138642511166,0.14468138642511166,15396,0.9684846197395734,10,0.010141987829614604,letras
F,22,0.0013839089136315028,0.13839089136315028,15418,0.969868528653205,16,0.016227180527383367,letras
!,21,0.001321003963011889,0.13210039630118892,15439,0.9711895326162169,5,0.005070993914807302,otros
s,21,0.001321003963011889,0.13210039630118892,15460,0.9725105365792288,13,0.013184584178498986,letras
.,20,0.0012580990123922753,0.12580990123922753,15480,0.9737686355916211,16,0.016227180527383367,delimitadores/puntuación
/,19,0.0011951940617726615,0.11951940617726615,15499,0.9749638296533937,14,0.014198782961460446,operadores
L,19,0.0011951940617726615,0.11951940617726615,15518,0.9761590237151664,7,0.007099391480730223,letras
\div,19,0.0011951940617726615,0.11951940617726615,15537,0.9773542177769391,12,0.012170385395537525,operadores
E,18,0.0011322891111530478,0.11322891111530478,15555,0.9784865068880921,10,0.010141987829614604,letras
S,18,0.0011322891111530478,0.11322891111530478,15573,0.9796187959992452,9,0.009127789046653144,letras
N,17,0.001069384160533434,0.10693841605334341,15590,0.9806881801597785,13,0.013184584178498986,letras
P,17,0.001069384160533434,0.10693841605334341,15607,0.981757564320312,13,0.013184584178498986,letras
\geq,17,0.001069384160533434,0.10693841605334341,15624,0.9828269484808454,17,0.017241379310344827,relaciones
\pm,17,0.001069384160533434,0.10693841605334341,15641,0.9838963326413789,12,0.012170385395537525,operadores
H,15,0.0009435742592942064,0.09435742592942065,15656,0.9848399069006731,8,0.008113590263691683,letras
V,15,0.0009435742592942064,0.09435742592942065,15671,0.9857834811599673,7,0.007099391480730223,letras
w,15,0.0009435742592942064,0.09435742592942065,15686,0.9867270554192615,11,0.011156186612576065,letras
<,14,0.0008806693086745927,0.08806693086745927,15700,0.9876077247279361,11,0.011156186612576065,relaciones
T,14,0.0008806693086745927,0.08806693086745927,15714,0.9884883940366107,7,0.007099391480730223,letras
\neq,14,0.0008806693086745927,0.08806693086745927,15728,0.9893690633452853,14,0.014198782961460446,relaciones
Y,13,0.0008177643580549789,0.08177643580549789,15741,0.9901868277033402,6,0.006085192697768763,letras
\sigma,13,0.0008177643580549789,0.08177643580549789,15754,0.9910045920613952,7,0.007099391480730223,comandos LaTeX
l,13,0.0008177643580549789,0.08177643580549789,15767,0.9918223564194502,8,0.008113590263691683,letras
\phi,12,0.0007548594074353652,0.07548594074353651,15779,0.9925772158268856,6,0.006085192697768763,comandos LaTeX
\gamma,11,0.0006919544568157514,0.06919544568157514,15790,0.9932691702837013,6,0.006085192697768763,comandos LaTeX
\prime,11,0.0006919544568157514,0.06919544568157514,15801,0.9939611247405171,8,0.008113590263691683,comandos LaTeX
o,11,0.0006919544568157514,0.06919544568157514,15812,0.9946530791973328,9,0.009127789046653144,letras
M,10,0.0006290495061961376,0.06290495061961376,15822,0.995282128703529,6,0.006085192697768763,letras
G,9,0.0005661445555765239,0.05661445555765239,15831,0.9958482732591055,4,0.004056795131845842,letras
>,7,0.00044033465433729633,0.044033465433729636,15838,0.9962886079134428,7,0.007099391480730223,relaciones
I,7,0.00044033465433729633,0.044033465433729636,15845,0.9967289425677801,6,0.006085192697768763,letras
\lambda,7,0.00044033465433729633,0.044033465433729636,15852,0.9971692772221173,2,0.002028397565922921,comandos LaTeX
\mu,7,0.00044033465433729633,0.044033465433729636,15859,0.9976096118764547,5,0.005070993914807302,comandos LaTeX
\{,7,0.00044033465433729633,0.044033465433729636,15866,0.9980499465307919,4,0.004056795131845842,comandos LaTeX
\},7,0.00044033465433729633,0.044033465433729636,15873,0.9984902811851293,4,0.004056795131845842,comandos LaTeX
\cdots,6,0.0003774297037176826,0.037742970371768256,15879,0.998867710888847,5,0.005070993914807302,comandos LaTeX
\Delta,5,0.0003145247530980688,0.03145247530980688,15884,0.999182235641945,3,0.0030425963488843813,comandos LaTeX
\exists,4,0.00025161980247845507,0.02516198024784551,15888,0.9994338554444234,3,0.0030425963488843813,comandos LaTeX
\in,3,0.0001887148518588413,0.018871485185884128,15891,0.9996225702962823,3,0.0030425963488843813,comandos LaTeX
h,3,0.0001887148518588413,0.018871485185884128,15894,0.9998112851481411,2,0.002028397565922921,letras
\forall,2,0.00012580990123922753,0.012580990123922754,15896,0.9999370950493803,2,0.002028397565922921,comandos LaTeX
\cdot,1,6.290495061961377e-05,0.006290495061961377,15897,1.0,1,0.0010141987829614604,operadores
