token,frecuencia,proporcion,porcentaje,frecuencia_acumulada,proporcion_acumulada,n_ecuaciones,proporcion_ecuaciones,categoria
\limits,105,0.0065678363670482265,0.6567836367048226,13177,0.8242321886532807,81,0.0821501014198783,comandos LaTeX
9,95,0.005942328141615062,0.5942328141615062,13272,0.8301745167948958,56,0.056795131845841784,dígitos
\sin,95,0.005942328141615062,0.5942328141615062,13367,0.836116844936511,62,0.06288032454361055,comandos LaTeX
6,90,0.00562957402889848,0.562957402889848,13457,0.8417464189654094,62,0.06288032454361055,dígitos
c,88,0.005504472383811847,0.5504472383811847,13545,0.8472508913492213,47,0.04766734279918864,letras
7,87,0.0054419215612685305,0.544192156126853,13632,0.8526928129104898,54,0.05476673427991886,dígitos
8,83,0.005191718271095265,0.5191718271095265,13715,0.857884531181585,69,0.06997971602434078,dígitos
",",82,0.005129167448551949,0.5129167448551949,13797,0.863013698630137,37,0.037525354969574036,delimitadores/puntuación
t,81,0.005066616626008632,0.5066616626008632,13878,0.8680803152561456,43,0.0436105476673428,letras
f,78,0.004878964158378683,0.4878964158378683,13956,0.8729592794145243,53,0.0537525354969574,letras
k,75,0.0046913116907487335,0.46913116907487334,14031,0.877650591105273,40,0.04056795131845842,letras
\sum,74,0.004628760868205417,0.4628760868205417,14105,0.8822793519734784,56,0.056795131845841784,comandos LaTeX
\times,72,0.004503659223118784,0.4503659223118784,14177,0.8867830111965972,23,0.02332657200811359,operadores
\cos,70,0.004378557578032151,0.43785575780321506,14247,0.8911615687746294,47,0.04766734279918864,comandos LaTeX
\int,67,0.004190905110402202,0.4190905110402202,14314,0.8953524738850316,49,0.04969574036511156,comandos LaTeX
\pi,67,0.004190905110402202,0.4190905110402202,14381,0.8995433789954338,35,0.035496957403651115,comandos LaTeX
p,65,0.004065803465315569,0.4065803465315569,14446,0.9036091824607494,37,0.037525354969574036,letras
\theta,64,0.004003252642772253,0.40032526427722526,14510,0.9076124351035216,30,0.030425963488843813,comandos LaTeX
|,62,0.0038781509976856194,0.38781509976856193,14572,0.9114905861012073,14,0.014198782961460446,delimitadores/puntuación
m,58,0.0036279477075123537,0.36279477075123534,14630,0.9151185338087195,40,0.04056795131845842,letras
e,53,0.0033151935947957714,0.3315193594795771,14683,0.9184337274035154,39,0.03955375253549696,letras
\infty,50,0.0031275411271658223,0.3127541127165822,14733,0.9215612685306812,37,0.037525354969574036,comandos LaTeX
[,44,0.0027522361919059234,0.27522361919059235,14777,0.9243135047225871,32,0.032454361054766734,delimitadores/puntuación
],44,0.0027522361919059234,0.27522361919059235,14821,0.927065740914493,32,0.032454361054766734,delimitadores/puntuación
\alpha,43,0.002689685369362607,0.2689685369362607,14864,0.9297554262838557,23,0.02332657200811359,comandos LaTeX
q,41,0.0025645837242759743,0.25645837242759745,14905,0.9323200100081316,20,0.02028397565922921,letras
r,40,0.0025020329017326577,0.25020329017326576,14945,0.9348220429098643,22,0.02231237322515213,letras
v,40,0.0025020329017326577,0.25020329017326576,14985,0.9373240758115969,14,0.014198782961460446,letras
\beta,39,0.0024394820791893415,0.24394820791893415,15024,0.9397635578907862,21,0.02129817444219067,comandos LaTeX
\tan,39,0.0024394820791893415,0.24394820791893415,15063,0.9422030399699756,17,0.017241379310344827,comandos LaTeX
\rightarrow,37,0.0023143804341027086,0.23143804341027086,15100,0.9445174204040783,36,0.036511156186612576,comandos LaTeX
j,37,0.0023143804341027086,0.23143804341027086,15137,0.946831800838181,16,0.016227180527383367,letras
u,37,0.0023143804341027086,0.23143804341027086,15174,0.9491461812722838,19,0.019269776876267748,letras
\log,36,0.002251829611559392,0.2251829611559392,15210,0.9513980108838431,19,0.019269776876267748,comandos LaTeX
\lim,35,0.0021892787890160754,0.21892787890160753,15245,0.9535872896728592,34,0.034482758620689655,comandos LaTeX
\ldots,34,0.002126727966472759,0.21267279664727592,15279,0.955714017639332,31,0.03144016227180527,comandos LaTeX
A,33,0.0020641771439294425,0.20641771439294426,15312,0.9577781947832614,16,0.016227180527383367,letras
C,31,0.0019390754988428097,0.19390754988428097,15343,0.9597172702821042,16,0.016227180527383367,letras
\leq,31,0.0019390754988428097,0.19390754988428097,15374,0.961656345780947,21,0.02129817444219067,relaciones
X,30,0.0018765246762994933,0.18765246762994933,15404,0.9635328704572466,15,0.015212981744421906,letras
g,30,0.0018765246762994933,0.18765246762994933,15434,0.965409395133546,20,0.02028397565922921,letras
B,28,0.0017514230312128604,0.17514230312128604,15462,0.9671608181647589,17,0.017241379310344827,letras
R,23,0.0014386689184962783,0.14386689184962784,15485,0.9685994870832552,10,0.010141987829614604,letras
F,22,0.0013761180959529617,0.13761180959529618,15507,0.9699756051792081,16,0.016227180527383367,letras
!,21,0.0013135672734096453,0.1313567273409645,15528,0.9712891724526177,5,0.005070993914807302,otros
s,21,0.0013135672734096453,0.1313567273409645,15549,0.9726027397260274,13,0.013184584178498986,letras
.,20,0.0012510164508663288,0.12510164508663288,15569,0.9738537561768937,16,0.016227180527383367,delimitadores/puntuación
/,19,0.0011884656283230124,0.11884656283230124,15588,0.9750422218052167,14,0.014198782961460446,operadores
L,19,0.0011884656283230124,0.11884656283230124,15607,0.9762306874335398,7,0.007099391480730223,letras
\div,19,0.0011884656283230124,0.11884656283230124,15626,0.9774191530618628,12,0.012170385395537525,operadores
E,18,0.001125914805779696,0.1125914805779696,15644,0.9785450678676425,10,0.010141987829614604,letras
S,18,0.001125914805779696,0.1125914805779696,15662,0.9796709826734221,9,0.009127789046653144,letras
N,17,0.0010633639832363796,0.10633639832363796,15679,0.9807343466566585,13,0.013184584178498986,letras
P,17,0.0010633639832363796,0.10633639832363796,15696,0.981797710639895,13,0.013184584178498986,letras
\geq,17,0.0010633639832363796,0.10633639832363796,15713,0.9828610746231313,17,0.017241379310344827,relaciones
\pm,17,0.0010633639832363796,0.10633639832363796,15730,0.9839244386063677,12,0.012170385395537525,operadores
H,15,0.0009382623381497466,0.09382623381497467,15745,0.9848627009445174,8,0.008113590263691683,letras
V,15,0.0009382623381497466,0.09382623381497467,15760,0.9858009632826672,7,0.007099391480730223,letras
w,15,0.0009382623381497466,0.09382623381497467,15775,0.986739225620817,11,0.011156186612576065,letras
<,14,0.0008757115156064302,0.08757115156064302,15789,0.9876149371364233,11,0.011156186612576065,relaciones
T,14,0.0008757115156064302,0.08757115156064302,15803,0.9884906486520297,7,0.007099391480730223,letras
\neq,14,0.0008757115156064302,0.08757115156064302,15817,0.9893663601676362,14,0.014198782961460446,relaciones
Y,13,0.0008131606930631138,0.08131606930631138,15830,0.9901795208606993,6,0.006085192697768763,letras
\sigma,13,0.0008131606930631138,0.08131606930631138,15843,0.9909926815537624,7,0.007099391480730223,comandos LaTeX
l,13,0.0008131606930631138,0.08131606930631138,15856,0.9918058422468256,8,0.008113590263691683,letras
\phi,12,0.0007506098705197974,0.07506098705197974,15868,0.9925564521173453,6,0.006085192697768763,comandos LaTeX
\gamma,11,0.0006880590479764808,0.06880590479764809,15879,0.9932445111653219,6,0.006085192697768763,comandos LaTeX
\prime,11,0.0006880590479764808,0.06880590479764809,15890,0.9939325702132983,8,0.008113590263691683,comandos LaTeX
o,11,0.0006880590479764808,0.06880590479764809,15901,0.9946206292612748,9,0.009127789046653144,letras
M,10,0.0006255082254331644,0.06255082254331644,15911,0.995246137486708,6,0.006085192697768763,letras
G,9,0.000562957402889848,0.0562957402889848,15920,0.9958090948895978,4,0.004056795131845842,letras
>,7,0.0004378557578032151,0.04378557578032151,15927,0.996246950647401,7,0.007099391480730223,relaciones
I,7,0.0004378557578032151,0.04378557578032151,15934,0.9966848064052042,6,0.006085192697768763,letras
\lambda,7,0.0004378557578032151,0.04378557578032151,15941,0.9971226621630075,2,0.002028397565922921,comandos LaTeX
\mu,7,0.0004378557578032151,0.04378557578032151,15948,0.9975605179208107,5,0.005070993914807302,comandos LaTeX
\{,7,0.0004378557578032151,0.04378557578032151,15955,0.9979983736786139,4,0.004056795131845842,comandos LaTeX
\},7,0.0004378557578032151,0.04378557578032151,15962,0.9984362294364171,4,0.004056795131845842,comandos LaTeX
\cdots,6,0.0003753049352598987,0.03753049352598987,15968,0.998811534371677,5,0.005070993914807302,comandos LaTeX
\Delta,5,0.0003127541127165822,0.03127541127165822,15973,0.9991242884843936,3,0.0030425963488843813,comandos LaTeX
\exists,4,0.0002502032901732658,0.02502032901732658,15977,0.9993744917745668,3,0.0030425963488843813,comandos LaTeX
\in,3,0.00018765246762994934,0.018765246762994934,15980,0.9995621442421968,3,0.0030425963488843813,comandos LaTeX
h,3,0.00018765246762994934,0.018765246762994934,15983,0.9997497967098268,2,0.002028397565922921,letras
\forall,2,0.0001251016450866329,0.01251016450866329,15985,0.9998748983549134,2,0.002028397565922921,comandos LaTeX
\Pi,1,6.255082254331645e-05,0.006255082254331645,15986,0.9999374491774566,1,0.0010141987829614604,comandos LaTeX
\cdot,1,6.255082254331645e-05,0.006255082254331645,15987,1.0,1,0.0010141987829614604,operadores
