token,frecuencia_modelo1,frecuencia_modelo2,proporcion_modelo1,proporcion_modelo2,delta_frecuencia,delta_proporcion,presente_solo_en
\{,7,7,0.00044033465433729633,0.0004378557578032151,0,-2.478896534081226e-06,ambos
\},7,7,0.00044033465433729633,0.0004378557578032151,0,-2.478896534081226e-06,ambos
],44,44,0.0027678178272630056,0.0027522361919059234,0,-1.558163535708224e-05,ambos
^,607,607,0.038183305026105556,0.037968349283793085,0,-0.00021495574231247122,ambos
_,630,625,0.03963011889035667,0.039094264089572776,-5,-0.0005358548007838929,ambos
a,278,278,0.017487576272252628,0.01738912866704197,0,-9.84476052106574e-05,ambos
b,185,185,0.011637415864628546,0.011571902170513543,0,-6.5513694115003e-05,ambos
c,88,88,0.005535635654526011,0.005504472383811847,0,-3.116327071416448e-05,ambos
d,119,119,0.007485689123734038,0.007443547882654657,0,-4.2141241079381164e-05,ambos
e,53,53,0.0033339623828395294,0.0033151935947957714,0,-1.8768788043758023e-05,ambos
f,78,78,0.004906586148329874,0.004878964158378683,0,-2.762198995119071e-05,ambos
g,30,30,0.0018871485185884128,0.0018765246762994933,0,-1.062384228891957e-05,ambos
h,3,3,0.0001887148518588413,0.00018765246762994934,0,-1.0623842288919462e-06,ambos
i,113,113,0.0071082594200163555,0.007068242947394758,0,-4.00164726215976e-05,ambos
j,37,37,0.0023274831729257093,0.0023143804341027086,0,-1.3102738823000688e-05,ambos
k,75,75,0.004717871296471032,0.0046913116907487335,0,-2.6559605722298492e-05,ambos
l,13,13,0.0008177643580549789,0.0008131606930631138,0,-4.603664991865118e-06,ambos
m,58,58,0.003648487135937598,0.0036279477075123537,0,-2.0539428425244474e-05,ambos
n,267,267,0.016795621815436874,0.016701069619065492,0,-9.455219637138218e-05,ambos
o,11,11,0.0006919544568157514,0.0006880590479764808,0,-3.89540883927056e-06,ambos
p,65,65,0.004088821790274894,0.004065803465315569,0,-2.301832495932559e-05,ambos
q,41,41,0.0025791029754041643,0.0025645837242759743,0,-1.4519251128190021e-05,ambos
r,40,40,0.0025161980247845506,0.0025020329017326577,0,-1.4165123051892905e-05,ambos
s,21,21,0.001321003963011889,0.0013135672734096453,0,-7.436689602243786e-06,ambos
t,81,81,0.0050953010001887145,0.005066616626008632,0,-2.868437418008206e-05,ambos
u,37,37,0.0023274831729257093,0.0023143804341027086,0,-1.3102738823000688e-05,ambos
v,40,40,0.0025161980247845506,0.0025020329017326577,0,-1.4165123051892905e-05,ambos
w,15,15,0.0009435742592942064,0.0009382623381497466,0,-5.311921144459785e-06,ambos
x,593,593,0.03730263571743096,0.03709263776818665,0,-0.0002099979492443116,ambos
y,225,225,0.014153613889413098,0.0140739350722462,0,-7.967881716689808e-05,ambos
z,120,120,0.007548594074353651,0.007506098705197973,0,-4.249536915567828e-05,ambos
{,2297,2292,0.14449267157325282,0.14336648526928128,-5,-0.0011261863039715436,ambos
|,62,62,0.003900106938416053,0.0038781509976856194,0,-2.1955940730433807e-05,ambos
},2297,2292,0.14449267157325282,0.14336648526928128,-5,-0.0011261863039715436,ambos
