id,latex_modelo1,latex_modelo2,n_tokens_modelo1,n_tokens_modelo2,delta_n_tokens,distancia_tokens,tipo_diferencia,operaciones
32_em_201,\sum _ { k = 1 } ^ { n } ( c a _ { k } ) = c \sum _ { i = 1 } ^ { n } ( a _ { k } ),\sum \limits _ { k = 1 } ^ { n } ( c a _ { k } ) = c \sum \limits _ { i = 1 } ^ { n } ( a _ { k } ),39,41,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
34_em_247,( \sum _ { k = 1 } ^ { n } a _ { k } ) ^ { \frac { 1 } { 2 } } \leq \sum _ { k = 1 } ^ { n } a _ { k } ^ { \frac { 1 } { 2 } },( \sum \limits _ { k = 1 } ^ { n } a _ { k } ) ^ { \frac { 1 } { 2 } } \leq \sum \limits _ { k = 1 } ^ { n } a _ { k } ^ { \frac { 1 } { 2 } },55,57,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
35_em_16,\sum _ { m = 1 } ^ { \infty } \sum _ { n = 1 } ^ { \infty } \frac { m ^ { 2 } n } { 3 ^ { m } ( m 3 ^ { n } + n 3 ^ { m } ) },\sum \limits _ { m = 1 } ^ { \infty } \sum \limits _ { n = 1 } ^ { \infty } \frac { m ^ { 2 } n } { 3 ^ { m } ( m 3 ^ { n } + n 3 ^ { m } ) },53,55,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
37_em_24,\lim _ { n \rightarrow \infty } \frac { 2 } { n } \sum _ { i = 1 } ^ { n } \frac { 4 i ^ { 2 } } { n ^ { 2 } },\lim \limits _ { n \rightarrow \infty } \frac { 2 } { n } \sum \limits _ { i = 1 } ^ { n } \frac { 4 i ^ { 2 } } { n ^ { 2 } },41,43,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
37_em_26,\int _ { a } ^ { b } f ( x ) d x = \int _ { a } ^ { b } g ( x ) d x,\int \limits _ { a } ^ { b } f ( x ) d x = \int \limits _ { a } ^ { b } g ( x ) d x,31,33,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
501_em_9,\int \sum _ { j = 0 } ^ { \infty } a _ { j } z ^ { j } d z = \sum _ { j = 1 } ^ { \infty } \frac { a _ { j - 1 } } { j } x ^ { j },\int \sum \limits _ { j = 0 } ^ { \infty } a _ { j } z ^ { j } d z = \sum \limits _ { j = 1 } ^ { \infty } \frac { a _ { j - 1 } } { j } x ^ { j },54,56,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
502_em_7,\sum _ { k = 1 } ^ { n } a _ { k } + \sum _ { k = 1 } ^ { n } b _ { k },\sum \limits _ { k = 1 } ^ { n } a _ { k } + \sum \limits _ { k = 1 } ^ { n } b _ { k },33,35,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
506_em_67,\lim _ { n \rightarrow \infty } \frac { 8 } { n ^ { 3 } } \sum _ { i = 1 } ^ { n } i ^ { 2 },\lim \limits _ { n \rightarrow \infty } \frac { 8 } { n ^ { 3 } } \sum \limits _ { i = 1 } ^ { n } i ^ { 2 },34,36,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
512_em_290,2 \sum _ { x = 1 } ^ { n } x - \sum _ { x = 1 } ^ { n } 1,2 \sum \limits _ { x = 1 } ^ { n } x - \sum \limits _ { x = 1 } ^ { n } 1,26,28,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
514_em_334,\sum _ { n = 1 } ^ { 1 0 } ( 2 n + 1 ) - \sum _ { n = 1 } ^ { 4 } ( 2 n + 1 ),\sum \limits _ { n = 1 } ^ { 1 0 } ( 2 n + 1 ) - \sum \limits _ { n = 1 } ^ { 4 } ( 2 n + 1 ),36,38,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
518_em_426,\pi \int _ { - R } ^ { R } R ^ { 2 } d x - \pi \int _ { - R } ^ { R } x ^ { 2 } d x,\pi \int \limits _ { - R } ^ { R } R ^ { 2 } d x - \pi \int \limits _ { - R } ^ { R } x ^ { 2 } d x,37,39,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_162,\frac { \sum _ { i = 0 } ^ { m } b ^ { i } s ^ { i } } { \sum _ { i = 0 } ^ { n } a ^ { i } s ^ { i } },\frac { \sum \limits _ { i = 0 } ^ { m } b ^ { i } s ^ { i } } { \sum \limits _ { i = 0 } ^ { n } a ^ { i } s ^ { i } },47,49,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_185,\lim _ { n \rightarrow \infty } n \sin ( \frac { 2 ^ { \pi } } { n + 1 } ) - \lim _ { n \rightarrow \infty } n \frac { 2 \pi } { n + 1 } - 2 \pi,\lim \limits _ { n \rightarrow \infty } n \sin ( \frac { 2 ^ { \pi } } { n + 1 } ) - \lim \limits _ { n \rightarrow \infty } n \frac { 2 \pi } { n + 1 } - 2 \pi,46,48,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_211,\lim _ { n \rightarrow \infty } \frac { 2 } { n } \sum _ { i = 1 } ^ { n } ( \frac { 2 i } { n } ) ^ { 2 },\lim \limits _ { n \rightarrow \infty } \frac { 2 } { n } \sum \limits _ { i = 1 } ^ { n } ( \frac { 2 i } { n } ) ^ { 2 },39,41,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_214,\sum _ { i = 1 } ^ { n + 1 } i = \sum _ { i = 1 } ^ { n } i + ( n + 1 ) = \frac { n ( n + 1 ) } { 2 } + n + 1,\sum \limits _ { i = 1 } ^ { n + 1 } i = \sum \limits _ { i = 1 } ^ { n } i + ( n + 1 ) = \frac { n ( n + 1 ) } { 2 } + n + 1,50,52,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_312,\sum _ { i = 1 } ^ { n } a ^ { 2 } = a ^ { 2 } \sum _ { i = 1 } ^ { n } 1 = n a ^ { 2 },\sum \limits _ { i = 1 } ^ { n } a ^ { 2 } = a ^ { 2 } \sum \limits _ { i = 1 } ^ { n } 1 = n a ^ { 2 },41,43,2,2,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}, {""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
18_em_5,\int g = \lim _ { n \rightarrow \infty } \int g _ { n },\int g = \lim \limits _ { n \rightarrow \infty } \int g _ { n },16,17,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
26_em_77,x ^ { i } e _ { i } = \sum _ { i } x ^ { i } e _ { i },x ^ { i } e _ { i } = \sum \limits _ { i } x ^ { i } e _ { i },26,27,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
26_em_84,S _ { \infty } = \lim _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - r } = \frac { a } { 1 - r },S _ { \infty } = \lim \limits _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - r } = \frac { a } { 1 - r },41,42,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
27_em_102,\lim _ { a \rightarrow \infty } f ( a ),\lim \limits _ { a \rightarrow \infty } f ( a ),11,12,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
28_em_126,\frac { \sum _ { k = 1 } ^ { N } k ^ { 2 } } { a },\frac { \sum \limits _ { k = 1 } ^ { N } k ^ { 2 } } { a },22,23,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
28_em_144,\sum _ { i } k _ { i },\sum \limits _ { i } k _ { i },10,11,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
29_em_161,f ( z _ { 0 } ) = \lim _ { z \rightarrow z _ { 0 } } f ( z ),f ( z _ { 0 } ) = \lim \limits _ { z \rightarrow z _ { 0 } } f ( z ),24,25,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
29_em_171,\lim _ { t \rightarrow c } a _ { 1 } ( t ) = a _ { 1 },\lim \limits _ { t \rightarrow c } a _ { 1 } ( t ) = a _ { 1 },21,22,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
31_em_175,\lim _ { x \rightarrow c } f ( x ) = f ( c ),\lim \limits _ { x \rightarrow c } f ( x ) = f ( c ),16,17,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
31_em_191,\sum _ { j = 1 } ^ { m } a _ { j } e _ { j },\sum \limits _ { j = 1 } ^ { m } a _ { j } e _ { j },21,22,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
31_em_192,\int _ { a } ^ { x } f ( x ) d x,\int \limits _ { a } ^ { x } f ( x ) d x,15,16,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
31_em_198,\lim _ { x \rightarrow - \infty } p _ { 2 } ( x ) > 0,\lim \limits _ { x \rightarrow - \infty } p _ { 2 } ( x ) > 0,18,19,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
34_em_234,\int _ { 0 } ^ { \pi } ( \sin ( t ) - t ) d t = 2 - \frac { 1 } { 2 } \pi ^ { 2 },\int \limits _ { 0 } ^ { \pi } ( \sin ( t ) - t ) d t = 2 - \frac { 1 } { 2 } \pi ^ { 2 },34,35,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
35_em_18,\pi \int _ { 0 } ^ { 1 } x d x,\pi \int \limits _ { 0 } ^ { 1 } x d x,13,14,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
35_em_8,\lim _ { z \rightarrow z _ { 0 } } f ( z ) = k,\lim \limits _ { z \rightarrow z _ { 0 } } f ( z ) = k,17,18,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
36_em_26,\sum _ { n = 1 } ^ { 5 } ( 2 n + 1 ),\sum \limits _ { n = 1 } ^ { 5 } ( 2 n + 1 ),17,18,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
36_em_32,\lim _ { x \rightarrow 0 } f ( x ),\lim \limits _ { x \rightarrow 0 } f ( x ),11,12,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
36_em_48,\sum _ { k } j [ k ],\sum \limits _ { k } j [ k ],9,10,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
37_em_14,\lim _ { x \rightarrow 0 } f ( x ) = 0,\lim \limits _ { x \rightarrow 0 } f ( x ) = 0,13,14,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
500_em_110,x = \sum _ { i } x _ { i },x = \sum \limits _ { i } x _ { i },12,13,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
502_em_8,\int _ { - \infty } ^ { \infty } e ^ { - w ^ { 2 } } d w = \sqrt { \pi },\int \limits _ { - \infty } ^ { \infty } e ^ { - w ^ { 2 } } d w = \sqrt { \pi },27,28,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
503_em_26,\lim _ { z \rightarrow z _ { 0 } } f ( z ),\lim \limits _ { z \rightarrow z _ { 0 } } f ( z ),15,16,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
505_em_54,\sum _ { n = 1 } ^ { k } x _ { n } z _ { n },\sum \limits _ { n = 1 } ^ { k } x _ { n } z _ { n },21,22,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
507_em_71,\sum _ { n = 1 } ^ { 1 0 0 0 0 } ( 1 0 0 0 1 - n ) ^ { - 2 },\sum \limits _ { n = 1 } ^ { 1 0 0 0 0 } ( 1 0 0 0 1 - n ) ^ { - 2 },29,30,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
509_em_92,\lim _ { x \rightarrow \infty } p _ { k } ( x ) = \infty,\lim \limits _ { x \rightarrow \infty } p _ { k } ( x ) = \infty,17,18,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
511_em_258,\sum _ { i = 1 } ^ { n } a _ { i },\sum \limits _ { i = 1 } ^ { n } a _ { i },16,17,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
511_em_262,\lim _ { n \rightarrow \infty } \frac { x ^ { 3 } } { n ^ { 3 } } \frac { 2 n ^ { 3 } + 3 n ^ { 2 } + n } { 6 },\lim \limits _ { n \rightarrow \infty } \frac { x ^ { 3 } } { n ^ { 3 } } \frac { 2 n ^ { 3 } + 3 n ^ { 2 } + n } { 6 },43,44,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
511_em_269,\sum _ { k = 2 } ^ { 1 0 0 } ( - 1 ) ^ { k } \frac { 1 } { k ^ { 2 } },\sum \limits _ { k = 2 } ^ { 1 0 0 } ( - 1 ) ^ { k } \frac { 1 } { k ^ { 2 } },32,33,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
511_em_270,\frac { 1 } { 2 } \int _ { 1 } ^ { 5 } \cos ( u ) d u,\frac { 1 } { 2 } \int \limits _ { 1 } ^ { 5 } \cos ( u ) d u,22,23,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
512_em_276,y _ { i + 1 } = y _ { i } + \int _ { x _ { i } } ^ { x _ { i + 1 } } f d x,y _ { i + 1 } = y _ { i } + \int \limits _ { x _ { i } } ^ { x _ { i + 1 } } f d x,36,37,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
512_em_293,\lim _ { n \rightarrow \infty } \frac { 4 } { 3 } \frac { 2 n ^ { 2 } + 3 n + 1 } { n ^ { 2 } },\lim \limits _ { n \rightarrow \infty } \frac { 4 } { 3 } \frac { 2 n ^ { 2 } + 3 n + 1 } { n ^ { 2 } },35,36,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
513_em_314,\int _ { - 1 } ^ { 1 } ( f ( z ) - 1 / 2 ) ^ { 2 } d x,\int \limits _ { - 1 } ^ { 1 } ( f ( z ) - 1 / 2 ) ^ { 2 } d x,26,27,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
516_em_379,\lim _ { n \rightarrow \infty } f _ { n } ( x ) = 0,\lim \limits _ { n \rightarrow \infty } f _ { n } ( x ) = 0,17,18,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
518_em_414,\lim _ { z \rightarrow z _ { 0 } } f ( z ) = f ( z _ { 0 } ),\lim \limits _ { z \rightarrow z _ { 0 } } f ( z ) = f ( z _ { 0 } ),24,25,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
518_em_434,\sum _ { r = 1 } ^ { n } r ^ { 2 } = \frac { 1 } { 6 } n ( 2 n + 1 ) ( n + 1 ),\sum \limits _ { r = 1 } ^ { n } r ^ { 2 } = \frac { 1 } { 6 } n ( 2 n + 1 ) ( n + 1 ),36,37,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
519_em_462,\sum _ { r = 1 } ^ { n } r,\sum \limits _ { r = 1 } ^ { n } r,12,13,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_107,\sum _ { n = 1 } ^ { \infty } \frac { ( - 1 ) ^ { n } } { \sin n },\sum \limits _ { n = 1 } ^ { \infty } \frac { ( - 1 ) ^ { n } } { \sin n },26,27,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_123,\int _ { x _ { i - 1 } } ^ { x _ { i } } f ( x ) d x,\int \limits _ { x _ { i - 1 } } ^ { x _ { i } } f ( x ) d x,25,26,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_129,\int _ { 2 } ^ { b } f d \alpha,\int \limits _ { 2 } ^ { b } f d \alpha,12,13,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_133,0 \leq x \leq 2 \pi,0 \leq x \leq 2 \Pi,6,6,0,1,otros cambios de tokens,"[{""operacion"": ""replace"", ""tokens_modelo1"": [""\\pi""], ""tokens_modelo2"": [""\\Pi""]}]"
RIT_2014_15,\sum _ { n = 1 } ^ { \infty } x _ { n },\sum \limits _ { n = 1 } ^ { \infty } x _ { n },16,17,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_158,\sum _ { i = 1 } ^ { \infty } \frac { 1 } { 2 },\sum \limits _ { i = 1 } ^ { \infty } \frac { 1 } { 2 },18,19,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_181,\lim _ { b \rightarrow \infty } f ( b ),\lim \limits _ { b \rightarrow \infty } f ( b ),11,12,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_182,\sum _ { i = 1 } ^ { \infty } ( a _ { i } - b _ { i } ) ^ { 2 },\sum \limits _ { i = 1 } ^ { \infty } ( a _ { i } - b _ { i } ) ^ { 2 },28,29,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_183,\lim _ { x \rightarrow \infty } p _ { 2 } ( x ) > 0,\lim \limits _ { x \rightarrow \infty } p _ { 2 } ( x ) > 0,17,18,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_184,\lim _ { b \rightarrow \infty } f ( b ) = 0,\lim \limits _ { b \rightarrow \infty } f ( b ) = 0,13,14,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
